seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,hv,best_t180,best_e_reb_mJ,best_e_rebound
7,0,0,2.07847,7.2791,0.749571,47.3726,0.723608,0.614616,185.826,20.23,0.612427,25.0455,52.0563,7.15148,5.36055,102.585,True,0.00517639,0.723608,185.826,0.614616
7,0,1,3.57698,12.5031,0.402879,64.9993,0.832467,0.615359,186.05,20.23,1.07126,25.4564,91.0569,7.28274,2.93406,185.377,False,0.00517639,0.723608,185.826,0.614616
7,0,2,4.10878,10.6231,0.799605,58.6715,0.854941,0.616265,186.324,20.23,0.810437,16.7658,68.8871,6.48466,5.18517,60.8329,True,0.00517639,0.723608,185.826,0.614616
7,0,3,2.61027,15.8455,0.475068,71.2003,0.772818,0.615159,185.99,20.23,1.1217,36.5265,95.3443,6.01711,2.85854,399.633,False,0.00517639,0.723608,185.826,0.614616
7,0,4,2.50792,9.87295,0.29837,75.0435,0.768203,0.615356,186.049,20.23,0.971126,32.914,82.5457,8.36079,2.49461,280.935,False,0.00517639,0.723608,185.826,0.614616
7,0,5,4.00006,16.9928,0.645709,52.592,0.841622,0.615183,185.997,20.23,1.11916,23.7818,95.1285,5.59818,3.61479,169.025,True,0.00517639,0.723608,185.826,0.614616
7,0,6,3.10452,6.54849,0.578892,68.764,0.824037,0.615728,186.162,20.23,0.671593,18.3878,57.0854,8.71733,5.0464,60.6368,True,0.00517639,0.723608,185.826,0.614616
7,0,7,1.61238,13.6699,0.904075,41.3714,0.612171,0.612662,185.235,20.23,0.781971,41.2232,66.4675,4.86233,4.39591,354.848,False,0.00517639,0.723608,185.826,0.614616
7,0,8,1.83974,11.5502,0.506535,51.094,0.65225,0.613875,185.602,20.23,0.92549,42.7596,78.6666,6.81083,3.44993,451.864,False,0.00517639,0.723608,185.826,0.614616
7,1,9,1.5,9.0463,0.916667,40,0.617329,0.612594,185.214,20.23,0.596167,33.7828,50.6742,5.60165,5.13484,181.689,True,0.00906258,0.617329,185.214,0.612594
7,1,10,1.5,18.3272,0.916667,40,0.565763,0.61332,185.434,20.23,0.908588,51.4866,77.2299,4.21396,3.86279,643.168,False,0.00906258,0.617329,185.214,0.612594
7,1,11,1.5,10.6897,0.916667,40,0.599924,0.612374,185.148,20.23,0.660421,37.4239,56.1358,5.2514,4.81378,246.995,True,0.00970802,0.599924,185.148,0.612374
7,1,12,1.5,10.5759,0.916667,48.797,0.60882,0.612398,185.155,20.23,0.655952,37.1706,55.756,5.27198,4.83265,242.014,True,0.00970802,0.599924,185.148,0.612374
7,1,13,1.5,7.6806,0.726154,40,0.607019,0.612502,185.186,20.23,0.608272,34.4687,51.7031,6.73165,4.88821,192.982,True,0.00970802,0.599924,185.148,0.612374
7,1,14,1.5,18.3333,0.916667,47.1275,0.573417,0.6133,185.428,20.23,0.908338,51.4725,77.2088,4.21139,3.86044,642.639,False,0.00970802,0.599924,185.148,0.612374
7,1,15,1.5,9.82697,0.916667,40,0.604814,0.61245,185.171,20.23,0.627319,35.5481,53.3221,5.4261,4.97392,211.685,True,0.00970802,0.599924,185.148,0.612374
7,1,16,1.5,16.4014,0.916667,40,0.572549,0.613006,185.339,20.23,0.852282,48.296,72.444,4.41694,4.04886,530.853,False,0.00970802,0.599924,185.148,0.612374
7,1,17,1.5,18.3333,0.916667,58.4756,0.586319,0.613322,185.434,20.23,0.907165,51.406,77.109,4.20595,3.85545,640.151,False,0.00970802,0.599924,185.148,0.612374
7,2,18,1.5,9.611,0.840868,40,0.601573,0.612401,185.156,20.23,0.647948,36.7171,55.0756,5.73048,4.81857,233.263,True,0.00970802,0.599924,185.148,0.612374
7,2,19,1.5,5.80506,0.35288,40,0.586024,0.613351,185.443,20.23,0.676315,38.3245,57.4868,9.90288,3.49452,265.26,False,0.00970802,0.599924,185.148,0.612374
7,2,20,1.5,5.176,0.324981,40,0.58933,0.613367,185.448,20.23,0.644085,36.4981,54.7472,10.5771,3.43737,229.115,True,0.010054,0.58933,185.148,0.612374
7,2,21,1.5,9.75346,0.828964,40,0.599934,0.61239,185.153,20.23,0.658658,37.3239,55.9859,5.74011,4.75834,245.021,True,0.010054,0.58933,185.148,0.612374
7,2,22,1.5,5,0.395959,40,0.601285,0.612768,185.267,20.23,0.596496,33.8014,50.7021,10.1404,4.01519,181.989,True,0.010054,0.58933,185.148,0.612374
7,2,23,1.5,7.30728,0.359813,40,0.572906,0.613826,185.587,20.23,0.773081,43.8079,65.7119,8.99267,3.23568,396.187,False,0.010054,0.58933,185.148,0.612374
7,2,24,1.5,5.15052,0.503244,40,0.611572,0.612631,185.225,20.23,0.55847,31.6466,47.4699,9.21652,4.63816,149.356,True,0.010054,0.58933,185.148,0.612374
7,2,25,1.5,9.12465,0.806205,40,0.602411,0.612415,185.16,20.23,0.641537,36.3538,54.5307,5.97619,4.81804,226.407,True,0.010054,0.58933,185.148,0.612374
7,2,26,1.5,7.82678,0.397297,80,0.619613,0.613974,185.631,20.23,0.756521,42.8695,64.3042,8.21593,3.26416,371.267,False,0.010054,0.58933,185.148,0.612374
7,3,27,1.5,6.05019,0.443014,40,0.595141,0.612776,185.269,20.23,0.646647,36.6433,54.965,9.08484,4.02471,231.86,True,0.0100568,0.58933,185.148,0.612374
7,3,28,1.5,6.61725,0.524896,40,0.598734,0.61257,185.207,20.23,0.641455,36.3491,54.5237,8.23963,4.32495,226.32,True,0.0100571,0.58933,185.148,0.612374
7,3,29,1.5,5.71269,0.387805,40,0.5918,0.613024,185.344,20.23,0.651778,36.9341,55.4012,9.6979,3.76089,237.424,True,0.0100582,0.58933,185.148,0.612374
7,3,30,1.5,9.07887,0.763185,40,0.599733,0.612408,185.158,20.23,0.657577,37.2627,55.894,6.15649,4.69854,243.817,True,0.0100582,0.58933,185.148,0.612374
7,3,31,1.5,7.66629,0.629626,40,0.599523,0.61247,185.177,20.23,0.649809,36.8225,55.2337,7.20476,4.5363,235.278,True,0.0100583,0.58933,185.148,0.612374
7,3,32,1.5,6.44071,0.492686,40,0.596968,0.612642,185.229,20.23,0.646602,36.6408,54.9612,8.53339,4.20428,231.811,True,0.0100585,0.58933,185.148,0.612374
7,3,33,1.5,9.86924,0.830176,40,0.599315,0.612386,185.151,20.23,0.662908,37.5648,56.3472,5.70937,4.73978,249.795,True,0.0100586,0.58933,185.148,0.612374
7,3,34,1.5,9.22428,0.769344,40,0.599214,0.612404,185.157,20.23,0.661315,37.4745,56.2118,6.0939,4.6883,247.999,True,0.0100586,0.58933,185.148,0.612374
7,3,35,1.5,5.61464,0.361621,40,0.589349,0.6132,185.397,20.23,0.658187,37.2972,55.9459,9.96428,3.60329,244.496,True,0.010059,0.58933,185.148,0.612374
7,4,36,1.5,6.45868,0.467423,40,0.593889,0.612753,185.262,20.23,0.660428,37.4242,56.1364,8.69162,4.06266,247.002,True,0.0100594,0.58933,185.148,0.612374
7,4,37,1.5,7.19898,0.55608,40,0.596583,0.612561,185.204,20.23,0.659778,37.3874,56.0811,7.79015,4.33194,246.273,True,0.0100596,0.58933,185.148,0.612374
7,4,38,1.5,6.7772,0.506244,40,0.59519,0.612653,185.232,20.23,0.660198,37.4112,56.1168,8.28023,4.19182,246.744,True,0.0100597,0.58933,185.148,0.612374
7,4,39,1.5,7.83938,0.62664,40,0.597886,0.61248,185.18,20.23,0.660143,37.4081,56.1122,7.15773,4.48532,246.683,True,0.0100598,0.58933,185.148,0.612374
7,4,40,1.5,6.02588,0.410904,40,0.591417,0.612962,185.325,20.23,0.661407,37.4797,56.2196,9.32969,3.83361,248.102,True,0.0100601,0.58933,185.148,0.612374
7,4,41,1.5,6.22149,0.437012,40,0.592658,0.612855,185.293,20.23,0.660883,37.45,56.175,9.02919,3.94586,247.513,True,0.0100602,0.58933,185.148,0.612374
7,4,42,1.5,8.33076,0.679009,40,0.598585,0.612443,185.169,20.23,0.660324,37.4184,56.1275,6.73739,4.57475,246.885,True,0.0100602,0.58933,185.148,0.612374
7,4,43,1.5,6.57518,0.483083,40,0.594546,0.612706,185.248,20.23,0.659681,37.3819,56.0729,8.52797,4.11972,246.165,True,0.0100602,0.58933,185.148,0.612374
7,4,44,1.5,6.71135,0.496825,40,0.594792,0.612677,185.239,20.23,0.661002,37.4568,56.1852,8.37167,4.15926,247.647,True,0.0100602,0.58933,185.148,0.612374
