seed,final_hv,best_t180,best_e_reb_mJ,n,best_e_rebound,n_feasible
0,0.00987355,0.594787,185.154,45,0.612396,29
1,0.00977199,0.598034,185.147,45,0.612372,33
2,0.00974785,0.598762,185.147,45,0.612371,36
3,0.0100354,0.590062,185.148,45,0.612375,30
4,0.0098279,0.596363,185.147,45,0.612372,26
5,0.00989708,0.594273,185.148,45,0.612374,34
6,0.00903103,0.618811,185.194,45,0.612527,26
7,0.0100602,0.58933,185.148,45,0.612374,33
8,0.00984035,0.595989,185.147,45,0.612372,34
9,0.00975374,0.598561,185.148,45,0.612374,31
