seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,hv,best_t180,best_e_reb_mJ
2,0,0,32.1266,89.6262,59.7792,7.8831,5.3902,0.748538,206.945,22.5528,1.23784,0.748538,206.945
2,0,1,33.7842,80.0836,77.408,10.8717,3.0003,0.73902,172.252,18.7931,5.81675,0.73902,172.252
2,0,2,38.9665,99.995,47.6915,7.0737,3.9241,0.695723,195.37,21.3126,6.76591,0.695723,172.252
2,0,3,25.1224,72.0587,65.1213,10.1789,4.664,0.773181,187.049,20.3866,6.76591,0.695723,172.252
2,0,4,27.6114,104.13,70.4432,9.2816,4.4922,0.826827,188.33,20.5235,6.76591,0.695723,172.252
2,0,5,36.3001,63.2297,52.994,6.4571,4.055,0.583724,204.756,22.3494,8.16991,0.583724,172.252
2,0,6,35.9821,96.4464,62.1055,11.662,3.4949,0.746173,173.439,18.9226,8.16991,0.583724,172.252
2,0,7,30.1066,74.8199,44.4573,8.5803,4.9377,0.693671,197.263,21.5084,8.18528,0.583724,172.252
2,0,8,29.0207,100.866,63.7624,6.199,3.1969,0.800004,191.253,20.8503,8.18528,0.583724,172.252
2,1,9,40,60,40.7766,10.8114,3,0.505839,172.319,18.8187,16.3035,0.505839,172.252
2,1,10,40,60,40,8.03602,3,0.494537,180.41,19.7056,16.7204,0.494537,172.252
2,1,11,40,60,68.8623,11.7162,3,0.572548,172.058,18.7895,16.789,0.494537,172.058
2,1,12,36.8955,79.2378,40,10.8292,3,0.633387,171.556,18.7248,16.9068,0.494537,171.556
2,1,13,35.95,60,40,11.88,3,0.549304,170.172,18.5827,17.3963,0.494537,170.172
2,1,14,39.3864,60,40,6,3,0.496985,192.122,20.9848,17.3963,0.494537,170.172
2,1,15,40,60,55.8199,9.72858,3,0.537365,175.83,19.2051,17.3963,0.494537,170.172
2,1,16,40,66.5113,80,12,3,0.632031,171.561,18.728,17.3963,0.494537,170.172
2,1,17,40,93.57,53.1566,10.5555,3,0.687011,172.383,18.8086,17.3963,0.494537,170.172
2,2,18,40,60,40,12,3,0.507216,170.201,18.585,17.4855,0.494537,170.172
2,2,19,37.9523,60,40,12,3,0.528172,170.096,18.5739,17.5119,0.494537,170.096
2,2,20,36.8678,60,40,12,3,0.53964,170.04,18.5679,17.5305,0.494537,170.04
2,2,21,38.9719,60,40,12,3,0.517619,170.149,18.5795,17.5311,0.494537,170.04
2,2,22,40,65.348,40,12,3,0.537575,170.06,18.5671,17.5312,0.494537,170.04
2,2,23,40,60,40,9.53258,3,0.500274,175.303,19.1453,17.5596,0.494537,170.04
2,2,24,36.2205,60,40,12,3,0.546611,170.005,18.5642,17.5706,0.494537,170.005
2,2,25,40,60,40,10.424,3,0.503,173.087,18.9033,17.5769,0.494537,170.005
2,2,26,37.4107,60,40,12,3,0.533829,170.068,18.5709,17.577,0.494537,170.005
2,3,27,39.4881,60,40,12,3,0.512355,170.175,18.5823,17.5771,0.494537,170.005
2,3,28,40,62.9803,40,12,3,0.524451,170.12,18.5748,17.5772,0.494537,170.005
2,3,29,40,66.7012,40,12,3,0.544911,170.027,18.5628,17.5772,0.494537,170.005
2,3,30,40,60,40,8.74673,3,0.497459,177.72,19.4108,17.5848,0.494537,170.005
2,3,31,40,60,40,8.38347,3,0.495991,179.028,19.5541,17.5868,0.494537,170.005
2,3,32,39.7443,60,40,12,3,0.509759,170.188,18.5836,17.5869,0.494537,170.005
2,3,33,40,60,40,11.1965,3,0.505155,171.538,18.7326,17.589,0.494537,170.005
2,3,34,36.5466,60,40,12,3,0.543053,170.023,18.5661,17.589,0.494537,170.005
2,3,35,40,60,40,9.12756,3,0.498894,176.485,19.2752,17.5907,0.494537,170.005
