seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,hv,best_t180,best_e_reb_mJ
6,0,0,35.345,73.9116,70.8421,10.0407,4.89792,0.69514,191.833,20.9271,4.40503,0.69514,191.833
6,0,1,30.8169,98.7495,53.822,6.03466,4.14521,0.764087,206.129,22.4656,4.40503,0.69514,191.833
6,0,2,27.6882,62.9513,64.7581,11.3119,3.12312,0.711677,172.074,18.7825,7.49721,0.69514,172.074
6,0,3,39.8925,87.7861,40.5311,7.86902,4.83129,0.634131,200.835,21.9116,8.50126,0.634131,172.074
6,0,4,36.7295,69.8558,55.2737,8.25111,4.29659,0.622252,194.465,21.2279,9.16102,0.622252,172.074
6,0,5,26.6346,94.9927,79.5055,10.8062,3.50631,0.830237,174.966,19.0745,9.16102,0.622252,172.074
6,0,6,29.9956,83.8893,49.1897,7.09645,3.72289,0.729541,192.397,20.9833,9.16102,0.622252,172.074
6,0,7,32.883,109.036,66.2145,9.08983,5.47177,0.796965,199.249,21.71,9.16102,0.622252,172.074
6,0,8,33.8128,63.5535,45.3556,11.086,3.95462,0.608628,178.53,19.4995,11.0706,0.608628,172.074
6,1,9,37.4159,60,40,10.8661,3,0.531213,172.011,18.7853,15.2577,0.531213,172.011
6,1,10,30.7837,60,40,10.8871,3,0.60718,171.558,18.7344,15.3759,0.531213,171.558
6,1,11,40,60,40,12,3,0.507216,170.201,18.585,16.9976,0.507216,170.201
6,1,12,40,60,65.3798,10.5105,3,0.562123,174.394,19.0468,16.9976,0.507216,170.201
6,1,13,32.9489,60,40,12,3.17442,0.58447,170.859,18.6601,16.9976,0.507216,170.201
6,1,14,27.3756,60,40,12,3.17314,0.651966,170.534,18.6203,16.9976,0.507216,170.201
6,1,15,26.9129,60,40,10.3485,3,0.654789,172.389,18.8218,16.9976,0.507216,170.201
6,1,16,40,60,76.2324,12,3,0.587194,171.86,18.7665,16.9976,0.507216,170.201
6,1,17,40,60,40,9.92899,3,0.501528,174.247,19.0309,17.2425,0.501528,170.201
6,2,18,40,60,40,10.7722,3,0.504039,172.353,18.8225,17.2485,0.501528,170.201
6,2,19,40,60,40,12,3,0.507216,170.201,18.585,17.2485,0.501528,170.201
6,2,20,40,60.4384,40,12,3,0.509776,170.189,18.5834,17.2529,0.501528,170.189
6,2,21,40,60,40,11.2818,3,0.505375,171.384,18.7156,17.2547,0.501528,170.189
6,2,22,40,60.8234,40,12,3,0.51201,170.178,18.5821,17.2584,0.501528,170.178
6,2,23,40,60.2006,40,12,3,0.5084,170.195,18.5843,17.2584,0.501528,170.178
6,2,24,40,60.6151,40,12,3,0.510857,170.184,18.5828,17.2584,0.501528,170.178
6,2,25,40,60,40,10.3419,3,0.502795,173.27,18.9234,17.2597,0.501528,170.178
6,2,26,40,60,40,11.6007,3,0.506214,170.835,18.655,17.2602,0.501528,170.178
6,3,27,40,60,40,11.0231,3,0.504694,171.861,18.7683,17.2605,0.501528,170.178
6,3,28,40,60,40,10.1337,3,0.502139,173.749,18.9762,17.2609,0.501528,170.178
6,3,29,40,60,40,11.7967,3,0.506716,170.516,18.6198,17.261,0.501528,170.178
6,3,30,40,60,40,12,3,0.507216,170.201,18.585,17.261,0.501528,170.178
6,3,31,40,60.3195,40,12,3,0.509091,170.192,18.5839,17.261,0.501528,170.178
6,3,32,40,60.3789,40,12,3,0.509427,170.19,18.5836,17.261,0.501528,170.178
6,3,33,40,60,40,12,3,0.507216,170.201,18.585,17.261,0.501528,170.178
6,3,34,40,60,40,12,3,0.507216,170.201,18.585,17.261,0.501528,170.178
6,3,35,40,60,40,12,3,0.507216,170.201,18.585,17.261,0.501528,170.178
