seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,mass_printed_g,t180,e_reb_mJ,mass_g,hv,best_t180,best_e_reb_mJ
8,0,0,33.1984,81.0415,45.1286,7.65846,3.8898,20.2369,0.739562,185.705,20.2369,3.98907,0.739562,185.705
8,0,1,30.2527,99.36,67.3155,10.051,5.29496,20.097,0.825418,184.708,20.097,4.05228,0.739562,184.708
8,0,2,26.1139,63.065,57.2291,6.76067,4.36409,19.7788,0.757205,181.562,19.7788,4.53449,0.739562,181.562
8,0,3,36.3261,93.8965,75.0434,10.7433,3.58297,20.5534,0.779375,188.895,20.5534,4.53449,0.739562,181.562
8,0,4,38.8137,71.1618,60.3362,11.5201,3.20833,20.4162,0.670539,187.455,20.4162,6.25795,0.670539,181.562
8,0,5,28.3728,90.2921,41.8982,6.03694,4.61415,20.1696,0.800816,185.303,20.1696,6.25795,0.670539,181.562
8,0,6,31.7477,78.2,71.9826,9.30916,4.93261,19.9603,0.772553,183.254,19.9603,6.25795,0.670539,181.562
8,0,7,34.457,109.819,50.422,8.41752,4.15214,20.6273,0.802509,189.516,20.6273,6.25795,0.670539,181.562
8,0,8,36.143,64.4205,72.7269,6.40279,5.37213,20.4992,0.686822,187.895,20.4992,6.25795,0.670539,181.562
8,1,9,40,60,40,8.82063,3,19.773,0.573302,181.432,19.773,9.77956,0.573302,181.432
8,1,10,40,60.5974,40,9.6409,3,20.0982,0.579145,184.434,20.0982,9.77956,0.573302,181.432
8,1,11,40,60,80,6,3,19.773,0.615908,181.442,19.773,9.77956,0.573302,181.432
8,1,12,40,60,40,12,5.5,19.773,0.606267,181.068,19.773,9.88259,0.573302,181.068
8,1,13,40,61.649,40,7.54015,3,20.2686,0.581704,185.949,20.2686,9.88259,0.573302,181.068
8,1,14,33.6561,60,40,12,3,19.773,0.641032,181.518,19.773,9.88259,0.573302,181.068
8,1,15,40,60,80,12,3,19.9942,0.62412,183.616,19.9942,9.88259,0.573302,181.068
8,1,16,40,60,40,12,4.69963,20.1898,0.600321,184.917,20.1898,9.88259,0.573302,181.068
8,1,17,40,60,40,6,3,19.9674,0.569345,183.141,19.9674,9.99847,0.569345,181.068
8,2,18,40,60,40,6,3,19.773,0.568604,181.364,19.773,10.0308,0.568604,181.068
8,2,19,40,60,40,6,4.72406,19.773,0.593072,181.015,19.773,10.0503,0.568604,181.015
8,2,20,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0503,0.568604,181.015
8,2,21,40,60,40,6,3.89109,19.773,0.582186,181.121,19.773,10.053,0.568604,181.015
8,2,22,40,60,40,6,3.45568,19.773,0.575677,181.227,19.773,10.0539,0.568604,181.015
8,2,23,40,60,40,6,4.30728,19.773,0.587963,181.052,19.773,10.0542,0.568604,181.015
8,2,24,40,60,40,6,5.10967,19.773,0.597299,181.005,19.773,10.057,0.568604,181.005
8,2,25,40,60,40,6,3.67493,19.773,0.579001,181.17,19.773,10.0572,0.568604,181.005
8,2,26,40,60,40,8.95033,5.5,19.773,0.603791,181.037,19.773,10.0572,0.568604,181.005
8,3,27,40,60,40,6,3.23243,19.773,0.572211,181.292,19.773,10.0574,0.568604,181.005
8,3,28,40,60,40,6,4.5131,19.773,0.590569,181.03,19.773,10.0575,0.568604,181.005
8,3,29,40,60,40,6,4.91428,19.773,0.595249,181.007,19.773,10.0575,0.568604,181.005
8,3,30,40,60,40,6,4.09708,19.773,0.585131,181.082,19.773,10.0576,0.568604,181.005
8,3,31,40,60,40,6,5.30172,19.773,0.599172,181.008,19.773,10.0576,0.568604,181.005
8,3,32,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0576,0.568604,181.005
8,3,33,40,60,40,6,3,19.773,0.568604,181.364,19.773,10.0576,0.568604,181.005
8,3,34,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0576,0.568604,181.005
8,3,35,40,60,40,6,5.5,19.773,0.601059,181.015,19.773,10.0576,0.568604,181.005
8,4,36,40,60,40,6,3.11455,19.773,0.570376,181.328,19.773,10.0577,0.568604,181.005
8,4,37,40,60,40,6,3.56317,19.773,0.577312,181.198,19.773,10.0577,0.568604,181.005
8,4,38,40,60,40,6,3.34219,19.773,0.573921,181.259,19.773,10.0578,0.568604,181.005
8,4,39,40,60,40,6,3.9914,19.773,0.583675,181.1,19.773,10.0578,0.568604,181.005
8,4,40,40,60,40,6,3.78053,19.773,0.580566,181.145,19.773,10.0578,0.568604,181.005
8,4,41,40,60,40,6,3.17303,19.773,0.571305,181.31,19.773,10.0579,0.568604,181.005
8,4,42,40,60,40,6,4.19878,19.773,0.586487,181.067,19.773,10.0579,0.568604,181.005
8,4,43,40,60,40,6,4.40608,19.773,0.58924,181.04,19.773,10.0579,0.568604,181.005
8,4,44,40,60,40,6,3.39843,19.773,0.574808,181.243,19.773,10.0579,0.568604,181.005
