seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,hv,best_t180,best_e_reb_mJ
0,0,0,32.1266,89.6262,59.7792,7.8831,5.3902,0.748538,206.945,22.5528,1.23784,0.748538,206.945
0,0,1,33.7842,80.0836,77.408,10.8717,3.0003,0.73902,172.252,18.7931,5.81675,0.73902,172.252
0,0,2,38.9665,99.995,47.6915,7.0737,3.9241,0.695723,195.37,21.3126,6.76591,0.695723,172.252
0,0,3,25.1224,72.0587,65.1213,10.1789,4.664,0.773181,187.049,20.3866,6.76591,0.695723,172.252
0,0,4,27.6114,104.13,70.4432,9.2816,4.4922,0.826827,188.33,20.5235,6.76591,0.695723,172.252
0,0,5,36.3001,63.2297,52.994,6.4571,4.055,0.583724,204.756,22.3494,8.16991,0.583724,172.252
0,0,6,35.9821,96.4464,62.1055,11.662,3.4949,0.746173,173.439,18.9226,8.16991,0.583724,172.252
0,0,7,30.1066,74.8199,44.4573,8.5803,4.9377,0.693671,197.263,21.5084,8.18528,0.583724,172.252
0,0,8,29.0207,100.866,63.7624,6.199,3.1969,0.800004,191.253,20.8503,8.18528,0.583724,172.252
0,1,9,40,60,40,12,3,0.507216,170.201,18.585,16.9976,0.507216,170.201
0,1,10,40,60,40,8.34196,3,0.495839,179.186,19.5714,17.4312,0.495839,170.201
0,1,11,40,60,80,12,3,0.595557,172.001,18.7811,17.4312,0.495839,170.201
