tendon_dia_mm,prestrain_pct,peak_g,pulse_ms,sea_Jpkg,class_1
1.199999999999999956e+00,0.000000000000000000e+00,1.631191909001048401e+01,7.500000000000000888e+00,3.022034278488592397e-06,1.000000000000000000e+00
1.199999999999999956e+00,2.000000000000000000e+00,1.631192044630861204e+01,7.500000000000000888e+00,2.979816055290538383e-06,1.000000000000000000e+00
1.199999999999999956e+00,4.000000000000000000e+00,1.631191916282855203e+01,7.500000000000000888e+00,2.928016035139431787e-06,1.000000000000000000e+00
1.199999999999999956e+00,6.000000000000000000e+00,1.631191906796559721e+01,7.500000000000000888e+00,2.901357295756296306e-06,1.000000000000000000e+00
1.199999999999999956e+00,8.000000000000000000e+00,1.631191941797047917e+01,7.500000000000000888e+00,2.875906537850274291e-06,1.000000000000000000e+00
1.600000000000000089e+00,0.000000000000000000e+00,1.631188668830825605e+01,7.500000000000000888e+00,2.911829803433213752e-06,1.000000000000000000e+00
1.600000000000000089e+00,2.000000000000000000e+00,1.631188672792941219e+01,7.500000000000000888e+00,2.886891200587516131e-06,1.000000000000000000e+00
1.600000000000000089e+00,4.000000000000000000e+00,1.631188677468270143e+01,7.500000000000000888e+00,2.851621837737220480e-06,1.000000000000000000e+00
1.600000000000000089e+00,6.000000000000000000e+00,1.631188716602839506e+01,7.500000000000000888e+00,2.827950434178672125e-06,1.000000000000000000e+00
1.600000000000000089e+00,8.000000000000000000e+00,1.631188751530105208e+01,7.500000000000000888e+00,2.805399109201899102e-06,1.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.631186864400961412e+01,7.500000000000000888e+00,2.328522171519159499e-06,1.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000000e+00,1.631186865692826515e+01,7.500000000000000888e+00,2.317853087013249760e-06,1.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000000e+00,1.631186871668678151e+01,7.500000000000000888e+00,2.298278509217682334e-06,1.000000000000000000e+00
2.000000000000000000e+00,6.000000000000000000e+00,1.631186500199767409e+01,7.500000000000000888e+00,2.284072539956317445e-06,1.000000000000000000e+00
2.000000000000000000e+00,8.000000000000000000e+00,1.631186527105020900e+01,7.500000000000000888e+00,2.267330302538486265e-06,1.000000000000000000e+00
2.500000000000000000e+00,0.000000000000000000e+00,1.631185928353482240e+01,7.500000000000000888e+00,1.594527772778560805e-06,1.000000000000000000e+00
2.500000000000000000e+00,2.000000000000000000e+00,1.631185781341167029e+01,7.500000000000000888e+00,1.588853245816493448e-06,1.000000000000000000e+00
2.500000000000000000e+00,4.000000000000000000e+00,1.631185750571579263e+01,7.500000000000000888e+00,1.575695666668873711e-06,1.000000000000000000e+00
2.500000000000000000e+00,6.000000000000000000e+00,1.631185766543229576e+01,7.500000000000000888e+00,1.564835975281876457e-06,1.000000000000000000e+00
2.500000000000000000e+00,8.000000000000000000e+00,1.631185783503951825e+01,7.500000000000000888e+00,1.553778764820537013e-06,1.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,1.631185706472524544e+01,7.500000000000000888e+00,1.120038251612278637e-06,1.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+00,1.631185849448087311e+01,7.500000000000000888e+00,1.111158506091371865e-06,1.000000000000000000e+00
3.000000000000000000e+00,4.000000000000000000e+00,1.631185845942057000e+01,7.500000000000000888e+00,1.096765010616033666e-06,1.000000000000000000e+00
3.000000000000000000e+00,6.000000000000000000e+00,1.631185858578058756e+01,7.500000000000000888e+00,1.088557520521059416e-06,1.000000000000000000e+00
3.000000000000000000e+00,8.000000000000000000e+00,1.631185687180164834e+01,7.500000000000000888e+00,1.080637655146632822e-06,1.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,1.631185418823132238e+01,7.500000000000000888e+00,6.610165893424826716e-07,1.000000000000000000e+00
4.000000000000000000e+00,2.000000000000000000e+00,1.631185319996873417e+01,7.500000000000000888e+00,6.590587101304744199e-07,1.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+00,1.631185365635244366e+01,7.500000000000000888e+00,6.532195863581519494e-07,1.000000000000000000e+00
4.000000000000000000e+00,6.000000000000000000e+00,1.631185383835828873e+01,7.500000000000000888e+00,6.485783554190007987e-07,1.000000000000000000e+00
4.000000000000000000e+00,8.000000000000000000e+00,1.631185394072741346e+01,7.500000000000000888e+00,6.440052478474304948e-07,1.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,1.631185338396697659e+01,7.500000000000000888e+00,4.197589333180540842e-07,1.000000000000000000e+00
5.000000000000000000e+00,2.000000000000000000e+00,1.631185035488585910e+01,7.500000000000000888e+00,4.180688929171236944e-07,1.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+00,1.631184981457901984e+01,7.500000000000000888e+00,4.144912142632798209e-07,1.000000000000000000e+00
5.000000000000000000e+00,6.000000000000000000e+00,1.631184976884824067e+01,7.500000000000000888e+00,4.115162277339274665e-07,1.000000000000000000e+00
5.000000000000000000e+00,8.000000000000000000e+00,1.631184973084658552e+01,7.500000000000000888e+00,4.087228504993174901e-07,1.000000000000000000e+00
