cable_stiffness_Npm,peak_g,pulse_ms,sea_Jpkg
1.000000000000000000e+02,1.631197969530406056e+01,7.500000000000000888e+00,1.426372945344694786e-06
1.661200000000000045e+02,1.631196139351120422e+01,7.500000000000000888e+00,2.027017449021487439e-06
2.759499999999999886e+02,1.631193740618078891e+01,7.500000000000000888e+00,2.626063521326333696e-06
4.583899999999999864e+02,1.631191229863025072e+01,7.500000000000000888e+00,2.960542970788691528e-06
7.614600000000000364e+02,1.631188246919593965e+01,7.500000000000000888e+00,2.776964206972981893e-06
1.264910000000000082e+03,1.631186383248127214e+01,7.500000000000000888e+00,2.074730736049370923e-06
2.101219999999999800e+03,1.631185842037433176e+01,7.500000000000000888e+00,1.292088762592002954e-06
3.490469999999999800e+03,1.631185669832165885e+01,7.500000000000000888e+00,8.010435114533521594e-07
5.798239999999999782e+03,1.631185006868258824e+01,7.500000000000000888e+00,4.987919460949953802e-07
9.631809999999999491e+03,1.631185304413744319e+01,7.500000000000000888e+00,3.082030920154703288e-07
1.600000000000000000e+04,1.631185031313932399e+01,7.500000000000000888e+00,1.970309956955862299e-07
