tendon_dia_mm,prestrain_pct,peak_g,pulse_ms,sea_Jpkg,class_1
1.199999999999999956e+00,0.000000000000000000e+00,9.868336832781643864e+01,8.150000000000000355e+00,4.795166313960186853e-03,1.000000000000000000e+00
1.199999999999999956e+00,2.000000000000000000e+00,9.755871930793460933e+01,8.599999999999999645e+00,3.086755483042906943e-03,1.000000000000000000e+00
1.199999999999999956e+00,4.000000000000000000e+00,1.040627154036177728e+02,7.850000000000001421e+00,2.638512310107421054e-03,1.000000000000000000e+00
1.199999999999999956e+00,6.000000000000000000e+00,1.039878031484442005e+02,7.850000000000001421e+00,2.112637852236371426e-03,1.000000000000000000e+00
1.199999999999999956e+00,8.000000000000000000e+00,1.039462145716303354e+02,7.850000000000001421e+00,1.621490017214172099e-03,1.000000000000000000e+00
1.600000000000000089e+00,0.000000000000000000e+00,9.861272276735090259e+01,8.150000000000000355e+00,8.411315113657436698e-03,1.000000000000000000e+00
1.600000000000000089e+00,2.000000000000000000e+00,9.755275401349430808e+01,8.599999999999999645e+00,5.393128335338308842e-03,1.000000000000000000e+00
1.600000000000000089e+00,4.000000000000000000e+00,9.751008877735695535e+01,8.599999999999999645e+00,4.660935260166171323e-03,1.000000000000000000e+00
1.600000000000000089e+00,6.000000000000000000e+00,1.039695554850914903e+02,7.850000000000001421e+00,3.839129570825165934e-03,1.000000000000000000e+00
1.600000000000000089e+00,8.000000000000000000e+00,1.039326671023183621e+02,7.850000000000001421e+00,2.855986890932612435e-03,1.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,9.855027682132482880e+01,8.150000000000000355e+00,1.643608215346057180e-02,1.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000000e+00,9.754366755388963384e+01,8.599999999999999645e+00,8.226963749177277838e-03,1.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000000e+00,9.749979178475145147e+01,8.599999999999999645e+00,7.159918353128784385e-03,1.000000000000000000e+00
2.000000000000000000e+00,6.000000000000000000e+00,1.039516357812273100e+02,7.850000000000001421e+00,6.074564489997423891e-03,1.000000000000000000e+00
2.000000000000000000e+00,8.000000000000000000e+00,1.039152467794216221e+02,7.850000000000001421e+00,4.404832824804432237e-03,1.000000000000000000e+00
2.500000000000000000e+00,0.000000000000000000e+00,9.356782455629051753e+01,8.750000000000000000e+00,4.638319226861960937e-02,1.000000000000000000e+00
2.500000000000000000e+00,2.000000000000000000e+00,9.753064250414003311e+01,8.599999999999999645e+00,1.186439734146979910e-02,1.000000000000000000e+00
2.500000000000000000e+00,4.000000000000000000e+00,1.040862567614399978e+02,7.850000000000001421e+00,1.054692873548112100e-02,1.000000000000000000e+00
2.500000000000000000e+00,6.000000000000000000e+00,1.039148241527743863e+02,7.850000000000001421e+00,9.555006172521052568e-03,1.000000000000000000e+00
2.500000000000000000e+00,8.000000000000000000e+00,1.039032476924738830e+02,7.850000000000001421e+00,6.908171810943897380e-03,1.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,9.350414869456497513e+01,8.800000000000000711e+00,1.478732068877024186e-01,1.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+00,9.751310454509172132e+01,8.599999999999999645e+00,1.488069386579559360e-02,1.000000000000000000e+00
3.000000000000000000e+00,4.000000000000000000e+00,1.040499812158770112e+02,7.850000000000001421e+00,1.300861131757017827e-02,1.000000000000000000e+00
3.000000000000000000e+00,6.000000000000000000e+00,1.035401364843297074e+02,7.900000000000000355e+00,1.230574690057640273e-02,1.000000000000000000e+00
3.000000000000000000e+00,8.000000000000000000e+00,1.035444298500289193e+02,7.900000000000000355e+00,9.502035659736611517e-03,1.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,9.334940460538130935e+01,8.750000000000000000e+00,3.082782063860714517e-01,1.000000000000000000e+00
4.000000000000000000e+00,2.000000000000000000e+00,1.040346512477446339e+02,7.850000000000001421e+00,2.120646682821814011e-02,1.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+00,1.039731045058765204e+02,7.850000000000001421e+00,1.732255055785525411e-02,1.000000000000000000e+00
4.000000000000000000e+00,6.000000000000000000e+00,1.034722122926843468e+02,7.900000000000000355e+00,1.630419880777379468e-02,1.000000000000000000e+00
4.000000000000000000e+00,8.000000000000000000e+00,1.034882239329861164e+02,7.900000000000000355e+00,1.473610316953550235e-02,1.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,9.861207834820199025e+01,8.000000000000000000e+00,5.845148360133740617e-01,1.000000000000000000e+00
5.000000000000000000e+00,2.000000000000000000e+00,1.026789483633124433e+02,7.950000000000000178e+00,2.653990959140877653e-02,1.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+00,1.026300957880375080e+02,7.950000000000000178e+00,2.264579563464479833e-02,1.000000000000000000e+00
5.000000000000000000e+00,6.000000000000000000e+00,9.681553042610943294e+01,8.599999999999999645e+00,2.197339230347122169e-02,1.000000000000000000e+00
5.000000000000000000e+00,8.000000000000000000e+00,1.034105663172706215e+02,7.900000000000000355e+00,2.014387405874676004e-02,1.000000000000000000e+00
