cable_stiffness_Npm,peak_g,pulse_ms,sea_Jpkg
4.000000000000000000e+02,9.729961483234971809e+01,8.599999999999999645e+00,1.473620476544402688e-02
6.644600000000000364e+02,9.727463736104451186e+01,8.599999999999999645e+00,1.898707221965820202e-02
1.103779999999999973e+03,1.019284266055285286e+02,7.900000000000000355e+00,4.333738263456331924e-02
1.833559999999999945e+03,9.636728248055266022e+01,8.599999999999999645e+00,3.728043499023174501e-02
3.045849999999999909e+03,9.662525620821685379e+01,8.599999999999999645e+00,4.831259892920943683e-02
5.059640000000000327e+03,1.028080486615847633e+02,7.850000000000001421e+00,6.165780235104119378e-02
8.404889999999999418e+03,1.024876277233765052e+02,7.850000000000001421e+00,7.650371058707876315e-02
1.396187999999999920e+04,1.022163987471085278e+02,7.850000000000001421e+00,9.423682673433304846e-02
2.319295000000000073e+04,1.016888486027868481e+02,7.850000000000001421e+00,1.147005016238469011e-01
3.852725000000000000e+04,9.867803732963417929e+01,7.950000000000000178e+00,1.363628985205250499e-01
6.400000000000000000e+04,9.325146179361624377e+01,8.599999999999999645e+00,1.561779086409437745e-01
