strategy,seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,print_scale,ok,hv,best_t180,best_e_reb_mJ
random,2,0,0,28.924182013739745,74.92455717070617,72.56902962377121,6.551495652810582,4.500251314914135,0.7523365908779149,208.3270196578664,22.70256749482588,1.0394104349421043,True,1.0384263057811276,0.7523365908779149,208.3270196578664
random,2,0,1,35.92840790217692,69.39505366833018,42.20586509332273,7.649816207436229,4.643582537188982,0.6180203211838057,201.06662823989382,21.94050427411426,0.9497839104709898,True,4.0587390837203925,0.6180203211838057,201.06662823989382
random,2,0,2,33.43398494170642,67.50311316526681,57.305231632191486,10.015783791447122,4.056961683175319,0.6564995730561612,183.3685726516138,20.018859041123733,0.8736683089544309,True,7.804858670056241,0.6180203211838057,183.3685726516138
random,2,0,3,34.49776598911175,108.37179762468384,67.32259289238502,8.349748998480157,3.4681314243002452,0.7870281026816275,182.77794506528105,19.933117355430305,0.8672786431979546,True,7.852782131764678,0.6180203211838057,182.77794506528105
random,2,0,4,30.189409983576,85.55329867847885,75.64837638002317,10.653383654836137,3.795366501538436,0.7832535377221492,178.19504914108225,19.435429766691197,0.811127143458017,True,8.244165637034845,0.6180203211838057,178.19504914108225
random,2,0,5,38.86325344760236,83.54549427078788,67.7503536880892,6.643243850721529,3.2613588960823536,0.6822553003198176,191.67857825585665,20.918768599905256,1.0524318584928518,True,8.244165637034845,0.6180203211838057,178.19504914108225
random,2,0,6,28.028611712941753,104.22248368441467,67.19245845938335,11.095417941686607,4.611090673013794,0.8225125355166485,182.32025302467133,19.871568695130932,0.7309133492514236,True,8.244165637034845,0.6180203211838057,178.19504914108225
random,2,0,7,31.098135965133046,85.82890970624983,63.73774071023625,11.17270790944577,4.095465415397813,0.7592408128012385,178.91191714919105,19.51620664681912,0.7775959845795111,True,8.351182079681786,0.6180203211838057,178.19504914108225
random,2,0,8,38.383601649499646,90.68584692012936,73.17424503226326,8.988336329503488,4.731295329574934,0.7296913064062447,194.65938753184378,21.23096150749428,0.8345894143962965,True,8.351182079681786,0.6180203211838057,178.19504914108225
random,2,1,9,30.085380619739652,86.1414251961882,48.64893564076058,6.604221612110861,3.096510324802422,0.7333851711471827,187.25276402827976,20.426625206604456,1.063714435248011,True,8.351182079681786,0.6180203211838057,178.19504914108225
random,2,1,10,35.529242145789844,82.8215310440778,75.90936588372702,11.011099228153679,3.9627378362020416,0.7357294407762801,179.32541890656154,19.568163025703818,0.7948777464094503,True,8.446242171535813,0.6180203211838057,178.19504914108225
random,2,1,11,39.60518154557835,89.60310055391824,70.63533256861191,8.44316615087764,3.49042477992068,0.7089538299889584,184.18233946025384,20.100985608032037,0.9046138489120394,True,8.446242171535813,0.6180203211838057,178.19504914108225
random,2,1,12,27.57665522622752,69.06031131154934,64.15222069049754,6.67579713066791,3.049776872093554,0.728346871859062,187.4140963403304,20.446421270640823,1.1403849499269851,True,8.446242171535813,0.6180203211838057,178.19504914108225
random,2,1,13,37.49495446282631,64.97055589663204,58.023381422070486,8.930991438503817,4.550681020958906,0.5977715789801736,194.30294982474413,21.212950332288486,0.9072948376636998,True,9.17200280736109,0.5977715789801736,178.19504914108225
random,2,1,14,32.56021723602395,106.8671571864484,70.01586377453103,9.446798987297795,4.543180341763208,0.8017563129691111,188.55374768396987,20.554236595983646,0.7881297932729486,True,9.17200280736109,0.5977715789801736,178.19504914108225
random,2,1,15,32.5982723741047,108.23809044376773,49.06504253436547,10.13416282289141,4.387741697244663,0.77534792171671,183.6913533174444,20.02954740663914,0.7553538871431343,True,9.17200280736109,0.5977715789801736,178.19504914108225
random,2,1,16,25.63017683603029,74.80749998918668,77.08667741606365,10.707389144579999,3.032077733825971,0.7914179068065177,172.20477262357156,18.78236246512622,0.8627736018875923,True,9.631757088334766,0.5977715789801736,172.20477262357156
random,2,1,17,29.449394944941172,60.49026745232819,73.09867771912312,6.662205553854378,3.143637946937049,0.6877116807352667,190.49537698469175,20.788751595879084,1.178056788626868,True,9.631757088334766,0.5977715789801736,172.20477262357156
random,2,2,18,39.72825014792648,82.2934939707607,52.73571996254704,6.294080337378553,3.973988210747055,0.631685656577266,203.7879243291449,22.23672795067752,1.0271949248069276,True,9.631757088334766,0.5977715789801736,172.20477262357156
random,2,2,19,30.490585858932075,86.1740394027732,40.27141865925932,6.887777281741311,3.5247163143710156,0.7146676526361053,190.73369831659596,20.804716841261705,1.0154085808001778,True,9.631757088334766,0.5977715789801736,172.20477262357156
random,2,2,20,31.607567781230465,75.11516831549332,64.53310705961596,7.712595633235773,5.27408252521105,0.7185117044529583,208.32968503334678,22.70747055618397,0.9234707304841168,True,9.631757088334766,0.5977715789801736,172.20477262357156
random,2,2,21,39.428049372971145,62.97174327179513,48.36238876619916,9.378139099535447,4.926650573709949,0.6293132708334359,195.3011493592678,21.326921782037594,0.8652044944379573,True,9.631757088334766,0.5977715789801736,172.20477262357156
random,2,2,22,25.96036346986572,69.24013422149399,58.268804867627566,10.01214455130104,5.258319817472029,0.746338490117705,193.24219063931452,21.06173528418239,0.8505201120524346,True,9.631757088334766,0.5977715789801736,172.20477262357156
random,2,2,23,38.004594453123254,99.68777077091289,42.109285735062045,11.859818959753124,4.536569872877892,0.7054168251508656,179.65397856138833,19.604884392603015,0.6976830775500276,True,9.744356151196207,0.5977715789801736,172.20477262357156
random,2,2,24,26.291737228021752,72.74643876948826,64.83016338265163,8.313840701301837,4.116508688726356,0.760115590728011,190.52498903333995,20.770983218555138,0.9616972856112466,True,9.744356151196207,0.5977715789801736,172.20477262357156
random,2,2,25,37.06877598398125,101.20154887073893,61.8714792072123,10.75470662432667,4.015012322732636,0.7497211223153171,179.45884033215964,19.57877549335485,0.7524495861940163,True,9.744356151196207,0.5977715789801736,172.20477262357156
random,2,2,26,39.617227559776154,90.25795827130179,78.70791930747274,6.2639261523383825,5.2067316321067505,0.7262501463709622,221.02783785380288,24.085767707831096,0.9433391279176266,True,9.744356151196207,0.5977715789801736,172.20477262357156
random,2,3,27,33.39065781317315,95.68195154793986,47.703799015160804,9.292148255945959,3.723194810304798,0.7367948921214352,181.20972362212655,19.768955948250966,0.8349816301010587,True,9.744356151196207,0.5977715789801736,172.20477262357156
random,2,3,28,26.582207153000603,60.159338530905856,76.27360079458415,10.025425890214965,3.512554329166268,0.7334756949292514,178.65051678704444,19.493574072933082,0.9427884899003348,True,9.76876250880564,0.5977715789801736,172.20477262357156
random,2,3,29,28.86728016344116,83.27971557608743,72.73149013077894,6.705753617270878,5.419462075409324,0.7814798223304006,217.1286372220077,23.651729638005932,0.9490179149598541,True,9.76876250880564,0.5977715789801736,172.20477262357156
random,2,3,30,39.1586614964063,72.23300478463167,65.63127438007723,8.160585196596516,4.74330836126396,0.6328901401840371,201.3457123159716,21.969058325571822,0.9167808496069167,True,9.76876250880564,0.5977715789801736,172.20477262357156
random,2,3,31,26.3037415022163,83.49829401032135,63.539632147603754,9.758854415548097,4.731988685428908,0.7899691917929839,188.95010287014395,20.592250198881217,0.8333803557005544,True,9.76876250880564,0.5977715789801736,172.20477262357156
random,2,3,32,38.37072059501509,72.0625104953713,46.12777269332745,8.343641623277854,4.422070369222795,0.5963745549875298,194.54493617749327,21.23990971627482,0.9100644668850358,True,9.800540702727883,0.5963745549875298,172.20477262357156
random,2,3,33,39.40793141380832,95.52527928082091,69.53770202678517,11.836302322863741,3.669357906896475,0.7315416083564275,174.72528509263623,19.066090386601633,0.7309871349041246,True,10.0337912231245,0.5963745549875298,172.20477262357156
random,2,3,34,28.89192438288817,81.12704187844511,51.816800296789324,9.906620311370816,5.37928480204884,0.7440840132039269,194.2756560121891,21.174388848407187,0.8079160706523217,True,10.0337912231245,0.5963745549875298,172.20477262357156
random,2,3,35,27.302672388040364,85.89738411100674,67.10312395192949,8.959065999486793,5.284359602235043,0.7918800489250739,198.5115577285592,21.62776069191144,0.8435774429094992,True,10.0337912231245,0.5963745549875298,172.20477262357156
