tier,regime,seed,trial,stage,feasible,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta
B,crutch,0,0,seed,True,37.5,105.0,60.0,9.0,4.5,4600882.530212402,nan,nan
B,crutch,0,1,seed,True,25.0,70.0,60.0,6.0,3.0,4136860.370635986,nan,nan
B,crutch,0,2,seed,True,40.0,110.0,80.0,12.0,5.5,3726482.391357422,nan,nan
B,crutch,0,3,bo,True,32.12660789489746,89.62619960308075,59.779168367385864,7.883110463619232,5.390229552984238,4279017.448425293,nan,nan
B,crutch,0,4,bo,True,33.78421091474593,80.08363888598979,77.40803673863411,10.871692322194576,3.0002933759242296,2692937.8509521484,nan,nan
B,crutch,0,5,bo,True,38.966525895521045,99.9949629791081,47.69145276397467,7.0736855417490005,3.924100966658443,5514621.734619141,nan,nan
B,crutch,0,6,bo,True,25.12244868092239,72.05869475379586,65.12134216725826,10.178905690088868,4.664013741537929,2363026.142120362,nan,nan
B,crutch,0,7,bo,True,27.61138922534883,104.13039973005652,70.44321060180664,9.281588517129421,4.492183008231223,4434585.5712890625,nan,nan
B,crutch,0,8,bo,True,36.3001315202564,63.22969211265445,52.993954457342625,6.45712129957974,4.055047663394362,3418028.3546447754,nan,nan
B,crutch,0,9,bo,True,35.98206919617951,96.44641791470349,62.10553474724293,11.662046933546662,3.4949190141633153,3338456.153869629,nan,nan
B,crutch,0,10,bo,True,40.0,60.0,73.2015097181883,10.380018494747976,5.5,2370178.699493408,nan,nan
B,crutch,0,11,bo,True,25.0,60.291813186445786,40.0,10.223509311331515,3.293687339077336,2201199.5315551762,nan,nan
B,crutch,0,12,bo,True,25.0,60.0,40.0,9.631161004390648,5.5,2228021.6217041016,nan,nan
B,crutch,0,13,bo,True,25.0,60.0,80.0,9.542533604596306,3.0,2230703.8307189946,nan,nan
B,crutch,0,14,bo,True,40.0,60.0,40.0,9.534795114276422,3.0,2514123.9166259766,nan,nan
B,crutch,0,15,bo,True,25.0,60.0,80.0,10.563529362537766,5.318333294532792,2202093.603515625,nan,nan
B,crutch,0,16,bo,True,25.0,60.97427321833939,80.0,11.155343108531602,3.0,2191364.7651672363,nan,nan
B,crutch,0,17,bo,True,25.0,67.43123801612948,40.0,11.6887703540915,5.5,2187788.486480713,nan,nan
B,crutch,1,0,seed,True,37.5,105.0,60.0,9.0,4.5,4600882.530212402,nan,nan
B,crutch,1,1,seed,True,25.0,70.0,60.0,6.0,3.0,4136860.370635986,nan,nan
B,crutch,1,2,seed,True,40.0,110.0,80.0,12.0,5.5,3726482.391357422,nan,nan
B,crutch,1,3,bo,True,29.01588201522827,78.08772683143616,68.49377632141113,6.186079300940037,4.3571396470069885,4531145.095825194,nan,nan
B,crutch,1,4,bo,True,38.10163485817611,102.0878179371357,54.2411782592535,10.208712989464402,4.141421245411038,3901720.046997071,nan,nan
B,crutch,1,5,bo,True,33.65944660734385,71.98334526270628,74.29706420749426,8.826019724830985,3.1144635234959424,2945959.5680236816,nan,nan
B,crutch,1,6,bo,True,25.518644731491804,95.69061383605003,48.589333556592464,10.80336531624198,5.398743943776935,3456473.3505249023,nan,nan
B,crutch,1,7,bo,True,27.88618473801762,62.161960350349545,58.082623556256294,11.374064527451992,5.04794887220487,2169013.023376465,nan,nan
B,crutch,1,8,bo,True,34.97962330467999,85.18849433399737,64.80598159134388,7.902211407199502,3.465582248289138,3985762.596130371,nan,nan
B,crutch,1,9,bo,True,38.47701502498239,80.86221878416836,44.750324599444866,9.61311042867601,3.790626769885421,3181099.8916625977,nan,nan
B,crutch,1,10,bo,True,25.0,60.0,80.0,11.659199241649329,3.0,2203881.740570068,nan,nan
B,crutch,1,11,bo,True,40.0,60.0,80.0,11.734491086166551,4.937577772557597,2202987.6708984375,nan,nan
B,crutch,1,12,bo,True,25.0,60.0,80.0,11.194917959224677,5.5,2202093.6012268066,nan,nan
B,crutch,1,13,bo,True,25.0,60.0,40.0,11.319908562231952,3.52042915870591,2198517.322540283,nan,nan
B,crutch,1,14,bo,True,25.0,60.0,40.0,12.0,5.5,2219974.994659424,nan,nan
B,crutch,1,15,bo,True,40.0,60.0,80.0,10.968765116726917,3.0,2288818.359375,nan,nan
B,crutch,1,16,bo,True,25.0,62.602490867208886,80.0,12.0,4.631330339704795,2196729.1831970215,nan,nan
B,crutch,1,17,bo,True,25.0,60.0,80.0,11.381298708913063,4.38424045609555,2202093.6012268066,nan,nan
