tier,regime,seed,trial,stage,feasible,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta
B,lander,0,0,seed,True,37.5,105.0,60.0,9.0,4.5,4609584.808349609,nan,nan
B,lander,0,1,seed,True,25.0,70.0,60.0,6.0,3.0,4151463.6993408203,nan,nan
B,lander,0,2,seed,True,40.0,110.0,80.0,12.0,5.5,3727793.8842773433,nan,nan
B,lander,0,3,bo,True,32.12660789489746,89.62619960308075,59.779168367385864,7.883110463619232,5.390229552984238,4281759.262084961,nan,nan
B,lander,0,4,bo,True,33.78421091474593,80.08363888598979,77.40803673863411,10.871692322194576,3.0002933759242296,2704381.9427490234,nan,nan
B,lander,0,5,bo,True,38.966525895521045,99.9949629791081,47.69145276397467,7.0736855417490005,3.924100966658443,5525708.389282227,nan,nan
B,lander,0,6,bo,True,25.12244868092239,72.05869475379586,65.12134216725826,10.178905690088868,4.664013741537929,2371907.2341918945,nan,nan
B,lander,0,7,bo,True,27.61138922534883,104.13039973005652,70.44321060180664,9.281588517129421,4.492183008231223,4441499.710083008,nan,nan
B,lander,0,8,bo,True,36.3001315202564,63.22969211265445,52.993954457342625,6.45712129957974,4.055047663394362,3424108.123779297,nan,nan
B,lander,0,9,bo,True,35.98206919617951,96.44641791470349,62.10553474724293,11.662046933546662,3.4949190141633153,3346204.7576904297,nan,nan
B,lander,0,10,bo,True,40.0,60.0,73.4691436549864,10.368947283987799,5.5,2374112.7014160156,nan,nan
B,lander,0,11,bo,True,25.0,60.18426879795913,40.0,10.22902138495462,3.3866310510346964,2204060.554504394,nan,nan
B,lander,0,12,bo,True,25.0,60.0,40.0,9.636217227918195,5.5,2232253.646850586,nan,nan
B,lander,0,13,bo,True,25.0,60.0,80.0,9.552681706775422,3.0,2233326.530456543,nan,nan
B,lander,0,14,bo,True,40.0,60.0,40.0,9.528635647882018,3.0,2518713.5696411133,nan,nan
B,lander,0,15,bo,True,25.0,60.0,80.0,10.561090452666669,5.090699836048784,2202033.9965820312,nan,nan
B,lander,0,16,bo,True,25.0,60.0,80.0,9.858459379566696,5.5,2220690.34576416,nan,nan
B,lander,0,17,bo,True,25.0,61.036536560155874,80.0,11.047635014581319,3.0,2193331.7184448247,nan,nan
B,lander,1,0,seed,True,37.5,105.0,60.0,9.0,4.5,4609584.808349609,nan,nan
B,lander,1,1,seed,True,25.0,70.0,60.0,6.0,3.0,4151463.6993408203,nan,nan
B,lander,1,2,seed,True,40.0,110.0,80.0,12.0,5.5,3727793.8842773433,nan,nan
B,lander,1,3,bo,True,29.01588201522827,78.08772683143616,68.49377632141113,6.186079300940037,4.3571396470069885,4536390.304565429,nan,nan
B,lander,1,4,bo,True,38.10163485817611,102.0878179371357,54.2411782592535,10.208712989464402,4.141421245411038,3905534.744262695,nan,nan
B,lander,1,5,bo,True,33.65944660734385,71.98334526270628,74.29706420749426,8.826019724830985,3.1144635234959424,2953410.1486206055,nan,nan
B,lander,1,6,bo,True,25.518644731491804,95.69061383605003,48.589333556592464,10.80336531624198,5.398743943776935,3465295.0286865234,nan,nan
B,lander,1,7,bo,True,27.88618473801762,62.161960350349545,58.082623556256294,11.374064527451992,5.04794887220487,2169847.4884033203,nan,nan
B,lander,1,8,bo,True,34.97962330467999,85.18849433399737,64.80598159134388,7.902211407199502,3.465582248289138,3992200.0885009766,nan,nan
B,lander,1,9,bo,True,38.47701502498239,80.86221878416836,44.750324599444866,9.61311042867601,3.790626769885421,3189802.1697998047,nan,nan
B,lander,1,10,bo,True,25.0,60.0,80.0,11.672487313911247,3.0,2205610.2752685547,nan,nan
B,lander,1,11,bo,True,40.0,60.0,80.0,11.74133474396324,4.988100970234574,2204239.4638061523,nan,nan
B,lander,1,12,bo,True,25.0,60.0,80.0,11.190035880372166,5.5,2204060.554504394,nan,nan
B,lander,1,13,bo,True,25.0,60.0,40.0,11.310809139063295,3.386687268554222,2200245.8572387695,nan,nan
B,lander,1,14,bo,True,25.0,60.0,40.0,12.0,5.5,2220630.645751953,nan,nan
B,lander,1,15,bo,True,40.0,60.0,80.0,10.99930382183531,3.0,2287268.6386108394,nan,nan
B,lander,1,16,bo,True,25.0,62.980279415366994,80.0,12.0,4.610167874350407,2196133.2321166988,nan,nan
B,lander,1,17,bo,True,25.0,60.0,80.0,11.422179740077057,4.388964345115051,2204001.0452270503,nan,nan
