tier,regime,seed,trial,stage,feasible,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta
C,crutch,0,0,seed,True,37.5,105.0,60.0,9.0,4.5,738.2643112379784,0.0003457825107002405,0.9586162973152468
C,crutch,0,1,seed,True,25.0,70.0,60.0,6.0,3.0,736.4176283507915,0.00028388944395114826,0.9879324371711578
C,crutch,0,2,seed,True,40.0,110.0,80.0,12.0,5.5,739.1998285361858,0.0006698457843160237,0.9191669289607668
C,crutch,0,3,bo,True,32.12660789489746,89.62619960308075,59.779168367385864,7.883110463619232,5.390229552984238,737.6630140657857,0.00020520884316570017,0.972147087199379
C,crutch,0,4,bo,True,33.78421091474593,80.08363888598979,77.40803673863411,10.871692322194576,3.0002933759242296,737.5032605829185,0.0008233333456951192,0.9530897130395131
C,crutch,0,5,bo,True,38.966525895521045,99.9949629791081,47.69145276397467,7.0736855417490005,3.924100966658443,737.1132434359126,0.000256066316576506,0.9766508321985389
C,crutch,0,6,bo,True,25.12244868092239,72.05869475379586,65.12134216725826,10.178905690088868,4.664013741537929,738.1956893139673,0.0004941747968279585,0.9598374915501665
C,crutch,0,7,bo,True,27.61138922534883,104.13039973005652,70.44321060180664,9.281588517129421,4.492183008231223,738.0821146793163,0.00032617608272725096,0.9562414503334346
C,crutch,0,8,bo,True,36.3001315202564,63.22969211265445,52.993954457342625,6.45712129957974,4.055047663394362,736.4252903381971,0.0007595597153876861,0.9854058902957998
C,crutch,0,9,bo,True,35.98206919617951,96.44641791470349,62.10553474724293,11.662046933546662,3.4949190141633153,738.2191310556437,0.0007576230097536923,0.9343592843326597
C,crutch,0,10,bo,True,39.83307753677839,60.0,66.12109464276269,9.472062237239799,3.0,731.0288425610688,0.0018524111462032624,0.9779551261588348
C,crutch,0,11,bo,True,40.0,60.0,61.27387464938586,11.135305030128958,3.0,714.1156736655973,0.0020862596970072146,0.9902184887865262
