tier,regime,seed,trial,stage,feasible,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta
C,crutch,0,12,bo,True,40.0,60.0,59.80004687099875,12.0,3.0,708.086960299653,0.00207391533133482,0.9925893722309231
C,crutch,0,13,bo,True,40.0,60.0,40.0,12.0,3.0,708.0869516423793,0.0020933215994522326,0.9925049813086065
C,crutch,0,16,bo,True,40.0,60.0,62.93909956352196,12.0,4.132987127157364,708.0861393799121,0.002663833074924584,0.9856431699230859
C,crutch,0,18,bo,True,40.0,60.0,57.326673616946614,12.0,3.640653706791139,708.0865344571913,0.0024797958522493027,0.988671381907573
C,crutch,0,19,bo,True,40.0,60.0,40.0,12.0,3.927241675391794,708.0862969675844,0.002626639510600043,0.9867536855473182
C,crutch,0,22,bo,True,40.0,60.0,80.0,12.0,3.237143699001947,708.4838562082518,0.0022622961591133896,0.9905385246679539
C,crutch,1,11,bo,True,40.0,60.0,80.0,12.0,3.0,708.0869516423793,0.0020933215994522326,0.9925049813086065
C,crutch,1,12,bo,True,40.0,60.0,40.0,12.0,3.0,708.0869516423793,0.0020933215994522326,0.9925049813086065
C,crutch,1,14,bo,True,40.0,60.0,80.0,12.0,4.154323315746927,708.4792568654929,0.002683979985019092,0.9849339493132316
C,crutch,1,16,bo,True,40.0,60.0,75.60590424347521,12.0,3.6143324163609347,708.0865461896153,0.0024788021414081547,0.988778799958194
C,crutch,2,11,bo,True,40.0,60.0,58.84451158341297,12.0,3.0,708.0869602678595,0.00207398628461902,0.9925889960481937
C,crutch,2,12,bo,True,40.0,60.0,80.0,12.0,3.0,708.0869516423793,0.0020933215994522326,0.9925049813086065
C,crutch,2,13,bo,True,40.0,60.0,40.0,12.0,3.0,708.0869516423793,0.0020933215994522326,0.9925049813086065
C,crutch,2,17,bo,True,40.0,60.0,40.0,12.0,4.1358602431068405,708.086119646817,0.0026818797340413154,0.9855563897142978
C,crutch,2,18,bo,True,40.0,60.0,51.98302507277071,12.0,3.5812472868566307,708.0865761742353,0.0024513611465869735,0.9890361971868386
C,crutch,2,20,bo,True,40.0,60.0,80.0,12.0,3.920422449208645,708.0863025608908,0.0026233962061003864,0.9868025242338739
C,crutch,2,21,bo,True,40.0,60.0,40.0,12.0,3.899406209632038,708.0863196992135,0.002615701909349721,0.9869354483454948
C,crutch,2,25,bo,True,40.0,60.0,57.85307139900037,12.0,3.2339329380093997,708.4188516462318,0.0022400946957206705,0.9907362216076354
