tier,regime,seed,trial,stage,feasible,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta
C,lander,0,0,seed,True,37.5,105.0,60.0,9.0,4.5,4723.793362279755,0.0008801273896704843,0.732501739351027
C,lander,0,1,seed,True,25.0,70.0,60.0,6.0,3.0,4783.770946032705,0.0012695325007521408,0.732674545028808
C,lander,0,2,seed,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,3,bo,True,32.12660789489746,89.62619960308075,59.779168367385864,7.883110463619232,5.390229552984238,4752.157597194663,0.0010322131553791095,0.7326696875023774
C,lander,0,4,bo,True,33.78421091474593,80.08363888598979,77.40803673863411,10.871692322194576,3.0002933759242296,4697.111499890229,0.00215585983558805,0.7326944243702869
C,lander,0,5,bo,True,38.966525895521045,99.9949629791081,47.69145276397467,7.0736855417490005,3.924100966658443,4767.158270824931,0.0009206018197987012,0.7326610478021971
C,lander,0,6,bo,True,25.12244868092239,72.05869475379586,65.12134216725826,10.178905690088868,4.664013741537929,4717.6946724335885,0.0019072241991300231,0.7325584450940895
C,lander,0,7,bo,True,27.61138922534883,104.13039973005652,70.44321060180664,9.281588517129421,4.492183008231223,4716.344391671564,0.0006210153594916612,0.7324796326573977
C,lander,0,8,bo,True,36.3001315202564,63.22969211265445,52.993954457342625,6.45712129957974,4.055047663394362,4780.454613704623,0.004211272160607079,0.7331218102103144
C,lander,0,9,bo,True,35.98206919617951,96.44641791470349,62.10553474724293,11.662046933546662,3.4949190141633153,4660.797325289698,0.0012389304890577499,0.7325127534981464
C,lander,0,10,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,11,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,12,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,13,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,14,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,15,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,16,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,17,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,18,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,19,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,20,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,21,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,22,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,23,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,24,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,25,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,26,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,27,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,28,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,29,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,30,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,31,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,0,32,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,1,0,seed,True,37.5,105.0,60.0,9.0,4.5,4723.793362279755,0.0008801273896704843,0.732501739351027
C,lander,1,1,seed,True,25.0,70.0,60.0,6.0,3.0,4783.770946032705,0.0012695325007521408,0.732674545028808
C,lander,1,2,seed,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,1,3,bo,True,29.01588201522827,78.08772683143616,68.49377632141113,6.186079300940037,4.3571396470069885,4783.768892778255,0.001150220019851662,0.7324454265708692
C,lander,1,4,bo,True,38.10163485817611,102.0878179371357,54.2411782592535,10.208712989464402,4.141421245411038,4697.005912123591,0.0010579017405672035,0.7324778899889318
C,lander,1,5,bo,True,33.65944660734385,71.98334526270628,74.29706420749426,8.826019724830985,3.1144635234959424,4744.456744186371,0.0032267234026200787,0.7330749751449214
C,lander,1,6,bo,True,25.518644731491804,95.69061383605003,48.589333556592464,10.80336531624198,5.398743943776935,4679.763879764358,0.0008412917902279455,0.7326587504864951
C,lander,1,7,bo,True,27.88618473801762,62.161960350349545,58.082623556256294,11.374064527451992,5.04794887220487,4706.760464202849,0.004688076680386925,0.7325392492615725
C,lander,1,8,bo,True,34.97962330467999,85.18849433399737,64.80598159134388,7.902211407199502,3.465582248289138,4757.561231206632,0.0014519693842768675,0.7324595247354158
C,lander,1,9,bo,True,38.47701502498239,80.86221878416836,44.750324599444866,9.61311042867601,3.790626769885421,4721.985728611415,0.003381195253038157,0.7328606370099146
C,lander,1,10,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,1,11,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,1,12,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,1,13,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,1,14,bo,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,1,15,bo,True,37.8768559443954,110.0,80.0,12.0,5.5,4629.984288429527,0.0009895712744029703,0.7325175227991085
C,lander,1,16,bo,True,26.061521329731224,110.0,80.0,12.0,5.5,4622.701850408075,0.0007384505654223796,0.732728109862977
C,lander,1,17,bo,True,25.0,110.0,80.0,12.0,5.5,4626.46083868357,0.0007267736604048804,0.7338985717698009
C,lander,1,18,bo,True,25.0,110.0,80.0,12.0,5.5,4626.46083868357,0.0007267736604048804,0.7338985717698009
C,lander,1,19,bo,True,25.0,110.0,80.0,12.0,5.5,4626.46083868357,0.0007267736604048804,0.7338985717698009
C,lander,1,20,bo,True,25.0,110.0,80.0,12.0,5.5,4626.46083868357,0.0007267736604048804,0.7338985717698009
C,lander,1,21,bo,True,27.89972403549085,110.0,80.0,12.0,5.5,4622.272799208503,0.0007524430924307805,0.7327345593836843
C,lander,1,22,bo,True,30.366129636354422,110.0,80.0,12.0,5.5,4622.9401138437315,0.000808762961084428,0.7327150715604378
C,lander,1,23,bo,True,30.290868032421066,110.0,80.0,12.0,5.5,4622.666717751907,0.0008048483938947504,0.7327154731358453
C,lander,1,24,bo,True,30.297775216972685,110.0,80.0,12.0,5.5,4622.630794369416,0.0008020554883395072,0.7327158951041395
C,lander,1,25,bo,True,30.272331210182035,110.0,80.0,12.0,5.5,4622.631267809095,0.0008066951276333062,0.7327160083697385
C,lander,1,26,bo,True,29.18084192604801,110.0,80.0,12.0,5.5,4621.466028951464,0.0007845666300089655,0.7327234431696382
C,lander,1,27,bo,True,28.530316963648616,110.0,80.0,12.0,5.5,4622.39147271628,0.000762469352681912,0.7327287715302209
C,lander,1,28,bo,True,28.91471731381517,110.0,80.0,12.0,5.5,4622.091476940675,0.000771767056875983,0.7327232072897089
C,lander,1,29,bo,True,28.951428614964744,110.0,80.0,12.0,5.5,4622.294589222839,0.0007706745185538318,0.7327240966726437
C,lander,1,30,bo,True,28.767815696633626,110.0,80.0,12.0,5.5,4622.063349493428,0.0007670720392215349,0.7327259087184247
C,lander,1,31,bo,True,28.795590552576602,110.0,80.0,12.0,5.5,4621.661559496107,0.0007659518487743571,0.7327249898409353
C,lander,1,32,bo,True,28.572704688995152,110.0,80.0,12.0,5.5,4622.0136841236845,0.0007617714103023037,0.73272763702297
C,lander,2,0,seed,True,37.5,105.0,60.0,9.0,4.5,4723.793362279755,0.0008801273896704843,0.732501739351027
C,lander,2,1,seed,True,25.0,70.0,60.0,6.0,3.0,4783.770946032705,0.0012695325007521408,0.732674545028808
C,lander,2,2,seed,True,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
C,lander,2,3,bo,True,36.663799583911896,108.44324290752411,40.79047113656998,9.84019160270691,5.401198446750641,4697.354095273565,0.0008188048914713885,0.7327128458853749
C,lander,2,4,bo,True,26.07278164010495,80.86208630353212,68.46732653677464,8.070004127919674,3.8137451158836484,4752.164818233949,0.0010975219910893319,0.732647723733993
C,lander,2,5,bo,True,29.407159481197596,97.19642176292837,59.49915084987879,10.678703092038631,3.3634422924369574,4682.470879977977,0.0008865506553784996,0.732533989610856
C,lander,2,6,bo,True,34.285231032408774,68.72022425755858,72.49308865517378,7.408378422260284,4.284380769357085,4765.139501039925,0.003578496596557205,0.7330956830428085
C,lander,2,7,bo,True,34.524486688897014,88.09289679862559,64.17576931416988,6.510754980146885,4.686719071585685,4775.286161427468,0.001084209699122298,0.7326837692487486
C,lander,2,8,bo,True,32.01979999896139,65.6657500565052,46.488230377435684,11.584177449345589,3.098055985290557,4707.939272383036,0.004512317967459999,0.7337591177352056
C,lander,2,9,bo,True,27.736934013664722,99.38023108057678,75.54559614509344,8.661257341504097,4.215163234155625,4731.689322825099,0.0006583211158785841,0.7326828741078224
C,lander,2,10,bo,True,37.31148396553037,110.0,80.0,12.0,5.5,4629.59165639551,0.0009687607420381692,0.7325179156549578
C,lander,2,11,bo,True,31.87576288254572,110.0,80.0,12.0,5.5,4624.6843302506395,0.000833391041581378,0.7327074177568542
C,lander,2,12,bo,True,26.95636478502983,110.0,80.0,12.0,5.5,4623.521978101172,0.0007416383246681697,0.7327460812288586
C,lander,2,13,bo,True,25.0,110.0,80.0,12.0,5.5,4626.46083868357,0.0007267736604048804,0.7338985717698009
C,lander,2,14,bo,True,25.0,110.0,80.0,12.0,5.5,4626.46083868357,0.0007267736604048804,0.7338985717698009
C,lander,2,15,bo,True,25.0,110.0,80.0,12.0,5.5,4626.46083868357,0.0007267736604048804,0.7338985717698009
C,lander,2,16,bo,True,25.0,110.0,80.0,12.0,5.5,4626.46083868357,0.0007267736604048804,0.7338985717698009
C,lander,2,17,bo,True,28.744310275436934,110.0,80.0,12.0,5.5,4621.695537780439,0.0007704968263219651,0.7327263506912434
C,lander,2,18,bo,True,29.87484112052685,110.0,80.0,12.0,5.5,4622.832951835596,0.0007930382703676483,0.7327167782642353
C,lander,2,19,bo,True,29.486800590252223,110.0,80.0,12.0,5.5,4622.3696600758185,0.0007856387494142808,0.732719791498802
C,lander,2,20,bo,True,30.167438403829934,110.0,80.0,12.0,5.5,4623.637551064668,0.000790190532599116,0.7327145913639302
C,lander,2,21,bo,True,30.01499878103908,110.0,80.0,12.0,5.5,4623.239939927966,0.0007928087800184415,0.7327154337204627
C,lander,2,22,bo,True,30.020664493152992,110.0,80.0,12.0,5.5,4623.277263256024,0.0007944659577522493,0.7327152973220388
C,lander,2,23,bo,True,30.14564040663071,110.0,80.0,12.0,5.5,4623.568938685824,0.0007900969486246594,0.7327147217555835
C,lander,2,24,bo,True,30.188278870369928,110.0,80.0,12.0,5.5,4622.365659390269,0.000805105774746358,0.7327161933062715
