trial,regime,stage,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta
0,crutch,seed,37.5,105.0,60.0,9.0,4.5,738.2643112379784,0.0003457825107002405,0.9586162973152468
1,crutch,seed,25.0,70.0,60.0,6.0,3.0,736.4176283507915,0.00028388944395114826,0.9879324371711578
2,crutch,seed,40.0,110.0,80.0,12.0,5.5,739.1998285361858,0.0006698457843160237,0.9191669289607668
3,crutch,bo,32.12660789489746,89.62619960308075,59.779168367385864,7.883110463619232,5.390229552984238,737.6630140657857,0.00020520884316570017,0.972147087199379
4,crutch,bo,33.78421091474593,80.08363888598979,77.40803673863411,10.871692322194576,3.0002933759242296,737.5032605829185,0.0008233333456951192,0.9530897130395131
5,crutch,bo,38.966525895521045,99.9949629791081,47.69145276397467,7.0736855417490005,3.924100966658443,737.1132434359126,0.000256066316576506,0.9766508321985389
6,crutch,bo,25.12244868092239,72.05869475379586,65.12134216725826,10.178905690088868,4.664013741537929,738.1956893139673,0.0004941747968279585,0.9598374915501665
7,crutch,bo,27.61138922534883,104.13039973005652,70.44321060180664,9.281588517129421,4.492183008231223,738.0821146793163,0.00032617608272725096,0.9562414503334346
8,crutch,bo,36.3001315202564,63.22969211265445,52.993954457342625,6.45712129957974,4.055047663394362,736.4252903381971,0.0007595597153876861,0.9854058902957998
9,crutch,bo,35.98206919617951,96.44641791470349,62.10553474724293,11.662046933546662,3.4949190141633153,738.2191310556437,0.0007576230097536923,0.9343592843326597
10,crutch,bo,39.83282061436566,60.0,66.12083565373469,9.472462646256773,3.0,734.1829224960554,0.0018587216466676656,0.9739241919402133
11,crutch,bo,40.0,60.0,61.50706517227176,11.095801739562933,3.0,714.2550168853039,0.0020853349725382204,0.9902902700346794
12,crutch,bo,40.0,60.0,61.83396330428629,12.0,3.0,708.0869602264834,0.0020740840494561986,0.9925884944715793
13,crutch,bo,40.0,60.0,40.0,12.0,3.0,708.0869516423793,0.0020933215994522326,0.9925049813086065
14,crutch,bo,40.0,60.0,80.0,12.0,5.5,736.940140183597,0.002560982607107324,0.9439703076118791
15,crutch,bo,40.0,60.0,40.0,12.0,5.5,736.940140183597,0.0025609826071073235,0.9439703076118791
16,crutch,bo,40.0,60.0,59.7889221670477,12.0,4.130805604668483,708.0861416546973,0.0026628140164956784,0.9856575306714511
17,crutch,bo,40.0,60.0,65.38296563323038,12.0,4.6762085768408985,733.0198810091672,0.0026382657451074374,0.9510408121027776
18,crutch,bo,40.0,60.0,59.76680599821897,12.0,3.6379505566110537,708.086536688502,0.002477781284107025,0.9886928695606092
19,crutch,bo,40.0,60.0,40.0,12.0,4.63312734295418,732.6337135270198,0.002658027388639179,0.9515957487524396
