trial,regime,stage,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,F_peak_N,SEA_J_per_g,eta
0,lander,seed,37.5,105.0,60.0,9.0,4.5,4723.793362279755,0.0008801273896704843,0.732501739351027
1,lander,seed,25.0,70.0,60.0,6.0,3.0,4783.770946032705,0.0012695325007521408,0.732674545028808
2,lander,seed,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
3,lander,bo,32.12660789489746,89.62619960308075,59.779168367385864,7.883110463619232,5.390229552984238,4752.157597194663,0.0010322131553791095,0.7326696875023774
4,lander,bo,33.78421091474593,80.08363888598979,77.40803673863411,10.871692322194576,3.0002933759242296,4697.111499890229,0.00215585983558805,0.7326944243702869
5,lander,bo,38.966525895521045,99.9949629791081,47.69145276397467,7.0736855417490005,3.924100966658443,4767.158270824931,0.0009206018197987012,0.7326610478021971
6,lander,bo,25.12244868092239,72.05869475379586,65.12134216725826,10.178905690088868,4.664013741537929,4717.6946724335885,0.0019072241991300231,0.7325584450940895
7,lander,bo,27.61138922534883,104.13039973005652,70.44321060180664,9.281588517129421,4.492183008231223,4716.344391671564,0.0006210153594916612,0.7324796326573977
8,lander,bo,36.3001315202564,63.22969211265445,52.993954457342625,6.45712129957974,4.055047663394362,4780.454613704623,0.004211272160607079,0.7331218102103144
9,lander,bo,35.98206919617951,96.44641791470349,62.10553474724293,11.662046933546662,3.4949190141633153,4660.797325289698,0.0012389304890577499,0.7325127534981464
10,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
11,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
12,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
13,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
14,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
15,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
16,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
17,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
18,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
19,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
20,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
21,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
22,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
23,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
24,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
25,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
26,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
27,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
28,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
29,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
30,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
31,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
32,lander,bo,40.0,110.0,80.0,12.0,5.5,4631.988719288245,0.0010508786543858822,0.7325017437107225
33,lander,bo,40.0,110.0,51.504060923501015,12.0,5.5,4632.008746011156,0.0010462246582164185,0.7325019760845826
34,lander,bo,40.0,110.0,69.16826860566086,12.0,5.5,4632.007920777152,0.0010463918713367315,0.7325019737488146
35,lander,bo,40.0,110.0,69.01136153453989,12.0,5.5,4632.008127084345,0.0010463509436859542,0.7325019743327594
36,lander,bo,40.0,110.0,69.91638520351897,12.0,5.5,4632.006889254375,0.0010465965970861274,0.7325019707876578
37,lander,bo,35.67161759827286,83.42798956669867,79.23429761081934,11.43100711517036,5.321041722316295,4680.84540778287,0.002491838174701044,0.7324166670915682
38,lander,bo,40.0,110.0,71.10407134297154,12.0,5.5,4632.005109929352,0.0010469521744330798,0.7325019657509255
39,lander,bo,40.0,110.0,72.57635972666624,12.0,5.5,4632.00583542813,0.0010474476534781338,0.7325017516329422
40,lander,bo,40.0,110.0,71.4648825127746,12.0,5.5,4632.004542621968,0.0010470668908365102,0.7325019641437116
41,lander,bo,35.30117969494313,104.51360502280295,77.31905188411474,10.48063649609685,5.445788632612675,4681.086155470922,0.0009162067560871321,0.7327101897984286
42,lander,bo,40.0,110.0,72.49167180158481,12.0,5.5,4632.005990147456,0.0010474171109002835,0.7325017520689479
