specimen,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,newton_peak_g
0,37.7587820077315,106.56830024905503,54.508703611791134,8.187300961464643,3.3498636675067246,106658.89666107208
22,28.29419049900025,95.77208826318383,69.1024111956358,7.887077573686838,5.073662334587425,95277.51210997227
44,35.15852009411901,89.31842403486371,78.67925234138966,7.707827243953943,5.225614481139928,85884.1564555659
66,31.4091331185773,98.0835389252752,67.6345007866621,9.88748323917389,3.652727698907256,80860.60068050776
88,39.37660107854754,94.2334917280823,47.96901065856218,7.9989678002893925,3.8204074623063207,89272.08203423643
111,36.75914846826345,65.491575691849,76.187560595572,7.964202795177698,3.2411553263664246,61759.16323724993
133,29.30655704345554,83.72301602736115,40.70322901010513,6.228700887411833,3.365430742967874,100789.5746726873
155,33.64403769373894,83.30364244990051,54.955116882920265,8.257267322391272,3.831158231012523,77295.25473747292
177,26.242407765239477,67.1280307136476,54.28428340703249,9.92657707259059,3.429642244707793,46961.898103766485
199,39.86123017501086,76.77618250250816,76.33268658071756,11.655441910028458,3.668264338746667,51735.13041116168
222,25.24795178323984,101.80694096721709,75.02556543797255,9.962933275848627,3.162204666994512,84982.49578913418
244,32.64856616035104,86.00357364863157,75.77440962195396,8.597361523658037,4.079048092942685,77735.15427149035
266,29.873152198269963,86.14665850996971,50.540321692824364,7.268515901640058,4.586878129746765,90460.53327430158
288,37.51558191142976,101.98046964593232,51.19654480367899,11.668236555531621,5.1544478693977,73280.29558685333
311,38.42891068197787,68.04031975567341,54.5513541251421,6.740325612947345,4.731342105194926,71342.07940368963
333,31.79701169487089,81.14548212848604,61.80331215262413,10.220675272867084,3.620533430483192,58965.45939003169
355,35.33965993672609,78.15295671112835,53.709597662091255,11.502691330388188,3.3886063559912145,51409.461811777284
377,27.36093396320939,69.6276733558625,73.18481180816889,6.618135524913669,3.4797251732088625,76490.80857832011
399,36.479678340256214,63.66728655062616,44.2470732703805,8.309943186119199,4.609190364833921,58204.75587057411
422,27.167607615701854,94.32240490801632,63.20428129285574,6.317093493416905,4.484524416737258,123085.72191710865
444,36.06044830288738,97.89162221364677,43.65101829171181,11.93116439692676,4.394931450486183,68247.01836106731
466,32.323639770038426,89.46904627606273,52.50831574201584,6.376788737252355,3.467784705106169,107908.10307960627
488,38.68775045964867,95.90899920091033,44.64899614453316,6.194677563384175,3.237666319590062,119250.60960495508
511,37.72493470925838,74.06296263448894,41.13796558231115,11.39066637866199,4.147530295420438,50197.92795910383
