specimen,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,feasible,issues,crutch_F_peak_N,crutch_SEA_J_per_g,crutch_eta,lander_F_peak_N,lander_SEA_J_per_g,lander_eta
0,37.7587820077315,106.56830024905503,54.508703611791134,8.187300961464643,3.3498636675067246,1,,737.6053164305797,0.000333173938548058,0.966631782109346,4745.697954550175,0.0007297977189422028,0.7324569205658688
1,25.501292808912694,74.25556703470647,65.12327421456575,10.471983790397644,4.811533945146948,1,,738.4038868073936,0.0005087018677549337,0.9563819669639392,4707.514730568442,0.001772315573565183,0.7326399663397416
2,31.16182927042246,92.55501165986061,46.833085268735886,6.515905469655991,5.457536712754518,1,,737.1269036517242,0.00012724652661040556,0.9806377357090204,4778.652891469277,0.000683006881692618,0.7324557052223183
3,35.78689333982766,60.046966690570116,73.69729064404964,11.756631921976805,3.956646262202412,1,,736.7383602371891,0.0019770569841261383,0.9530214161415886,4726.522075675714,0.007529500671493879,0.7339346245184364
4,34.11029818467796,87.72439019754529,60.65514259040356,10.60051853209734,3.678102243691683,1,,738.0482377675971,0.0007070078073844278,0.950744340671569,4700.649546137164,0.0015341844867919315,0.7324446249894441
5,29.352952148765326,68.4731325507164,58.77171769738197,6.933767784386873,5.179078301414847,1,,736.8350382451349,0.00035892225855150835,0.9823828730379157,4768.44573749389,0.0021083247062813506,0.732887064188067
6,27.573784696869552,98.51502030156553,78.0183370783925,9.353928107768297,4.53341855853796,1,,738.1751757576018,0.00033627523820506285,0.9574032600110995,4716.287761809751,0.0007328984710004523,0.732500672458596
7,39.6989917056635,79.4590758997947,42.38512512296438,8.543610848486423,3.07166207768023,1,,736.8667990324135,0.0007055088551675522,0.9727939945977612,4745.394144264206,0.003920118863138343,0.7329762445708323
8,38.28642936423421,96.13397660665214,75.22903189063072,7.337269920855761,4.602785000577569,1,,737.2304571903825,0.0002557170285237772,0.9751894937669369,4761.561799174238,0.0010808075857312908,0.7326776848843857
9,28.043353399261832,66.16648406721652,44.59337554872036,11.122590221464634,3.609864853322506,1,,737.6925580516588,0.001017859602539929,0.9568940273553622,4702.00203545669,0.003494770468540587,0.7338276218644655
10,29.82477438170463,107.21758207306266,63.45177199691534,8.680545754730701,4.2142042722553015,1,,737.9410301352613,0.0002861075835632341,0.961068932288708,4725.188820185818,0.0005801310381371949,0.7327184518151573
11,32.69914537202567,77.05477628856897,56.565908677875996,9.416050303727388,5.246344555169344,1,,737.8201307290213,0.00048541906238871335,0.9641568848699664,4731.548927602008,0.0023610862174377216,0.7324465307449977
12,34.376190579496324,102.69823897629976,49.00227326899767,9.751857966184616,4.899545250926167,1,,738.6372803001923,0.0003857538492410285,0.9512587344819932,4705.768221038474,0.0008826530257145327,0.732499259252105
13,31.633200556971133,84.22972237691283,70.86892303079367,7.583003472536802,3.8673193608410656,1,,737.1166971616892,0.00031398173003591476,0.9766493462382257,4762.6140263950265,0.001254259022286446,0.732461755518099
14,25.97131268121302,88.58728901483119,52.34195701777935,11.514079492539167,3.2633235626854002,1,,737.7361743265576,0.0007290413284411505,0.9417530349386559,4667.795407765651,0.0010281760250739325,0.7327249834928425
15,36.34576939046383,70.3140841703862,67.95896604657173,6.207517862319946,4.25632991315797,1,,736.4802232529892,0.0005144791702796071,0.9856725659165175,4780.066358744521,0.0028343181655577196,0.7328397999370188
16,36.860307031311095,90.56285940110683,43.40534910559654,9.065284665673971,4.040077623911202,1,,737.8142979158351,0.00047805402066589836,0.9637099503671329,4734.000370699307,0.0014807730722068478,0.7324530298860431
17,26.603015302680433,71.50538856163621,76.53909049928188,8.281471565365791,5.35176847781986,1,,737.5201476293108,0.00030871713425129825,0.9738219597533391,4752.001877631911,0.0017898822238867917,0.7324867686188675
18,32.20633175224066,101.54956345446408,55.416903756558895,10.724961385130882,4.747614764608443,1,,738.5368232130064,0.0005324264686545151,0.9415327840714699,4676.029854307307,0.0009277788039395692,0.7327221714073556
19,35.06648709066212,82.29678086005151,64.8010103777051,6.985104706138372,3.397019083611667,1,,736.7244985663099,0.0003845392982703922,0.9810883429783935,4768.911030981372,0.0015423796219903932,0.7326795827709506
20,33.008576137945056,109.9814537819475,72.05154199153185,6.652205877006054,3.1185033819638193,1,,737.0706016149234,0.00017515996353969758,0.9776963744710757,4774.377430750534,0.00043461312674657226,0.7325606288183831
21,30.251427572220564,77.47188200242817,47.68785651773214,11.8195517398417,4.469166192691773,1,,738.43840599097,0.0008978269816939299,0.9426209527928734,4680.120702715265,0.002225106905010007,0.7324164288173447
22,28.29419049900025,95.77208826318383,69.1024111956358,7.887077573686838,5.073662334587425,1,,737.876092205271,0.0001449603649474774,0.9707262878142031,4750.407760487383,0.0006369593571201508,0.7325248566783038
23,38.65448877681047,63.45782972872257,50.98851278424263,10.197989903390408,3.7619049469940364,1,,736.682535475133,0.0016461434689797334,0.9643301076232487,4747.063023452256,0.007403426832860959,0.7334849018734433
24,39.12585327401757,99.6643633954227,66.31310310214758,11.404237870126963,5.318819991778582,1,,739.1804564683436,0.0006456405410031213,0.933355882447637,4665.85128773865,0.0013843289555732303,0.7324732686054074
25,26.883495366200805,81.3926849886775,53.19676626473665,6.11813934892416,4.163379007484764,1,,736.6946446080881,0.0001634714719452685,0.9852500953954931,4780.194389937641,0.0008300044930316848,0.7326921927104583
26,28.83840743917972,85.74796150438488,74.84817430377007,10.07268076390028,3.5178772541694343,1,,737.9194284918742,0.0006054147093965455,0.9565456666800447,4708.363092743272,0.001199032551323875,0.7326810219826375
27,33.47860268782824,67.28096985258162,45.48204444348812,7.836398039013147,4.712223102804273,1,,736.8875605032854,0.0006487655086378501,0.9777076933698312,4758.432300429166,0.003911057257777965,0.7332202310590222
28,35.53604905959219,92.91642316617072,57.58609466254711,8.989605411887169,4.365395481698215,1,,737.9720455593953,0.0003969007596130877,0.9631482646674849,4728.198116217175,0.001222738526816964,0.7327055679901023
29,30.793777094222605,62.755144191905856,61.972639709711075,9.657773282378912,3.1709825033321977,1,,736.9613136155083,0.0010295920464259024,0.9702535870109918,4746.065105835392,0.00465370398304899,0.7332263020248307
30,25.19185491837561,103.80547758191824,41.238599605858326,7.239102657884359,3.816828473471105,1,,737.3244066385176,0.00015644393792043913,0.9744131763894349,4760.694756348438,0.00040569279636606774,0.7327002205960005
31,37.3321358859539,73.83951036259532,79.3747853860259,11.044977620244026,4.972335991449654,1,,737.8607411721661,0.0010155903984693064,0.951517181555825,4696.754346937182,0.005587015941128516,0.7337887028871766
32,37.47441398445517,91.82321074418724,62.935967445373535,10.256231032311916,3.026517326477915,1,,737.6128037939458,0.0006468385530177573,0.9534078498054884,4705.147365550919,0.0014273870717435762,0.7324841741690739
33,25.341575085185468,60.876139709725976,57.31978811323643,8.016329292207956,4.493075352627784,1,,736.9779598739623,0.0005187447748011209,0.978855771278223,4758.602607652494,0.0030675935733370484,0.7332507663872047
34,30.8856987580657,105.7396044395864,75.88506441563368,11.971560034900904,5.136327645275742,1,,739.0738884116488,0.0006362878561182812,0.9227897848690263,4633.101853213384,0.0008945805242636997,0.7325272319115815
35,35.62076468952,74.98784516006708,44.01909176260233,6.687701873481274,3.6305596162565053,1,,736.562357663155,0.0004858576431185752,0.9835461803560228,4772.752228581449,0.0023763780063611544,0.7327991883328642
36,33.796833558008075,97.78360057622194,51.58212635666132,7.043301489204168,3.9773395489901304,1,,737.160838102184,0.00020335116889400132,0.9771833947259851,4770.457360699274,0.00075577547258121,0.7324556716157542
37,29.163851719349623,80.28863048180938,68.46851419657469,10.854260310530663,5.483193781226873,1,,738.85129686443,0.0004970502320640405,0.9489887539878237,4694.4141636405575,0.0017131963837617547,0.7326132203673238
38,27.26855758111924,86.89454988576472,49.5706058293581,8.433435514569283,4.83967356570065,1,,737.9171356523708,0.00021758894218449652,0.9689134561065486,4743.640865449781,0.0009389585763409854,0.7324829260677437
39,39.50348034966737,69.2042665462941,70.20663410425186,9.100827869027853,3.3730299323797226,1,,736.5876506084537,0.0011404474348245804,0.9714274394122795,4753.791046802967,0.006134069313135246,0.7330770183074767
40,39.039433393627405,107.94986140914261,47.40630071610212,10.916451171040535,4.3014354556798935,1,,738.4346214686874,0.0006133971709713904,0.9364285966738867,4669.176826013335,0.0009682846659742189,0.7325130939793054
41,28.671936010941863,76.2260816898197,73.03988460451365,7.1801219545304775,3.303627299144864,1,,736.7953242767347,0.00035041414686829884,0.9811377018828346,4768.5249278921665,0.0014290365744025072,0.7326379289790794
42,30.569540006108582,96.9631476700306,53.7537556886673,9.623013999313116,3.9101091884076595,1,,738.0664823415032,0.00046301057281981765,0.9558830712269293,4713.730541676429,0.000882969172386267,0.7324883226679754
43,33.33413801621646,65.43468119576573,65.6377051025629,8.836868986487389,4.9471273850649595,1,,737.0820069337976,0.0008032369636204108,0.9718432493194271,4746.634389969259,0.004887057733166662,0.7335118556904902
44,35.15852009411901,89.31842403486371,78.67925234138966,7.707827243953943,5.225614481139928,1,,737.4149584680717,0.00025816436085027746,0.9736130645236828,4754.791446500209,0.0012566146681697544,0.7326849667130523
45,32.2909369925037,69.48424488306046,41.815724074840546,10.01374726742506,4.188510081265122,1,,737.5170427034199,0.0008427243633734745,0.9635689703521536,4721.901088048544,0.0041950552057481326,0.7334548884315878
46,26.745403790846467,103.52779178880155,60.14422092586756,6.083335720002651,3.581762057263404,1,,736.8881301714653,9.849138783882788e-05,0.9823269275448082,4783.339822197018,0.00033885279323178766,0.7325273629983409
47,37.009915858507156,83.49830088205636,59.53048001974821,11.251548651605844,4.579655820969492,1,,738.3801297519409,0.0008447048387905106,0.9451658452768549,4686.641862503183,0.0028686192601977555,0.7324310004009262
48,36.67115251068026,100.81576121971011,74.35186307877302,8.484681643545628,3.7411705469712615,1,,737.756360797638,0.0003600685831150174,0.9654314385034597,4740.055855946931,0.0008994108256481033,0.7324714167990469
49,26.289489432238042,83.12700431793928,46.21635440737009,9.225361604243517,5.047973652370274,1,,738.2777083322845,0.0002722109388372403,0.9632036992590833,4726.566410702523,0.0011107140207679154,0.7326819613086206
50,32.010767199099064,89.73215947858989,66.98870480060577,6.781071413308382,4.441077250055969,1,,737.0072646274388,0.000193913028102065,0.9801144729647147,4773.950422140373,0.0009060167091375264,0.732478140243129
51,34.761199625208974,72.238714331761,52.602989450097084,10.565707750618458,3.095359147526324,1,,737.1933318225135,0.0009783311678548128,0.9601170768973992,4715.574071163517,0.004067944304800524,0.7333711208721516
52,32.848918763920665,95.0394303444773,40.49833841621876,11.697658371180296,3.4421298461966217,1,,738.2906693851376,0.000754071282744474,0.9345176546793872,4658.221368181986,0.0011090279058586824,0.7326969732938534
53,29.967112746089697,64.2891978751868,79.8648402094841,6.387386173009872,4.787914482410997,1,,736.5845634274062,0.0004182863437057447,0.9857526916451335,4772.726072142968,0.0025302498362017602,0.7332308915317667
54,28.128123092465103,109.15037211030722,58.17392025142908,10.31924307346344,5.394543557893485,1,,738.6799224316458,0.00035779576073723937,0.9423300657816472,4677.5296696632195,0.0006274690393015647,0.7327032374191788
55,38.37841235566884,78.20482639595866,61.29078160971403,8.152537386864424,4.087673322763294,1,,736.9746313652978,0.0006062123978767195,0.9742258459600537,4749.231188391734,0.003289167772866609,0.7328940257574406
