strategy,seed,round,trial,x1,x2,x3,x4,branin,currin,feasible,hv,best_branin,best_currin
heuristic,1,0,0,0.51182162,0.9504637,0.14415961,0.94864945,135.78982,4.7604135,True,1689.2388,135.78982,4.7604135
heuristic,1,0,1,0.51182162,0.9504637,0.14415961,1,135.78982,4.7604135,True,1689.2388,135.78982,4.7604135
heuristic,1,0,2,0.51182162,0.9504637,0.14415961,0.59864945,135.78982,4.7604135,True,1689.2388,135.78982,4.7604135
heuristic,1,0,3,0.51182162,0.9504637,0.49415961,0.94864945,135.78982,4.7604135,True,1689.2388,135.78982,4.7604135
heuristic,1,0,4,0.51182162,0.9504637,0,0.94864945,135.78982,4.7604135,True,1689.2388,135.78982,4.7604135
heuristic,1,0,5,0.86182162,0.9504637,0.14415961,0.94864945,171.99687,4.2316749,True,1762.4995,135.78982,4.2316749
heuristic,1,0,6,0.86182162,1,0.14415961,0.94864945,191.50467,4.0702843,True,1781.713,135.78982,4.0702843
heuristic,1,0,7,0.86182162,1,0.49415961,0.94864945,191.50467,4.0702843,True,1781.713,135.78982,4.0702843
heuristic,1,0,8,0.86182162,1,0,0.94864945,191.50467,4.0702843,True,1781.713,135.78982,4.0702843
heuristic,1,1,9,0.86182162,1,0.14415961,1,191.50467,4.0702843,True,1781.713,135.78982,4.0702843
heuristic,1,1,10,0.86182162,1,0.14415961,0.59864945,191.50467,4.0702843,True,1781.713,135.78982,4.0702843
heuristic,1,1,11,1,1,0.14415961,0.94864945,145.87219,4.0053161,True,1813.5899,135.78982,4.0053161
heuristic,1,1,12,1,0.65,0.14415961,0.94864945,47.465735,5.4626246,True,2605.2903,47.465735,4.0053161
heuristic,1,1,13,1,0.65,0.14415961,0.94864945,47.465735,5.4626246,True,2605.2903,47.465735,4.0053161
heuristic,1,1,14,1,1,0.14415961,1,145.87219,4.0053161,True,2605.2903,47.465735,4.0053161
heuristic,1,1,15,0.027559113,0.75351311,0.53814331,0.32973172,31.024643,2.8197928,True,3244.3388,31.024643,2.8197928
heuristic,1,1,16,0.027559113,1,0.53814331,0.32973172,9.8307332,2.2877057,True,3650.3353,9.8307332,2.2877057
heuristic,1,1,17,0.37755911,1,0.53814331,0.32973172,117.54483,4.9880754,True,3650.3353,9.8307332,2.2877057
heuristic,1,2,18,0,1,0.53814331,0.32973172,17.5083,1.180408,True,3974.8246,9.8307332,1.180408
heuristic,1,2,19,0,1,0.53814331,0.67973172,17.5083,1.180408,True,3974.8246,9.8307332,1.180408
heuristic,1,2,20,0,1,0.53814331,0,17.5083,1.180408,True,3974.8246,9.8307332,1.180408
heuristic,1,2,21,0,1,0.88814331,0.32973172,17.5083,1.180408,True,3974.8246,9.8307332,1.180408
heuristic,1,2,22,0,1,0.18814331,0.32973172,17.5083,1.180408,True,3974.8246,9.8307332,1.180408
heuristic,1,2,23,0,1,0.53814331,0.67973172,17.5083,1.180408,True,3974.8246,9.8307332,1.180408
heuristic,1,2,24,0,1,0.53814331,0,17.5083,1.180408,True,3974.8246,9.8307332,1.180408
heuristic,1,2,25,0,1,0.88814331,0.32973172,17.5083,1.180408,True,3974.8246,9.8307332,1.180408
heuristic,1,2,26,0,1,0.18814331,0.32973172,17.5083,1.180408,True,3974.8246,9.8307332,1.180408
heuristic,1,3,27,0.35,1,0.53814331,0.32973172,107.4722,5.0851174,True,3974.8246,9.8307332,1.180408
heuristic,1,3,28,0,0.65,0.53814331,0.32973172,68.038078,1.6098919,True,3974.8246,9.8307332,1.180408
heuristic,1,3,29,0,1,0.53814331,0.50473172,17.5083,1.180408,True,3974.8246,9.8307332,1.180408
heuristic,1,3,30,0.20345524,0.26231334,0.75036467,0.28040876,38.454558,11.731968,True,3974.8246,9.8307332,1.180408
heuristic,1,3,31,0.55345524,0.26231334,0.75036467,0.28040876,3.6940826,9.6931776,True,4003.8696,3.6940826,1.180408
heuristic,1,3,32,0.55345524,0.26231334,0.75036467,0.63040876,3.6940826,9.6931776,True,4003.8696,3.6940826,1.180408
heuristic,1,3,33,0.55345524,0.26231334,0.75036467,0,3.6940826,9.6931776,True,4003.8696,3.6940826,1.180408
heuristic,1,3,34,0.55345524,0.26231334,1,0.28040876,3.6940826,9.6931776,True,4003.8696,3.6940826,1.180408
heuristic,1,3,35,0.55345524,0.26231334,0.40036467,0.28040876,3.6940826,9.6931776,True,4003.8696,3.6940826,1.180408
heuristic,1,4,36,0.55345524,0.61231334,0.75036467,0.28040876,49.960702,6.3538979,True,4003.8696,3.6940826,1.180408
heuristic,1,4,37,0.55345524,0,0.75036467,0.28040876,5.1578331,11.385742,True,4003.8696,3.6940826,1.180408
heuristic,1,4,38,0.55345524,0.26231334,0.75036467,0.63040876,3.6940826,9.6931776,True,4003.8696,3.6940826,1.180408
heuristic,1,4,39,0.55345524,0.26231334,0.75036467,0,3.6940826,9.6931776,True,4003.8696,3.6940826,1.180408
heuristic,1,4,40,0.55345524,0.26231334,1,0.28040876,3.6940826,9.6931776,True,4003.8696,3.6940826,1.180408
heuristic,1,4,41,0.55345524,0.26231334,0.40036467,0.28040876,3.6940826,9.6931776,True,4003.8696,3.6940826,1.180408
heuristic,1,4,42,0.90345524,0.26231334,0.75036467,0.28040876,8.229933,8.7529868,True,4005.3746,3.6940826,1.180408
heuristic,1,4,43,0.20345524,0.26231334,0.75036467,0.28040876,38.454558,11.731968,True,4005.3746,3.6940826,1.180408
heuristic,1,4,44,0.55345524,0.61231334,0.75036467,0.28040876,49.960702,6.3538979,True,4005.3746,3.6940826,1.180408
