strategy,seed,round,trial,x1,x2,branin,currin,disk_slack,feasible,hv,best_branin,best_currin
heuristic,6,0,0,0.53816435,0.34327087,8.3706044,8.8003208,0.17397946,True,852.61585,8.3706044,8.8003208
heuristic,6,0,1,0.88816435,0.34327087,17.545551,7.9021389,0.024764416,True,995.93139,8.3706044,7.9021389
heuristic,6,0,2,0.88816435,0.69327087,81.300668,5.2941516,0.011974807,True,1245.7941,8.3706044,5.2941516
heuristic,6,0,3,0.88816435,0.34327087,17.545551,7.9021389,0.024764416,True,1245.7941,8.3706044,5.2941516
heuristic,6,0,4,0.53816435,0.69327087,65.538233,5.8959015,0.16118985,True,1277.4172,8.3706044,5.2941516
heuristic,6,0,5,0.71316435,0.69327087,103.9973,5.4962548,0.11720733,True,1277.4172,8.3706044,5.2941516
heuristic,6,0,6,0.88816435,0.51827087,42.532485,6.3767968,0.048994612,True,1312.5089,8.3706044,5.2941516
heuristic,6,0,7,0.88816435,0.60577087,60.19392,5.7897024,0.038140959,True,1317.3204,8.3706044,5.2941516
heuristic,6,0,8,0.80066435,0.69327087,101.95743,5.3763311,0.072247319,True,1317.3204,8.3706044,5.2941516
heuristic,6,1,9,0.84441435,0.69327087,92.935349,5.3311144,0.044025125,True,1317.3204,8.3706044,5.2941516
heuristic,6,1,10,0.88816435,0.64952087,70.31663,5.5316674,0.026971946,True,1320.1547,8.3706044,5.2941516
heuristic,6,1,11,0.86628935,0.69327087,87.268603,5.3116669,0.028478482,True,1320.1547,8.3706044,5.2941516
heuristic,6,1,12,0.88816435,0.71514587,87.115685,5.1824225,0.0030406909,True,1330.2094,8.3706044,5.1824225
heuristic,6,1,13,0.86628935,0.71514587,93.194802,5.1995681,0.019544366,True,1330.2094,8.3706044,5.1824225
heuristic,6,1,14,0.88816435,0.69327087,81.300668,5.2941516,0.011974807,True,1330.2094,8.3706044,5.1824225
heuristic,6,1,15,0.67432393,0.32996346,27.527441,8.4494581,0.14069874,True,1330.2094,8.3706044,5.1824225
heuristic,6,1,16,0.32432393,0.32996346,21.122365,10.263314,0.14022549,True,1330.2094,8.3706044,5.1824225
heuristic,6,1,17,0.67432393,0.67996346,94.048151,5.6381682,0.13722432,True,1330.2094,8.3706044,5.1824225
heuristic,6,2,18,0.84932393,0.32996346,23.547058,8.088352,0.049060365,True,1330.2094,8.3706044,5.1824225
heuristic,6,2,19,0.84932393,0.50496346,48.964765,6.5150191,0.077948156,True,1330.2094,8.3706044,5.1824225
heuristic,6,2,20,0.84932393,0.67996346,88.163723,5.3972087,0.045585946,True,1330.2094,8.3706044,5.1824225
heuristic,6,2,21,0.84932393,0.32996346,23.547058,8.088352,0.049060365,True,1330.2094,8.3706044,5.1824225
heuristic,6,2,22,0.67432393,0.50496346,53.897171,6.8058834,0.16958653,True,1330.2094,8.3706044,5.1824225
heuristic,6,2,23,0.84932393,0.59246346,66.841588,5.9085729,0.069423301,True,1330.2094,8.3706044,5.1824225
heuristic,6,2,24,0.84932393,0.41746346,34.533255,7.2368014,0.07116051,True,1335.5316,8.3706044,5.1824225
heuristic,6,2,25,0.93682393,0.41746346,17.728454,7.1484226,0.0023725725,True,1348.9046,8.3706044,5.1824225
heuristic,6,2,26,0.93682393,0.50496346,30.169452,6.435455,0.0091602178,True,1357.7191,8.3706044,5.1824225
heuristic,6,3,27,0.84932393,0.50496346,48.964765,6.5150191,0.077948156,True,1357.7191,8.3706044,5.1824225
heuristic,6,3,28,0.84932393,0.50496346,48.964765,6.5150191,0.077948156,True,1357.7191,8.3706044,5.1824225
heuristic,6,3,29,0.93682393,0.59246346,46.055763,5.836415,0.00063536316,True,1365.3591,8.3706044,5.1824225
heuristic,6,3,30,0.43249481,0.62746793,40.978336,6.7072644,0.17919498,True,1365.3591,8.3706044,5.1824225
heuristic,6,3,31,0.78249481,0.62746793,87.036298,5.7698214,0.10394861,True,1365.3591,8.3706044,5.1824225
heuristic,6,3,32,0.082494812,0.62746793,21.596102,5.6983278,0.0094413436,True,1392.172,8.3706044,5.1824225
heuristic,6,3,33,0.43249481,0.62746793,40.978336,6.7072644,0.17919498,True,1392.172,8.3706044,5.1824225
heuristic,6,3,34,0.25749481,0.62746793,16.088219,7.5075306,0.12494316,True,1394.1282,8.3706044,5.1824225
heuristic,6,3,35,0.082494812,0.45246793,51.613889,6.9386267,0.02343012,True,1394.1282,8.3706044,5.1824225
heuristic,6,4,36,0.16999481,0.62746793,4.1985427,7.4297437,0.074848502,True,1431.6327,4.1985427,5.1824225
heuristic,6,4,37,0.16999481,0.71496793,2.6061383,6.8051763,0.044885363,True,1452.634,2.6061383,5.1824225
heuristic,6,4,38,0.16999481,0.62746793,4.1985427,7.4297437,0.074848502,True,1452.634,2.6061383,5.1824225
heuristic,6,4,39,0.25749481,0.71496793,21.575998,6.8764242,0.094980021,True,1452.634,2.6061383,5.1824225
heuristic,6,4,40,0.21374481,0.71496793,9.9898491,6.9414777,0.071846755,True,1452.634,2.6061383,5.1824225
heuristic,6,4,41,0.12624481,0.71496793,2.5526962,6.2986302,0.014095847,True,1462.657,2.5526962,5.1824225
heuristic,6,4,42,0.12624481,0.67121793,4.9073433,6.5758524,0.030991478,True,1462.657,2.5526962,5.1824225
heuristic,6,4,43,0.12624481,0.67121793,4.9073433,6.5758524,0.030991478,True,1462.657,2.5526962,5.1824225
heuristic,6,4,44,0.16999481,0.71496793,2.6061383,6.8051763,0.044885363,True,1462.657,2.5526962,5.1824225
