strategy,seed,round,trial,x1,x2,branin,currin,feasible,hv,best_branin,best_currin
heuristic,3,0,0,0.085649167,0.23681051,104.83624,9.2941749,True,1095.3594,104.83624,9.2941749
heuristic,3,0,1,0.085649167,0.58681051,25.886501,6.0640677,True,2444.9596,25.886501,6.0640677
heuristic,3,0,2,0.43564917,0.58681051,34.754553,6.9884653,True,2444.9596,25.886501,6.0640677
heuristic,3,0,3,0,0.58681051,83.035374,1.7203988,True,3466.7205,25.886501,1.7203988
heuristic,3,0,4,0.35,0.58681051,29.492285,7.4113609,True,3466.7205,25.886501,1.7203988
heuristic,3,0,5,0,0.93681051,22.55325,1.240752,True,3899.1457,22.55325,1.240752
heuristic,3,0,6,0,1,17.5083,1.180408,True,3983.8154,17.5083,1.180408
heuristic,3,0,7,0.35,1,107.4722,5.0851174,True,3983.8154,17.5083,1.180408
heuristic,3,0,8,0.35,1,107.4722,5.0851174,True,3983.8154,17.5083,1.180408
heuristic,3,1,9,0,0.65,68.038078,1.6098919,True,3983.8154,17.5083,1.180408
heuristic,3,1,10,0,0.825,35.882564,1.3635133,True,3983.8154,17.5083,1.180408
heuristic,3,1,11,0.175,1,23.256378,5.3463957,True,3983.8154,17.5083,1.180408
heuristic,3,1,12,0,0.9125,24.972775,1.2655904,True,3983.8154,17.5083,1.180408
heuristic,3,1,13,0.0875,1,3.6828927,4.2054958,True,4125.1232,3.6828927,1.180408
heuristic,3,1,14,0.04375,1,6.6629531,2.8914849,True,4139.3741,3.6828927,1.180408
heuristic,3,1,15,0.4790513,0.15973891,5.0112682,11.340748,True,4139.3741,3.6828927,1.180408
heuristic,3,1,16,0.8290513,0.15973891,15.082947,9.9492066,True,4139.3741,3.6828927,1.180408
heuristic,3,1,17,0.8290513,0.50973891,54.067144,6.5027522,True,4139.3741,3.6828927,1.180408
heuristic,3,2,18,0.8290513,0.85973891,148.17634,4.5879657,True,4139.3741,3.6828927,1.180408
heuristic,3,2,19,0.8290513,0.15973891,15.082947,9.9492066,True,4139.3741,3.6828927,1.180408
heuristic,3,2,20,1,0.50973891,23.50177,6.3624278,True,4139.3741,3.6828927,1.180408
heuristic,3,2,21,0.65,0.50973891,49.940484,6.8268331,True,4139.3741,3.6828927,1.180408
heuristic,3,2,22,1,0.85973891,99.817105,4.4889609,True,4139.3741,3.6828927,1.180408
heuristic,3,2,23,1,0.15973891,2.3114354,9.7345103,True,4145.8087,2.3114354,1.180408
heuristic,3,2,24,0.825,0.50973891,54.841083,6.5077391,True,4145.8087,2.3114354,1.180408
heuristic,3,2,25,1,0.68473891,54.768812,5.2749079,True,4145.8087,2.3114354,1.180408
heuristic,3,2,26,1,0.33473891,6.0159777,7.8937852,True,4145.8087,2.3114354,1.180408
heuristic,3,3,27,1,0.59723891,37.412635,5.7725112,True,4145.8087,2.3114354,1.180408
heuristic,3,3,28,0.9125,0.59723891,52.386587,5.8234489,True,4145.8087,2.3114354,1.180408
heuristic,3,3,29,0.9125,0.59723891,52.386587,5.8234489,True,4145.8087,2.3114354,1.180408
heuristic,3,3,30,0.51674018,0.43062802,16.021812,7.9714388,True,4145.8087,2.3114354,1.180408
heuristic,3,3,31,0.86674018,0.43062802,32.8331,7.0996599,True,4145.8087,2.3114354,1.180408
heuristic,3,3,32,0.16674018,0.43062802,21.014013,9.2603991,True,4145.8087,2.3114354,1.180408
heuristic,3,3,33,0.51674018,0.78062802,84.116358,5.4892111,True,4145.8087,2.3114354,1.180408
heuristic,3,3,34,0.51674018,0.08062802,3.0522671,11.582155,True,4145.8087,2.3114354,1.180408
heuristic,3,3,35,0.69174018,0.43062802,43.81488,7.3954612,True,4145.8087,2.3114354,1.180408
heuristic,3,4,36,0.34174018,0.43062802,19.958917,8.9278545,True,4145.8087,2.3114354,1.180408
heuristic,3,4,37,0.51674018,0.60562802,43.17846,6.5226593,True,4145.8087,2.3114354,1.180408
heuristic,3,4,38,0.51674018,0.25562802,2.6464147,9.9643133,True,4145.8087,2.3114354,1.180408
heuristic,3,4,39,0.69174018,0.25562802,22.975001,9.2443403,True,4145.8087,2.3114354,1.180408
heuristic,3,4,40,0.34174018,0.25562802,23.394702,11.159835,True,4145.8087,2.3114354,1.180408
heuristic,3,4,41,0.51674018,0.43062802,16.021812,7.9714388,True,4145.8087,2.3114354,1.180408
heuristic,3,4,42,0.51674018,0.08062802,3.0522671,11.582155,True,4145.8087,2.3114354,1.180408
heuristic,3,4,43,0.51674018,0.34312802,7.6114573,8.9028118,True,4145.8087,2.3114354,1.180408
heuristic,3,4,44,0.51674018,0.16812802,1.1266847,11.012599,True,4149.8532,1.1266847,1.180408
