strategy,seed,round,trial,x1,x2,branin,neg_branin,feasible,hv,best_branin,best_neg_branin
heuristic,8,0,0,-0.095415851,14.809153,94.486806,-94.486806,True,24441.788,94.486806,-94.486806
heuristic,8,0,1,5.1545841,14.809153,198.53976,-198.53976,True,36899.582,94.486806,-198.53976
heuristic,8,0,2,5.1545841,15,203.7598,-203.7598,True,37497.305,94.486806,-203.7598
heuristic,8,0,3,5.1545841,9.75,86.722844,-86.722844,True,38285.03,86.722844,-203.7598
heuristic,8,0,4,10,15,145.87219,-145.87219,True,40991.374,86.722844,-203.7598
heuristic,8,0,5,-0.095415851,15,97.827223,-97.827223,True,41151.864,86.722844,-203.7598
heuristic,8,0,6,5.1545841,12.375,138.3507,-138.3507,True,41456.661,86.722844,-203.7598
heuristic,8,0,7,7.7795841,15,194.67131,-194.67131,True,41645.438,86.722844,-203.7598
heuristic,8,0,8,2.5295841,15,150.96443,-150.96443,True,41868.004,86.722844,-203.7598
heuristic,8,1,9,5.1545841,13.6875,169.33259,-169.33259,True,42333.43,86.722844,-203.7598
heuristic,8,1,10,6.4670841,15,212.36612,-212.36612,True,43244.832,86.722844,-212.36612
heuristic,8,1,11,7.7795841,15,194.67131,-194.67131,True,43244.832,86.722844,-212.36612
heuristic,8,1,12,5.1545841,15,203.7598,-203.7598,True,43244.832,86.722844,-212.36612
heuristic,8,1,13,6.4670841,13.6875,177.62811,-177.62811,True,43386.214,86.722844,-212.36612
heuristic,8,1,14,6.4670841,14.34375,194.56645,-194.56645,True,43387.99,86.722844,-212.36612
heuristic,8,1,15,0.8662721,6.5682281,19.641511,-19.641511,True,45694.102,19.641511,-212.36612
heuristic,8,1,16,6.1162721,6.5682281,49.388931,-49.388931,True,46804.69,19.641511,-212.36612
heuristic,8,1,17,-4.3837279,6.5682281,85.954805,-85.954805,True,46832.774,19.641511,-212.36612
heuristic,8,2,18,0.8662721,11.818228,66.629005,-66.629005,True,47165.952,19.641511,-212.36612
heuristic,8,2,19,0.8662721,1.3182281,27.779018,-27.779018,True,47341.803,19.641511,-212.36612
heuristic,8,2,20,0.8662721,9.1932281,36.244633,-36.244633,True,47453.077,19.641511,-212.36612
heuristic,8,2,21,0.8662721,3.9432281,16.81964,-16.81964,True,47542.124,16.81964,-212.36612
heuristic,8,2,22,3.4912721,3.9432281,4.6851184,-4.6851184,True,47777.794,4.6851184,-212.36612
heuristic,8,2,23,-1.7587279,3.9432281,35.825902,-35.825902,True,47781.164,4.6851184,-212.36612
heuristic,8,2,24,3.4912721,3.9432281,4.6851184,-4.6851184,True,47781.164,4.6851184,-212.36612
heuristic,8,2,25,-1.7587279,3.9432281,35.825902,-35.825902,True,47781.164,4.6851184,-212.36612
heuristic,8,2,26,0.8662721,6.5682281,19.641511,-19.641511,True,47781.164,4.6851184,-212.36612
heuristic,8,3,27,0.8662721,1.3182281,27.779018,-27.779018,True,47781.164,4.6851184,-212.36612
heuristic,8,3,28,2.1787721,3.9432281,5.151381,-5.151381,True,47786.604,4.6851184,-212.36612
heuristic,8,3,29,-0.4462279,3.9432281,26.460998,-26.460998,True,47795.592,4.6851184,-212.36612
heuristic,8,3,30,2.1844818,3.6202822,4.7012021,-4.7012021,True,47795.6,4.6851184,-212.36612
heuristic,8,3,31,7.4344818,3.6202822,19.258185,-19.258185,True,47796.534,4.6851184,-212.36612
heuristic,8,3,32,-3.0655182,3.6202822,72.211293,-72.211293,True,47873.255,4.6851184,-212.36612
heuristic,8,3,33,2.1844818,8.8702822,37.309262,-37.309262,True,47886.115,4.6851184,-212.36612
heuristic,8,3,34,2.1844818,0,14.32834,-14.32834,True,47908.978,4.6851184,-212.36612
heuristic,8,3,35,2.1844818,6.2452822,14.114607,-14.114607,True,47910.893,4.6851184,-212.36612
heuristic,8,4,36,2.1844818,0.99528218,9.069047,-9.069047,True,47930.66,4.6851184,-212.36612
heuristic,8,4,37,4.8094818,3.6202822,16.159502,-16.159502,True,47931.869,4.6851184,-212.36612
heuristic,8,4,38,-0.44051819,3.6202822,28.33198,-28.33198,True,47936.013,4.6851184,-212.36612
heuristic,8,4,39,3.4969818,3.6202822,3.5775322,-3.5775322,True,47956.297,3.5775322,-212.36612
heuristic,8,4,40,3.4969818,4.9327822,9.5162521,-9.5162521,True,47958.353,3.5775322,-212.36612
heuristic,8,4,41,3.4969818,2.3077822,1.0841247,-1.0841247,True,47997.8,1.0841247,-212.36612
heuristic,8,4,42,4.8094818,2.3077822,11.879758,-11.879758,True,48003.082,1.0841247,-212.36612
heuristic,8,4,43,2.1844818,2.3077822,5.1624683,-5.1624683,True,48003.126,1.0841247,-212.36612
heuristic,8,4,44,3.4969818,3.6202822,3.5775322,-3.5775322,True,48003.126,1.0841247,-212.36612
