strategy,seed,round,trial,x1,x2,branin,feasible,hv,best_branin
heuristic,0,0,0,4.5544253,4.0468007,15.331645,True,302.93363,15.331645
heuristic,0,0,1,4.5544253,9.2968007,70.359484,True,302.93363,15.331645
heuristic,0,0,2,4.5544253,0,10.537431,True,307.72785,10.537431
heuristic,0,0,3,9.8044253,0,8.9994115,True,309.26587,8.9994115
heuristic,0,0,4,10,0,10.960889,True,309.26587,8.9994115
heuristic,0,0,5,4.5544253,0,10.537431,True,309.26587,8.9994115
heuristic,0,0,6,9.8044253,5.25,7.0163791,True,311.2489,7.0163791
heuristic,0,0,7,10,5.25,6.9923447,True,311.27293,6.9923447
heuristic,0,0,8,10,10.5,58.1488,True,311.27293,6.9923447
heuristic,0,1,9,10,0,10.960889,True,311.27293,6.9923447
heuristic,0,1,10,10,10.5,58.1488,True,311.27293,6.9923447
heuristic,0,1,11,10,0,10.960889,True,311.27293,6.9923447
heuristic,0,1,12,4.75,5.25,25.533131,True,311.27293,6.9923447
heuristic,0,1,13,7.375,5.25,30.116888,True,311.27293,6.9923447
heuristic,0,1,14,10,7.875,25.679948,True,311.27293,6.9923447
heuristic,0,1,15,10,2.625,2.0859919,True,316.17929,2.0859919
heuristic,0,1,16,10,5.25,6.9923447,True,316.17929,2.0859919
heuristic,0,1,17,10,0,10.960889,True,316.17929,2.0859919
heuristic,0,2,18,7.375,2.625,16.210946,True,316.17929,2.0859919
heuristic,0,2,19,10,3.9375,2.816512,True,316.17929,2.0859919
heuristic,0,2,20,10,1.3125,4.8007842,True,316.17929,2.0859919
heuristic,0,2,21,8.6875,2.625,3.3839095,True,316.17929,2.0859919
heuristic,0,2,22,9.34375,2.625,0.47669812,True,317.78858,0.47669812
heuristic,0,2,23,9.34375,3.28125,1.1928318,True,317.78858,0.47669812
heuristic,0,2,24,9.34375,1.96875,0.6218926,True,317.78858,0.47669812
heuristic,0,2,25,10,2.625,2.0859919,True,317.78858,0.47669812
heuristic,0,2,26,8.6875,2.625,3.3839095,True,317.78858,0.47669812
heuristic,0,3,27,9.34375,3.28125,1.1928318,True,317.78858,0.47669812
heuristic,0,3,28,9.34375,1.96875,0.6218926,True,317.78858,0.47669812
heuristic,0,3,29,9.671875,2.625,0.69393496,True,317.78858,0.47669812
heuristic,0,3,30,9.015625,2.625,1.4146687,True,317.78858,0.47669812
heuristic,0,3,31,9.34375,2.953125,0.72709893,True,317.78858,0.47669812
heuristic,0,3,32,9.34375,2.296875,0.44162935,True,317.82365,0.44162935
heuristic,0,3,33,9.671875,2.296875,0.84512295,True,317.82365,0.44162935
heuristic,0,3,34,9.015625,2.296875,1.2115984,True,317.82365,0.44162935
heuristic,0,3,35,9.34375,2.625,0.47669812,True,317.82365,0.44162935
heuristic,0,4,36,9.34375,1.96875,0.6218926,True,317.82365,0.44162935
heuristic,0,4,37,9.5078125,2.296875,0.49299979,True,317.82365,0.44162935
heuristic,0,4,38,9.1796875,2.296875,0.68527774,True,317.82365,0.44162935
heuristic,0,4,39,9.34375,2.4609375,0.43224723,True,317.83303,0.43224723
heuristic,0,4,40,9.5078125,2.4609375,0.43819443,True,317.83303,0.43224723
heuristic,0,4,41,9.1796875,2.4609375,0.71903695,True,317.83303,0.43224723
heuristic,0,4,42,9.34375,2.625,0.47669812,True,317.83303,0.43224723
heuristic,0,4,43,9.34375,2.296875,0.44162935,True,317.83303,0.43224723
heuristic,0,4,44,9.4257812,2.4609375,0.39811447,True,317.86716,0.39811447
