strategy,seed,round,trial,x1,x2,branin,currin,disk_slack,feasible,hv,best_branin,best_currin
heuristic,5,0,0,0.80500292,0.80794079,135.83715,4.8236805,0.012145687,True,372.65255,135.83715,4.8236805
heuristic,5,0,1,0.80500292,1,207.01437,4.1131425,-0.14302678,False,372.65255,135.83715,4.8236805
heuristic,5,0,2,0.80500292,0.45794079,48.814176,6.9453548,0.10520424,True,973.79861,48.814176,4.8236805
heuristic,5,0,3,1,0.80794079,85.047427,4.6972273,-0.14482753,False,973.79861,48.814176,4.8236805
heuristic,5,0,4,0.45500292,0.80794079,81.432691,5.5538271,0.10314773,True,1049.5039,48.814176,4.8236805
heuristic,5,0,5,0.98000292,0.80794079,89.159441,4.7048571,-0.12523034,False,1049.5039,48.814176,4.8236805
heuristic,5,0,6,0.63000292,0.80794079,120.79063,5.0785714,0.08827171,True,1056.6549,48.814176,4.8236805
heuristic,5,0,7,0.80500292,0.98294079,200.02051,4.167924,-0.12625859,False,1056.6549,48.814176,4.8236805
heuristic,5,0,8,0.80500292,0.63294079,85.435039,5.7090743,0.089299963,True,1056.6549,48.814176,4.8236805
heuristic,5,1,9,0.80500292,0.89544079,166.20618,4.4727218,-0.049400202,False,1056.6549,48.814176,4.8236805
heuristic,5,1,10,0.80500292,0.72044079,108.91344,5.2313214,0.058379075,True,1060.4853,48.814176,4.8236805
heuristic,5,1,11,0.89250292,0.80794079,112.86192,4.7513444,-0.048886075,False,1060.4853,48.814176,4.8236805
heuristic,5,1,12,0.71750292,0.80794079,139.3445,4.929479,0.057864948,True,1060.4853,48.814176,4.8236805
heuristic,5,1,13,0.80500292,0.85169079,150.591,4.6418342,-0.016713195,False,1060.4853,48.814176,4.8236805
heuristic,5,1,14,0.80500292,0.76419079,121.94463,5.0196518,0.037176443,True,1061.3039,48.814176,4.8236805
heuristic,5,1,15,0.053930702,0.38336888,89.651978,6.0044848,-0.012580636,False,1061.3039,48.814176,4.8236805
heuristic,5,1,16,0.053930702,0.73336888,20.731922,4.0733791,-0.053438853,False,1061.3039,48.814176,4.8236805
heuristic,5,1,17,0.053930702,0.033368881,213.69703,8.2409234,-0.21672242,False,1061.3039,48.814176,4.8236805
heuristic,5,2,18,0.4039307,0.38336888,16.36973,9.0697668,0.17716787,True,1216.5015,16.36973,4.8236805
heuristic,5,2,19,0.4039307,0.73336888,57.488298,6.152834,0.13630966,True,1235.4779,16.36973,4.8236805
heuristic,5,2,20,0.7539307,0.73336888,117.60154,5.2282134,0.081058164,True,1235.4879,16.36973,4.8236805
heuristic,5,2,21,0.053930702,0.73336888,20.731922,4.0733791,-0.053438853,False,1235.4879,16.36973,4.8236805
heuristic,5,2,22,0.4039307,1,125.80549,4.8978703,-0.05922931,False,1235.4879,16.36973,4.8236805
heuristic,5,2,23,0.4039307,0.38336888,16.36973,9.0697668,0.17716787,True,1235.4879,16.36973,4.8236805
heuristic,5,2,24,0.7539307,0.73336888,117.60154,5.2282134,0.081058164,True,1235.4879,16.36973,4.8236805
heuristic,5,2,25,0.053930702,0.73336888,20.731922,4.0733791,-0.053438853,False,1235.4879,16.36973,4.8236805
heuristic,5,2,26,0.5789307,0.73336888,84.777153,5.5597517,0.13930891,True,1235.4879,16.36973,4.8236805
heuristic,5,3,27,0.2289307,0.73336888,14.847391,6.8137688,0.072060401,True,1320.5403,14.847391,4.8236805
heuristic,5,3,28,0.2289307,0.90836888,33.242244,5.8352473,-0.040243707,False,1320.5403,14.847391,4.8236805
heuristic,5,3,29,0.2289307,0.55836888,10.233787,8.1549988,0.12311451,True,1346.8298,10.233787,4.8236805
heuristic,5,3,30,0.048757711,0.99917612,5.9030925,3.0691974,-0.2527964,False,1346.8298,10.233787,4.8236805
heuristic,5,3,31,0.39875771,0.99917612,124.0208,4.9183973,-0.059426795,False,1346.8298,10.233787,4.8236805
heuristic,5,3,32,0,0.99917612,17.562516,1.1811581,-0.29917679,False,1346.8298,10.233787,4.8236805
heuristic,5,3,33,0.048757711,1,5.8992905,3.0672484,-0.2536196,False,1346.8298,10.233787,4.8236805
heuristic,5,3,34,0.048757711,0.64917612,35.14562,4.1867717,-0.025873117,False,1346.8298,10.233787,4.8236805
heuristic,5,3,35,0.22375771,0.99917612,45.574377,5.4309747,-0.1254866,False,1346.8298,10.233787,4.8236805
heuristic,5,4,36,0,0.99917612,17.562516,1.1811581,-0.29917679,False,1346.8298,10.233787,4.8236805
heuristic,5,4,37,0.048757711,1,5.8992905,3.0672484,-0.2536196,False,1346.8298,10.233787,4.8236805
heuristic,5,4,38,0.048757711,0.82417612,13.633731,3.5456165,-0.10870976,False,1346.8298,10.233787,4.8236805
heuristic,5,4,39,0.13625771,0.99917612,10.509626,5.0541017,-0.18148525,False,1346.8298,10.233787,4.8236805
heuristic,5,4,40,0,0.99917612,17.562516,1.1811581,-0.29917679,False,1346.8298,10.233787,4.8236805
heuristic,5,4,41,0.048757711,1,5.8992905,3.0672484,-0.2536196,False,1346.8298,10.233787,4.8236805
heuristic,5,4,42,0.048757711,0.91167612,8.0457557,3.2908229,-0.17309683,False,1346.8298,10.233787,4.8236805
heuristic,5,4,43,0.048757711,1,5.8992905,3.0672484,-0.2536196,False,1346.8298,10.233787,4.8236805
heuristic,5,4,44,0.048757711,0.95542612,6.54376,3.1762641,-0.21103255,False,1346.8298,10.233787,4.8236805
