strategy,seed,round,trial,x1,x2,branin,currin,disk_slack,rejected_before,feasible,hv,best_branin,best_currin
lhs,9,0,0,0.77263849,0.33664764,34.582807,8.1446018,0.098984261,1,True,813.62337,34.582807,8.1446018
lhs,9,0,1,0.4749038,0.64812365,47.456451,6.3921447,0.17742957,2,True,1040.831,34.582807,6.3921447
lhs,9,0,2,0.096835779,0.61311673,17.783061,6.2586405,0.024663216,2,True,1210.0068,17.783061,6.2586405
lhs,9,0,3,0.068256912,0.48478919,53.944621,6.0377835,0.013366537,3,True,1237.2081,17.783061,6.0377835
lhs,9,0,4,0.54756286,0.83295946,105.99332,5.153942,0.086875769,3,True,1300.0617,17.783061,5.153942
lhs,9,0,5,0.61193523,0.72374064,90.701327,5.530592,0.13741063,3,True,1307.8177,17.783061,5.153942
lhs,9,0,6,0.32224459,0.54843616,23.304313,7.8788868,0.16605695,3,True,1307.8177,17.783061,5.153942
lhs,9,0,7,0.63918567,0.38500667,27.796537,7.9740866,0.16740388,3,True,1307.8177,17.783061,5.153942
lhs,9,0,8,0.45350548,0.73920454,64.603732,5.9219051,0.14061945,3,True,1310.8418,17.783061,5.153942
lhs,9,1,9,0.52252884,0.095983333,2.0121988,11.506026,0.036262985,3,True,1347.8596,2.0121988,5.153942
lhs,9,1,10,0.23023728,0.32576047,25.317526,10.812288,0.096868661,3,True,1347.8596,2.0121988,5.153942
lhs,9,1,11,0.44309576,0.75596794,67.182177,5.8682217,0.13124232,3,True,1349.1222,2.0121988,5.153942
lhs,9,1,12,0.50386914,0.26886294,3.571683,9.8687914,0.14656069,4,True,1372.3896,2.0121988,5.153942
lhs,9,1,13,0.73706676,0.23953398,25.573291,9.3067135,0.075956803,4,True,1372.3896,2.0121988,5.153942
lhs,9,1,14,0.68647538,0.50855442,56.697815,6.7503592,0.16515376,4,True,1372.3896,2.0121988,5.153942
lhs,9,1,15,0.65904007,0.16642586,13.067539,10.347092,0.063434552,6,True,1372.3896,2.0121988,5.153942
lhs,9,1,16,0.30062554,0.24482572,28.326248,11.624719,0.095135912,6,True,1372.3896,2.0121988,5.153942
lhs,9,1,17,0.37089251,0.41651357,19.335515,8.9019466,0.17636127,7,True,1372.3896,2.0121988,5.153942
lhs,9,2,18,0.78864929,0.5596798,70.609438,6.1968811,0.11311991,8,True,1372.3896,2.0121988,5.153942
lhs,9,2,19,0.41854742,0.3086488,12.974733,9.8859828,0.1567502,12,True,1372.3896,2.0121988,5.153942
lhs,9,2,20,0.83589644,0.45731244,43.407984,6.9089344,0.085351355,12,True,1372.3896,2.0121988,5.153942
lhs,9,2,21,0.68974719,0.5984118,76.411041,6.1019741,0.15431112,13,True,1372.3896,2.0121988,5.153942
lhs,9,2,22,0.35158355,0.13086056,32.284463,12.626705,0.041708636,14,True,1372.3896,2.0121988,5.153942
lhs,9,2,23,0.57582358,0.6966311,74.303547,5.7689198,0.155587,15,True,1374.0179,2.0121988,5.153942
lhs,9,2,24,0.85636751,0.51946645,50.111542,6.3994504,0.072623258,16,True,1374.0179,2.0121988,5.153942
lhs,9,2,25,0.21879079,0.18270455,49.234593,12.904347,0.020244979,16,True,1374.0179,2.0121988,5.153942
lhs,9,2,26,0.25004361,0.44206615,15.464336,9.2846962,0.13416547,16,True,1375.3723,2.0121988,5.153942
lhs,9,3,27,0.27140136,0.21427606,34.896494,12.264309,0.066104494,16,True,1375.3723,2.0121988,5.153942
lhs,9,3,28,0.083124652,0.49378629,42.921527,6.6315222,0.026176334,19,True,1375.3723,2.0121988,5.153942
lhs,9,3,29,0.22176408,0.33187912,25.394566,10.738072,0.094320139,19,True,1375.3723,2.0121988,5.153942
lhs,9,3,30,0.63220439,0.12243897,7.9580914,10.811186,0.039969668,19,True,1375.3723,2.0121988,5.153942
lhs,9,3,31,0.66578869,0.74603699,110.90393,5.3044169,0.11197991,20,True,1375.3723,2.0121988,5.153942
lhs,9,3,32,0.49558068,0.45316234,17.959007,7.8481731,0.1977867,21,True,1375.3723,2.0121988,5.153942
lhs,9,3,33,0.88367435,0.37671262,22.135633,7.5756442,0.037594216,21,True,1375.3723,2.0121988,5.153942
lhs,9,3,34,0.14748017,0.47153604,20.070928,8.5802922,0.074919576,25,True,1375.3723,2.0121988,5.153942
lhs,9,3,35,0.24809802,0.55694362,12.778288,8.1279593,0.13330282,25,True,1382.7304,2.0121988,5.153942
lhs,9,4,36,0.36020659,0.82826498,68.45798,5.8154556,0.072699906,25,True,1383.0388,2.0121988,5.153942
lhs,9,4,37,0.72398891,0.51156822,61.838481,6.6505131,0.14969514,25,True,1383.0388,2.0121988,5.153942
lhs,9,4,38,0.4670377,0.17042492,6.5504651,11.310536,0.090293752,25,True,1383.0388,2.0121988,5.153942
lhs,9,4,39,0.27990577,0.24657758,30.074219,11.74102,0.087335609,25,True,1383.0388,2.0121988,5.153942
lhs,9,4,40,0.58494455,0.67257349,70.404627,5.8835676,0.16300281,28,True,1383.0388,2.0121988,5.153942
lhs,9,4,41,0.224023,0.268058,33.70373,11.657659,0.070039605,28,True,1383.0388,2.0121988,5.153942
lhs,9,4,42,0.82095564,0.63282647,82.538732,5.6914859,0.079344608,28,True,1383.6709,2.0121988,5.153942
lhs,9,4,43,0.33472542,0.11043979,38.178067,12.919895,0.020927154,29,True,1383.6709,2.0121988,5.153942
lhs,9,4,44,0.69258104,0.77490508,125.18541,5.1179945,0.08733974,29,True,1385.5374,2.0121988,5.1179945
