strategy,seed,round,trial,x1,x2,branin,neg_branin,rejected_before,feasible,hv,best_branin,best_neg_branin
lhs,9,0,0,5.9448587,13.899978,182.79439,-182.79439,0,True,26759.663,182.79439,-182.79439
lhs,9,0,1,6.5895774,5.0497146,34.582807,-34.582807,0,True,34069.332,34.582807,-182.79439
lhs,9,0,2,8.0429863,2.178646,8.5835209,-8.5835209,0,True,34675.631,8.5835209,-182.79439
lhs,9,0,3,2.123557,9.7218547,47.456451,-47.456451,0,True,36417.924,8.5835209,-182.79439
lhs,9,0,4,-3.5474633,9.196751,17.783061,-17.783061,0,True,36572.474,8.5835209,-182.79439
lhs,9,0,5,9.0367693,0.66665296,3.3631743,-3.3631743,0,True,36666.96,3.3631743,-182.79439
lhs,9,0,6,-3.9761463,7.2718379,53.944621,-53.944621,0,True,37502.959,3.3631743,-182.79439
lhs,9,0,7,3.2134429,12.494392,105.99332,-105.99332,0,True,41500.355,3.3631743,-182.79439
lhs,9,0,8,4.1790285,10.85611,90.701327,-90.701327,0,True,42062.438,3.3631743,-182.79439
lhs,9,1,9,-0.16633111,8.2265424,23.304313,-23.304313,0,True,42124.709,3.3631743,-182.79439
lhs,9,1,10,4.5877851,5.7751,27.796537,-27.796537,0,True,42155.195,3.3631743,-182.79439
lhs,9,1,11,1.8025822,11.088068,64.603732,-64.603732,0,True,42433.372,3.3631743,-182.79439
lhs,9,1,12,2.8379325,1.43975,2.0121988,-2.0121988,0,True,42455.999,2.0121988,-182.79439
lhs,9,1,13,-1.5464408,4.8864071,25.317526,-25.317526,0,True,42460.989,2.0121988,-182.79439
lhs,9,1,14,1.6464364,11.339519,67.182177,-67.182177,0,True,42521.632,2.0121988,-182.79439
lhs,9,1,15,8.8606327,9.6631728,59.994791,-59.994791,0,True,42549.517,2.0121988,-182.79439
lhs,9,1,16,2.558037,4.0329442,3.571683,-3.571683,0,True,42550.562,2.0121988,-182.79439
lhs,9,1,17,6.0560014,3.5930097,25.573291,-25.573291,0,True,42551.131,2.0121988,-182.79439
lhs,9,2,18,5.2971307,7.6283163,56.697815,-56.697815,0,True,42560.208,2.0121988,-182.79439
lhs,9,2,19,-4.5247189,10.126013,40.928143,-40.928143,0,True,42601.632,2.0121988,-182.79439
lhs,9,2,20,-3.0082689,13.193595,2.0125457,-2.0125457,0,True,42601.633,2.0121988,-182.79439
lhs,9,2,21,4.885601,2.496388,13.067539,-13.067539,0,True,42622.777,2.0121988,-182.79439
lhs,9,2,22,-0.49061694,3.6723859,28.326248,-28.326248,0,True,42626.091,2.0121988,-182.79439
lhs,9,2,23,-2.7445642,13.368975,5.2566315,-5.2566315,0,True,42631.697,2.0121988,-182.79439
lhs,9,2,24,0.56338764,6.2477035,19.335515,-19.335515,0,True,42637.858,2.0121988,-182.79439
lhs,9,2,25,-4.8815888,14.289778,18.16013,-18.16013,0,True,42638.302,2.0121988,-182.79439
lhs,9,2,26,6.8297394,8.3951971,70.609438,-70.609438,0,True,42707.162,2.0121988,-182.79439
lhs,9,3,27,-4.0461607,5.6413178,83.512219,-83.512219,0,True,42799.921,2.0121988,-182.79439
lhs,9,3,28,0.98647195,0.728722,29.942586,-29.942586,0,True,42807.421,2.0121988,-182.79439
lhs,9,3,29,-2.5550101,14.42266,14.34353,-14.34353,0,True,42811.81,2.0121988,-182.79439
lhs,9,3,30,3.8775286,0.32997246,4.9595631,-4.9595631,0,True,42812.222,2.0121988,-182.79439
lhs,9,3,31,1.2782114,4.6297321,12.974733,-12.974733,0,True,42812.63,2.0121988,-182.79439
lhs,9,3,32,7.5384466,6.8596866,43.407984,-43.407984,0,True,42822.67,2.0121988,-182.79439
lhs,9,3,33,-2.1122749,12.912211,13.895937,-13.895937,0,True,42823.04,2.0121988,-182.79439
lhs,9,3,34,5.3462079,8.976177,76.411041,-76.411041,0,True,42864.239,2.0121988,-182.79439
lhs,9,3,35,8.574866,12.151657,109.75746,-109.75746,0,True,43139.16,2.0121988,-182.79439
lhs,9,4,36,0.27375332,1.9629085,32.284463,-32.284463,0,True,43144.543,2.0121988,-182.79439
lhs,9,4,37,9.3974133,11.720257,86.301819,-86.301819,0,True,43156.816,2.0121988,-182.79439
lhs,9,4,38,3.6373537,10.449466,74.303547,-74.303547,0,True,43164.601,2.0121988,-182.79439
lhs,9,4,39,7.2847667,1.0395652,15.224504,-15.224504,0,True,43166.855,2.0121988,-182.79439
lhs,9,4,40,7.8455126,7.7919967,50.111542,-50.111542,0,True,43177.032,2.0121988,-182.79439
lhs,9,4,41,-1.7181382,2.7405683,49.234593,-49.234593,0,True,43178.592,2.0121988,-182.79439
lhs,9,4,42,-1.2493458,6.6309922,15.464336,-15.464336,0,True,43179.148,2.0121988,-182.79439
lhs,9,4,43,-0.92897956,3.2141409,34.896494,-34.896494,0,True,43181.04,2.0121988,-182.79439
lhs,9,4,44,9.8232631,14.733401,142.80202,-142.80202,0,True,44502.57,2.0121988,-182.79439
