strategy,seed,round,trial,x1,x2,x3,x4,branin,currin,rejected_before,feasible,hv,best_branin,best_currin
random,4,0,0,0.94305611,0.51132755,0.97624371,0.080836024,30.147055,6.3839206,0,True,2255.1168,30.147055,6.3839206
random,4,0,1,0.60735583,0.37648658,0.80190121,0.17452782,20.61442,8.1644481,0,True,2314.8079,20.61442,6.3839206
random,4,0,2,0.87163527,0.5439414,0.90221508,0.47715352,51.295338,6.2091818,0,True,2360.1105,20.61442,6.2091818
random,4,0,3,0.43049628,0.78894672,0.984153,0.36972579,73.170858,5.739714,0,True,2471.5544,20.61442,5.739714
random,4,0,4,0.96893287,0.92902639,0.17769259,0.60885162,129.65764,4.2478008,0,True,2741.4367,20.61442,4.2478008
random,4,0,5,0.70486475,0.94280368,0.66565742,0.13339576,186.26756,4.4135364,0,True,2741.4367,20.61442,4.2478008
random,4,0,6,0.4978676,0.49361983,0.50022619,0.95858229,23.155603,7.4695721,0,True,2746.2949,20.61442,4.2478008
random,4,0,7,0.3499374,0.22377115,0.522087,0.64117092,24.391099,11.54076,0,True,2746.2949,20.61442,4.2478008
random,4,0,8,0.93910705,0.5820158,0.26783339,0.9297747,43.526731,5.9011243,0,True,2756.7845,20.61442,4.2478008
random,4,1,9,0.49172528,0.67580086,0.47603891,0.21698003,54.761415,6.1539746,0,True,2756.7845,20.61442,4.2478008
random,4,1,10,0.69255204,0.77063048,0.19078851,0.45991601,123.84454,5.138214,0,True,2760.2811,20.61442,4.2478008
random,4,1,11,0.36181506,0.17072982,0.22135166,0.96250741,26.482373,12.132183,0,True,2760.2811,20.61442,4.2478008
random,4,1,12,0.88422305,0.38229183,0.73947324,0.041968037,22.700788,7.5215629,0,True,2760.5735,20.61442,4.2478008
random,4,1,13,0.9150572,0.53717085,0.8202678,0.27593826,39.969242,6.2187631,0,True,2761.161,20.61442,4.2478008
random,4,1,14,0.37612381,0.34804372,0.97243967,0.42945988,17.726865,9.6730576,0,True,2774.886,17.726865,4.2478008
random,4,1,15,0.49969274,0.95597893,0.90319559,0.39501051,134.74019,4.7719502,0,True,2774.886,17.726865,4.2478008
random,4,1,16,0.30735792,0.80704794,0.10747159,0.39218891,48.759472,6.1425704,0,True,2774.886,17.726865,4.2478008
random,4,1,17,0.87643382,0.91764241,0.23347627,0.078720151,155.01882,4.3356712,0,True,2774.886,17.726865,4.2478008
random,4,2,18,0.7877275,0.62177807,0.23750482,0.50589319,85.070271,5.7973907,0,True,2774.886,17.726865,4.2478008
random,4,2,19,0.071418222,0.70008732,0.52672546,0.70464786,17.250113,4.9080364,0,True,2911.1554,17.250113,4.2478008
random,4,2,20,0.088169373,0.64481502,0.37033588,0.49930857,17.170572,5.7880562,0,True,2911.8425,17.170572,4.2478008
random,4,2,21,0.3354825,0.63408653,0.56826094,0.61711476,32.288325,7.1209909,0,True,2911.8425,17.170572,4.2478008
random,4,2,22,0.063379621,0.2251416,0.071904561,0.38329785,129.21084,8.0321553,0,True,2911.8425,17.170572,4.2478008
random,4,2,23,0.48100849,0.11234194,0.66758908,0.48735676,6.2580486,11.707041,0,True,2941.5155,6.2580486,4.2478008
