strategy,seed,round,trial,x1,x2,branin,currin,disk_slack,rejected_before,feasible,hv,best_branin,best_currin
random,0,0,0,0.63696169,0.26978671,15.331645,9.2560416,0.12824334,0,True,743.71761,15.331645,9.2560416
random,0,0,1,0.60663578,0.72949656,90.891761,5.5124658,0.13596014,2,True,1066.4723,15.331645,5.5124658
random,0,0,2,0.54362499,0.93507242,138.72058,4.7389186,0.0088088462,2,True,1096.1663,15.331645,4.7389186
random,0,0,3,0.72965545,0.17565562,21.401091,10.027913,0.042059099,4,True,1096.1663,15.331645,4.7389186
random,0,0,4,0.86317892,0.54146122,52.8072,6.234818,0.066382038,4,True,1211.2283,15.331645,4.7389186
random,0,0,5,0.29971189,0.42268722,18.651898,9.2703015,0.15390741,4,True,1211.2283,15.331645,4.7389186
random,0,0,6,0.67062441,0.64718951,84.723783,5.8352701,0.14922256,5,True,1213.6927,15.331645,4.7389186
random,0,0,7,0.61538511,0.38367755,22.993859,8.0632317,0.17315536,5,True,1249.2543,15.331645,4.7389186
random,0,0,8,0.68554198,0.65045928,88.45303,5.786813,0.14293618,6,True,1249.3725,15.331645,4.7389186
random,0,1,9,0.68844673,0.38892142,37.120694,7.7984297,0.15214938,6,True,1253.5263,15.331645,4.7389186
random,0,1,10,0.13509651,0.72148834,1.6408565,6.4006403,0.017788355,6,True,1422.8508,1.6408565,4.7389186
random,0,1,11,0.52535432,0.31024188,5.415546,9.2464773,0.16334901,6,True,1422.8508,1.6408565,4.7389186
random,0,1,12,0.48583536,0.88948783,109.92718,5.0789217,0.04809859,6,True,1435.334,1.6408565,4.7389186
random,0,1,13,0.57152983,0.32186939,9.4879563,8.8994102,0.16315297,7,True,1435.334,1.6408565,4.7389186
random,0,1,14,0.59430003,0.33791123,14.143458,8.6268991,0.16483473,7,True,1435.334,1.6408565,4.7389186
random,0,1,15,0.391619,0.89027435,90.927995,5.3946013,0.035939489,7,True,1437.5733,1.6408565,4.7389186
random,0,1,16,0.22715759,0.62318714,10.025896,7.6073995,0.11038195,7,True,1437.5733,1.6408565,4.7389186
random,0,1,17,0.78709831,0.23936944,24.26349,9.1944267,0.049646275,8,True,1437.5733,1.6408565,4.7389186
random,0,2,18,0.33611706,0.15027947,33.133027,12.58022,0.050837931,9,True,1437.5733,1.6408565,4.7389186
random,0,2,19,0.45033937,0.79632427,77.80007,5.6286817,0.10972575,9,True,1442.9261,1.6408565,4.7389186
random,0,2,20,0.40455184,0.19851304,16.784183,11.44022,0.099995264,10,True,1442.9261,1.6408565,4.7389186
random,0,2,21,0.090753046,0.58033239,24.567624,6.2845569,0.026063638,10,True,1446.2042,1.6408565,4.7389186
random,0,2,22,0.29869613,0.67199488,28.691487,7.018682,0.12989452,10,True,1446.2042,1.6408565,4.7389186
random,0,2,23,0.36511017,0.10549528,32.135415,12.676229,0.026170759,11,True,1446.2042,1.6408565,4.7389186
random,0,2,24,0.62910815,0.92715455,161.78111,4.5892587,0.000870073,11,True,1448.4979,1.6408565,4.5892587
random,0,2,25,0.49989581,0.42522862,14.907615,8.1005135,0.19440923,12,True,1448.4979,1.6408565,4.5892587
random,0,2,26,0.75772885,0.4974227,59.991158,6.699806,0.1335692,14,True,1448.4979,1.6408565,4.5892587
random,0,3,27,0.52931216,0.7857857,87.997825,5.4266068,0.11746733,14,True,1449.0858,1.6408565,4.5892587
random,0,3,28,0.41465585,0.73448357,59.08615,6.1016941,0.13773383,14,True,1451.5771,1.6408565,4.5892587
random,0,3,29,0.47998792,0.23237292,4.481281,10.474237,0.12797526,21,True,1451.5771,1.6408565,4.5892587
random,0,3,30,0.26613027,0.53893441,15.244241,8.2317641,0.14378906,22,True,1451.5771,1.6408565,4.5892587
random,0,3,31,0.44275283,0.93101732,113.9654,5.0404722,0.010946835,22,True,1452.5289,1.6408565,4.5892587
random,0,3,32,0.757951,0.51275872,62.964136,6.5814071,0.1332985,25,True,1452.5289,1.6408565,4.5892587
random,0,3,33,0.34430998,0.43029873,19.98066,8.9155875,0.17090235,27,True,1452.5289,1.6408565,4.5892587
random,0,3,34,0.25886459,0.24167571,32.818549,11.934984,0.075122279,28,True,1452.5289,1.6408565,4.5892587
random,0,3,35,0.12455471,0.28833076,63.223441,10.260761,0.014236963,29,True,1452.5289,1.6408565,4.5892587
random,0,4,36,0.58612306,0.5540905,44.462438,6.6639382,0.18965704,29,True,1452.5289,1.6408565,4.5892587
random,0,4,37,0.80971078,0.56047595,67.850703,6.1637583,0.10042189,29,True,1452.5289,1.6408565,4.5892587
random,0,4,38,0.28842121,0.41289634,18.383026,9.4473641,0.14764737,29,True,1452.5289,1.6408565,4.5892587
random,0,4,39,0.81812097,0.62650646,81.536975,5.7321981,0.082795163,29,True,1452.5289,1.6408565,4.5892587
random,0,4,40,0.55261151,0.5939242,46.012683,6.4822343,0.18841027,30,True,1452.5289,1.6408565,4.5892587
random,0,4,41,0.40651034,0.90995896,99.766242,5.2530606,0.023193333,31,True,1453.9671,1.6408565,4.5892587
random,0,4,42,0.41538404,0.82980399,80.609741,5.5901151,0.08406947,32,True,1454.2521,1.6408565,4.5892587
random,0,4,43,0.2738491,0.70265207,25.128172,6.9060612,0.10778791,34,True,1454.2521,1.6408565,4.5892587
random,0,4,44,0.38077051,0.42977406,19.563352,8.6970372,0.18085265,36,True,1454.2521,1.6408565,4.5892587
