strategy,seed,round,trial,x1,x2,branin,currin,rejected_before,feasible,hv,best_branin,best_currin
random,0,0,0,0.63696169,0.26978671,15.331645,9.2560416,0,True,1566.2663,15.331645,9.2560416
random,0,0,1,0.040973524,0.016527636,238.44556,7.0948724,0,True,1738.7702,15.331645,7.0948724
random,0,0,2,0.81327024,0.91275558,170.94627,4.4016012,0,True,2281.4176,15.331645,4.4016012
random,0,0,3,0.60663578,0.72949656,90.891761,5.5124658,0,True,2581.1078,15.331645,4.4016012
random,0,0,4,0.54362499,0.93507242,138.72058,4.7389186,0,True,2606.0358,15.331645,4.4016012
random,0,0,5,0.81585355,0.0027385002,17.00619,10.430528,0,True,2606.0358,15.331645,4.4016012
random,0,0,6,0.85740428,0.033585575,10.869158,10.352089,0,True,2624.2173,10.869158,4.4016012
random,0,0,7,0.72965545,0.17565562,21.401091,10.027913,0,True,2624.2173,10.869158,4.4016012
random,0,0,8,0.86317892,0.54146122,52.8072,6.234818,0,True,2739.2792,10.869158,4.4016012
random,0,1,9,0.29971189,0.42268722,18.651898,9.2703015,0,True,2739.2792,10.869158,4.4016012
random,0,1,10,0.028319671,0.12428328,208.10562,5.7835425,0,True,2739.2792,10.869158,4.4016012
random,0,1,11,0.67062441,0.64718951,84.723783,5.8352701,0,True,2741.7436,10.869158,4.4016012
random,0,1,12,0.61538511,0.38367755,22.993859,8.0632317,0,True,2777.3053,10.869158,4.4016012
random,0,1,13,0.99720994,0.98083534,139.81457,4.0662105,0,True,2847.6573,10.869158,4.0662105
random,0,1,14,0.68554198,0.65045928,88.45303,5.786813,0,True,2847.7754,10.869158,4.0662105
random,0,1,15,0.68844673,0.38892142,37.120694,7.7984297,0,True,2851.9293,10.869158,4.0662105
random,0,1,16,0.13509651,0.72148834,1.6408565,6.4006403,0,True,3010.9187,1.6408565,4.0662105
random,0,1,17,0.52535432,0.31024188,5.415546,9.2464773,0,True,3010.9187,1.6408565,4.0662105
random,0,2,18,0.48583536,0.88948783,109.92718,5.0789217,0,True,3023.4019,1.6408565,4.0662105
random,0,2,19,0.93404352,0.3577952,11.572147,7.7105036,0,True,3023.4019,1.6408565,4.0662105
random,0,2,20,0.57152983,0.32186939,9.4879563,8.8994102,0,True,3023.4019,1.6408565,4.0662105
random,0,2,21,0.59430003,0.33791123,14.143458,8.6268991,0,True,3023.4019,1.6408565,4.0662105
random,0,2,22,0.391619,0.89027435,90.927995,5.3946013,0,True,3025.6412,1.6408565,4.0662105
random,0,2,23,0.22715759,0.62318714,10.025896,7.6073995,0,True,3025.6412,1.6408565,4.0662105
random,0,2,24,0.084015344,0.83264415,3.6758436,4.72763,0,True,3185.4841,1.6408565,4.0662105
random,0,2,25,0.78709831,0.23936944,24.26349,9.1944267,0,True,3185.4841,1.6408565,4.0662105
random,0,2,26,0.87648423,0.058568035,7.7565401,10.318824,0,True,3185.4841,1.6408565,4.0662105
random,0,3,27,0.33611706,0.15027947,33.133027,12.58022,0,True,3185.4841,1.6408565,4.0662105
random,0,3,28,0.45033937,0.79632427,77.80007,5.6286817,0,True,3185.4841,1.6408565,4.0662105
random,0,3,29,0.23064221,0.052021301,73.936964,13.780216,0,True,3185.4841,1.6408565,4.0662105
random,0,3,30,0.40455184,0.19851304,16.784183,11.44022,0,True,3185.4841,1.6408565,4.0662105
random,0,3,31,0.090753046,0.58033239,24.567624,6.2845569,0,True,3185.4841,1.6408565,4.0662105
random,0,3,32,0.29869613,0.67199488,28.691487,7.018682,0,True,3185.4841,1.6408565,4.0662105
random,0,3,33,0.19951544,0.94211311,25.446486,5.6696911,0,True,3185.4841,1.6408565,4.0662105
random,0,3,34,0.36511017,0.10549528,32.135415,12.676229,0,True,3185.4841,1.6408565,4.0662105
random,0,3,35,0.62910815,0.92715455,161.78111,4.5892587,0,True,3185.4841,1.6408565,4.0662105
random,0,4,36,0.44037715,0.95459049,120.78402,4.9534238,0,True,3185.4841,1.6408565,4.0662105
random,0,4,37,0.49989581,0.42522862,14.907615,8.1005135,0,True,3185.4841,1.6408565,4.0662105
random,0,4,38,0.62021345,0.99509651,185.28505,4.3639312,0,True,3185.4841,1.6408565,4.0662105
random,0,4,39,0.94894367,0.46004514,21.564499,6.7771547,0,True,3185.4841,1.6408565,4.0662105
random,0,4,40,0.75772885,0.4974227,59.991158,6.699806,0,True,3185.4841,1.6408565,4.0662105
random,0,4,41,0.52931216,0.7857857,87.997825,5.4266068,0,True,3185.4841,1.6408565,4.0662105
random,0,4,42,0.41465585,0.73448357,59.08615,6.1016941,0,True,3185.4841,1.6408565,4.0662105
random,0,4,43,0.71114288,0.93205969,182.99746,4.4435751,0,True,3185.4841,1.6408565,4.0662105
random,0,4,44,0.11493263,0.72901512,3.2572132,6.0004746,0,True,3185.6516,1.6408565,4.0662105
