strategy,seed,round,trial,x1,x2,branin,neg_branin,rejected_before,feasible,hv,best_branin,best_neg_branin
random,0,0,0,4.5544253,4.0468007,15.331645,-15.331645,0,True,9108.6036,15.331645,-15.331645
random,0,0,1,-4.3853971,0.24791453,238.44556,-238.44556,0,True,26917.493,15.331645,-238.44556
random,0,0,2,7.1990536,13.691334,170.94627,-170.94627,0,True,37421.37,15.331645,-238.44556
random,0,0,3,4.0995366,10.942448,90.891761,-90.891761,0,True,43470.298,15.331645,-238.44556
random,0,0,4,3.1543749,14.026086,138.72058,-138.72058,0,True,45011.614,15.331645,-238.44556
random,0,0,5,7.2378033,0.041077503,17.00619,-17.00619,0,True,45135.339,15.331645,-238.44556
random,0,0,6,7.8610641,0.50378363,10.869158,-10.869158,0,True,45249.603,10.869158,-238.44556
random,0,0,7,5.9448317,2.6348343,21.401091,-21.401091,0,True,45555.008,10.869158,-238.44556
random,0,0,8,7.9476838,8.1219183,52.8072,-52.8072,0,True,46751.096,10.869158,-238.44556
random,0,1,9,-0.50432164,6.3403083,18.651898,-18.651898,0,True,46755.62,10.869158,-238.44556
random,0,1,10,-4.5752049,1.8642491,208.10562,-208.10562,0,True,47883.033,10.869158,-238.44556
random,0,1,11,5.0593662,9.7078427,84.723783,-84.723783,0,True,48079.893,10.869158,-238.44556
random,0,1,12,4.2307767,5.7551633,22.993859,-22.993859,0,True,48127.379,10.869158,-238.44556
random,0,1,13,9.958149,14.71253,139.81457,-139.81457,0,True,48161.437,10.869158,-238.44556
random,0,1,14,5.2831298,9.7568891,88.45303,-88.45303,0,True,48170.531,10.869158,-238.44556
random,0,1,15,5.326701,5.8338214,37.120694,-37.120694,0,True,48392.132,10.869158,-238.44556
random,0,1,16,-2.9735524,10.822325,1.6408565,-1.6408565,0,True,48543.266,1.6408565,-238.44556
random,0,1,17,2.8803148,4.6536281,5.415546,-5.415546,0,True,48563.851,1.6408565,-238.44556
random,0,2,18,2.2875304,13.342318,109.92718,-109.92718,0,True,49111.946,1.6408565,-238.44556
random,0,2,19,9.0106527,5.366928,11.572147,-11.572147,0,True,49114.589,1.6408565,-238.44556
random,0,2,20,3.5729475,4.8280409,9.4879563,-9.4879563,0,True,49120.214,1.6408565,-238.44556
random,0,2,21,3.9145005,5.0686684,14.143458,-14.143458,0,True,49123.269,1.6408565,-238.44556
random,0,2,22,0.87428501,13.354115,90.927995,-90.927995,0,True,49123.957,1.6408565,-238.44556
random,0,2,23,-1.5926361,9.3478072,10.025896,-10.025896,0,True,49124.411,1.6408565,-238.44556
random,0,2,24,-3.7397698,12.489662,3.6758436,-3.6758436,0,True,49127.951,1.6408565,-238.44556
random,0,2,25,6.8064746,3.5905416,24.26349,-24.26349,0,True,49144.275,1.6408565,-238.44556
random,0,2,26,8.1472635,0.87852052,7.7565401,-7.7565401,0,True,49148.328,1.6408565,-238.44556
random,0,3,27,0.041755908,2.254192,33.133027,-33.133027,0,True,49183.697,1.6408565,-238.44556
random,0,3,28,1.7550905,11.944864,77.80007,-77.80007,0,True,49356.741,1.6408565,-238.44556
random,0,3,29,-1.5403669,0.78031952,73.936964,-73.936964,0,True,49438.367,1.6408565,-238.44556
random,0,3,30,1.0682776,2.9776957,16.784183,-16.784183,0,True,49438.69,1.6408565,-238.44556
random,0,3,31,-3.6387043,8.7049858,24.567624,-24.567624,0,True,49441.295,1.6408565,-238.44556
random,0,3,32,-0.51955801,10.079923,28.691487,-28.691487,0,True,49459.611,1.6408565,-238.44556
random,0,3,33,-2.0072683,14.131697,25.446486,-25.446486,0,True,49462.463,1.6408565,-238.44556
random,0,3,34,0.47665252,1.5824292,32.135415,-32.135415,0,True,49465.898,1.6408565,-238.44556
random,0,3,35,4.4366223,13.907318,161.78111,-161.78111,0,True,49667.225,1.6408565,-238.44556
random,0,4,36,1.6056573,14.318857,120.78402,-120.78402,0,True,49861.96,1.6408565,-238.44556
random,0,4,37,2.4984372,6.3784294,14.907615,-14.907615,0,True,49862.284,1.6408565,-238.44556
random,0,4,38,4.3032018,14.926448,185.28505,-185.28505,0,True,50189.503,1.6408565,-238.44556
random,0,4,39,9.2341551,6.9006771,21.564499,-21.564499,0,True,50189.736,1.6408565,-238.44556
random,0,4,40,6.3659327,7.4613404,59.991158,-59.991158,0,True,50289.923,1.6408565,-238.44556
random,0,4,41,2.9396824,11.786786,87.997825,-87.997825,0,True,50291.413,1.6408565,-238.44556
random,0,4,42,1.2198377,11.017254,59.08615,-59.08615,0,True,50297.095,1.6408565,-238.44556
random,0,4,43,5.6671432,13.980895,182.99746,-182.99746,0,True,50324.664,1.6408565,-238.44556
random,0,4,44,-3.2760105,10.935227,3.2572132,-3.2572132,0,True,50325.34,1.6408565,-238.44556
