strategy,seed,round,trial,x1,x2,branin,rejected_before,feasible,hv,best_branin
random,2,0,0,-1.075818,4.4773672,26.015061,0,True,292.25022,26.015061
random,2,0,1,7.2133861,1.3787391,15.757789,0,True,302.50749,15.757789
random,2,0,2,4.0015079,10.928408,88.89972,0,True,302.50749,15.757789
random,2,0,3,-2.1814839,0.82719941,90.232425,0,True,302.50749,15.757789
random,2,0,4,-0.87545948,9.8614952,21.764396,0,True,302.50749,15.757789
random,2,0,5,3.4339849,2.2509339,0.84264526,0,True,317.42263,0.84264526
random,2,0,6,1.4894619,10.039459,48.276349,0,True,317.42263,0.84264526
random,2,0,7,1.3417701,9.497766,41.347332,0,True,317.42263,0.84264526
random,2,0,8,9.5115393,10.245972,59.674964,0,True,317.42263,0.84264526
random,2,1,9,0.8743725,2.8087885,19.763354,0,True,317.42263,0.84264526
random,2,1,10,0.18940998,7.6659896,23.283008,0,True,317.42263,0.84264526
random,2,1,11,8.3681411,11.633459,103.39703,0,True,317.42263,0.84264526
random,2,1,12,-0.22780099,13.863253,75.513978,0,True,317.42263,0.84264526
random,2,1,13,2.0636483,10.406383,56.44545,0,True,317.42263,0.84264526
random,2,1,14,-3.3918904,1.5681534,128.75949,0,True,317.42263,0.84264526
random,2,1,15,-1.9713883,13.266745,19.411556,0,True,317.42263,0.84264526
random,2,1,16,5.1971719,12.738545,147.20243,0,True,317.42263,0.84264526
random,2,1,17,4.666544,6.098136,31.762586,0,True,317.42263,0.84264526
random,2,2,18,2.7486729,8.9016528,40.823225,0,True,317.42263,0.84264526
random,2,2,19,7.9317698,6.5727925,34.950761,0,True,317.42263,0.84264526
random,2,2,20,8.3836016,9.2057541,60.934416,0,True,317.42263,0.84264526
random,2,2,21,7.4403419,7.4708408,51.817783,0,True,317.42263,0.84264526
random,2,2,22,5.387772,5.0853806,31.293705,0,True,317.42263,0.84264526
random,2,2,23,2.8424276,3.2433509,1.347812,0,True,317.42263,0.84264526
random,2,2,24,-3.489446,0.57906195,158.41386,0,True,317.42263,0.84264526
random,2,2,25,5.5292421,6.8464593,49.455997,0,True,317.42263,0.84264526
random,2,2,26,8.4660122,12.527748,119.88969,0,True,317.42263,0.84264526
random,2,3,27,0.77642702,14.605182,112.16703,0,True,317.42263,0.84264526
random,2,3,28,3.8809302,11.48825,97.367976,0,True,317.42263,0.84264526
random,2,3,29,1.1079154,2.9425487,16.398006,0,True,317.42263,0.84264526
random,2,3,30,-2.4233448,2.7180934,65.139372,0,True,317.42263,0.84264526
random,2,3,31,4.0570828,1.6894928,4.1488597,0,True,317.42263,0.84264526
random,2,3,32,-4.7013388,12.494954,24.660781,0,True,317.42263,0.84264526
random,2,3,33,-3.5088332,6.758768,42.20604,0,True,317.42263,0.84264526
random,2,3,34,2.3274786,9.3040861,43.20609,0,True,317.42263,0.84264526
random,2,3,35,2.5602172,14.060147,129.39646,0,True,317.42263,0.84264526
random,2,4,36,6.2559489,8.6169975,76.115396,0,True,317.42263,0.84264526
random,2,4,37,4.2590821,7.5982724,42.197161,0,True,317.42263,0.84264526
random,2,4,38,9.4714271,3.399391,1.191134,0,True,317.42263,0.84264526
random,2,4,39,5.3354071,8.3264502,66.590531,0,True,317.42263,0.84264526
random,2,4,40,-4.3698232,4.44225,127.32103,0,True,317.42263,0.84264526
random,2,4,41,8.907504,11.768473,95.651771,0,True,317.42263,0.84264526
random,2,4,42,-4.8075336,4.4493949,159.45453,0,True,317.42263,0.84264526
random,2,4,43,-4.8529198,12.412004,30.302794,0,True,317.42263,0.84264526
random,2,4,44,-3.3444861,0.86182768,142.34987,0,True,317.42263,0.84264526
