strategy,seed,round,trial,x1,x2,x3,x4,branin,currin,rejected_before,feasible,hv,best_branin,best_currin
sobol,5,0,0,0.63135181,0.23685403,0.5249112,0.65083083,12.048984,9.6678006,0,True,1420.4107,12.048984,9.6678006
sobol,5,0,1,0.20376585,0.75799375,0.49188003,0.0089037791,9.7030511,6.655876,0,True,2337.7152,9.7030511,6.655876
sobol,5,0,2,0.3711747,0.40049035,0.75639647,0.82050231,18.85172,9.0799629,0,True,2337.7152,9.7030511,6.655876
sobol,5,0,3,0.79121328,0.59446899,0.22718036,0.46422086,78.132957,5.9630684,0,True,2498.7386,9.7030511,5.9630684
sobol,5,0,4,0.98312564,0.31393947,0.32086684,0.3593444,4.6902604,8.1201503,0,True,2530.3495,4.6902604,5.9630684
sobol,5,0,5,0.43029244,0.68346798,0.66282804,0.99668332,50.723293,6.3450845,0,True,2538.8682,4.6902604,5.9630684
sobol,5,0,6,0.019700347,0.040934099,0.085570551,0.18526217,257.43799,5.0295712,0,True,2588.4522,4.6902604,5.0295712
sobol,5,0,7,0.56449407,0.95634839,0.93134681,0.54574646,152.45405,4.6108727,0,True,2752.6509,4.6902604,4.6108727
sobol,5,0,8,0.53056105,0.47668329,0.0018717768,0.88895609,22.913106,7.4842246,0,True,2752.6509,4.6902604,4.6108727
sobol,5,1,9,0.07170697,0.51828749,0.98415984,0.27847276,44.938652,5.9642291,0,True,2767.0909,4.6902604,4.6108727
sobol,5,1,10,0.47448462,0.12553531,0.28016738,0.58987483,6.76919,11.670255,0,True,2767.0909,4.6902604,4.6108727
sobol,5,1,11,0.92575698,0.86930104,0.73514185,0.20253495,122.34397,4.4844356,0,True,2831.6024,4.6902604,4.4844356
sobol,5,1,12,0.86664604,0.089779587,0.82907746,0.12090347,8.6413917,10.297183,0,True,2831.6024,4.6902604,4.4844356
sobol,5,1,13,0.28255044,0.90750671,0.18635789,0.72718587,56.957689,5.719112,0,True,2847.5784,4.6902604,4.4844356
sobol,5,1,14,0.13857317,0.30028093,0.57809138,0.41557589,53.16148,10.461323,0,True,2847.5784,4.6902604,4.4844356
sobol,5,1,15,0.71460259,0.69712271,0.40805823,0.80750199,105.23187,5.4731678,0,True,2851.787,4.6902604,4.4844356
sobol,5,1,16,0.7421535,0.26718703,0.95510906,0.13790697,27.959184,8.9767283,0,True,2851.787,4.6902604,4.4844356
sobol,5,1,17,0.15802762,0.72973306,0.05873549,0.52964036,1.646762,6.6174555,0,True,2884.4394,1.646762,4.4844356
sobol,5,2,18,0.26307381,0.11820418,0.70022014,0.34322298,51.320479,13.436975,0,True,2884.4394,1.646762,4.4844356
sobol,5,2,19,0.83913351,0.87858911,0.28434644,0.94931292,152.19194,4.5065933,0,True,2884.4394,1.646762,4.4844356
sobol,5,2,20,0.90606114,0.15860745,0.12803314,0.86787373,3.81515,9.8384896,0,True,2884.4394,1.646762,4.4844356
sobol,5,2,21,0.4471763,0.83672953,0.85665194,0.48034127,87.758357,5.4413155,0,True,2889.8385,1.646762,4.4844356
sobol,5,2,22,0.098977374,0.44821942,0.40242578,0.66693604,42.895229,7.6225657,0,True,2889.8385,1.646762,4.4844356
sobol,5,2,23,0.5502805,0.54722728,0.61154444,0.056259878,36.69423,6.8303981,0,True,2889.8385,1.646762,4.4844356
sobol,5,2,24,0.60765609,0.010799602,0.44763521,0.39946973,6.7773712,11.106513,0,True,2889.8385,1.646762,4.4844356
sobol,5,2,25,0.054792605,0.98599749,0.53545318,0.76014684,5.1235999,3.3067917,0,True,3423.3624,1.646762,3.3067917
sobol,5,2,26,0.39517706,0.34727843,0.20842929,0.073533003,16.088452,9.5552508,0,True,3423.3624,1.646762,3.3067917
sobol,5,3,27,0.94000106,0.64963785,0.80787386,0.71106451,57.59901,5.4949891,0,True,3423.3624,1.646762,3.3067917
sobol,5,3,28,0.75587484,0.43066229,0.65180922,0.6059953,48.293602,7.2612024,0,True,3423.3624,1.646762,3.3067917
sobol,5,3,29,0.32825813,0.56479585,0.36461955,0.24990631,25.09693,7.705971,0,True,3423.3624,1.646762,3.3067917
sobol,5,3,30,0.24664356,0.20353867,0.87938497,0.93631225,39.969778,12.547816,0,True,3423.3624,1.646762,3.3067917
sobol,5,3,31,0.66671289,0.79178688,0.10382191,0.2945779,125.19925,5.0833856,0,True,3423.3624,1.646762,3.3067917
sobol,5,3,32,0.67203739,0.37779282,0.25766199,0.035077846,32.977566,7.9524206,0,True,3423.3624,1.646762,3.3067917
sobol,5,3,33,0.22465697,0.61765387,0.72847651,0.67238625,9.5374257,7.6539772,0,True,3423.3624,1.646762,3.3067917
sobol,5,3,34,0.32299323,0.22882042,0.024254163,0.48599944,27.426017,11.68479,0,True,3423.3624,1.646762,3.3067917
sobol,5,3,35,0.77792485,0.76651657,0.99119236,0.8464532,126.35598,5.0387105,0,True,3423.3624,1.646762,3.3067917
sobol,5,4,36,0.9610137,0.04802172,0.58476081,0.95941135,3.4489788,10.213505,0,True,3423.3624,1.646762,3.3067917
sobol,5,4,37,0.38887432,0.94877156,0.4305677,0.31739275,106.09836,5.1521422,0,True,3423.3624,1.646762,3.3067917
sobol,5,4,38,0.033721317,0.33764414,0.82204091,0.50407901,122.35296,4.9543209,0,True,3423.3624,1.646762,3.3067917
sobol,5,4,39,0.61389636,0.65927595,0.16397148,0.14770602,74.238363,5.8887273,0,True,3423.3624,1.646762,3.3067917
sobol,5,4,40,0.54089692,0.14872134,0.78094658,0.30451427,0.40607452,11.060845,0,True,3427.5378,0.40607452,3.3067917
sobol,5,4,41,0.12477889,0.84660421,0.23595145,0.91088821,0.60662022,5.561089,0,True,3436.9311,0.40607452,3.3067917
sobol,5,4,42,0.45650028,0.48520496,0.50072831,0.22418288,21.646506,7.7337878,0,True,3436.9311,0.40607452,3.3067917
sobol,5,4,43,0.8801962,0.51025318,0.48298597,0.61620052,42.916114,6.4433611,0,True,3436.9311,0.40607452,3.3067917
sobol,5,4,44,0.81430641,0.29270524,0.076795444,0.68978133,25.644922,8.5432401,0,True,3436.9311,0.40607452,3.3067917
