strategy,seed,round,trial,x1,x2,branin,currin,disk_slack,rejected_before,feasible,hv,best_branin,best_currin
sobol,1,0,0,0.15546532,0.58874733,6.9052619,7.6077615,0.073419765,0,True,1062.9963,6.9052619,7.6077615
sobol,1,0,1,0.61334558,0.85919208,132.84091,4.8884212,0.058133831,1,True,1183.3718,6.9052619,4.8884212
sobol,1,0,2,0.42347366,0.34349881,13.22436,9.4191741,0.1696511,1,True,1183.3718,6.9052619,4.8884212
sobol,1,0,3,0.68814827,0.48470276,52.488153,6.9371673,0.16436622,2,True,1237.2559,6.9052619,4.8884212
sobol,1,0,4,0.65286282,0.55405558,59.372694,6.4857486,0.17371095,6,True,1270.4208,6.9052619,4.8884212
sobol,1,0,5,0.48194489,0.64911493,48.249477,6.358745,0.17743875,7,True,1289.0279,6.9052619,4.8884212
sobol,1,0,6,0.53925036,0.16491603,0.43599143,10.914705,0.086178143,7,True,1308.0382,0.43599143,4.8884212
sobol,1,0,7,0.19050477,0.40423261,20.322883,9.7389525,0.095041309,8,True,1308.0382,0.43599143,4.8884212
sobol,1,0,8,0.80993802,0.4174997,41.60406,7.2900408,0.097132123,9,True,1310.1496,0.43599143,4.8884212
sobol,1,1,9,0.51947493,0.67076004,57.1996,6.0893111,0.17046173,9,True,1330.5299,0.43599143,4.8884212
sobol,1,1,10,0.4592398,0.15498952,8.2767594,11.527141,0.079306372,9,True,1330.5299,0.43599143,4.8884212
sobol,1,1,11,0.34666383,0.50116142,22.761515,8.1773266,0.17648667,9,True,1330.5299,0.43599143,4.8884212
sobol,1,1,12,0.31137935,0.44360266,19.099588,8.968828,0.16124159,15,True,1330.5299,0.43599143,4.8884212
sobol,1,1,13,0.38514363,0.8376241,76.493552,5.6683331,0.072817982,15,True,1354.2509,0.43599143,4.8884212
sobol,1,1,14,0.5779452,0.35334795,13.268317,8.5195635,0.17241772,15,True,1354.2509,0.43599143,4.8884212
sobol,1,1,15,0.84497653,0.60599795,70.934328,5.8281451,0.06975563,15,True,1355.7028,0.43599143,4.8884212
sobol,1,1,16,0.87146181,0.32153501,18.504169,8.147553,0.030166372,17,True,1355.7028,0.43599143,4.8884212
sobol,1,1,17,0.58099799,0.5743362,47.424841,6.532141,0.18791345,17,True,1356.3278,0.43599143,4.8884212
sobol,1,2,18,0.3977162,0.12152435,23.082609,12.296879,0.046294204,17,True,1356.3278,0.43599143,4.8884212
sobol,1,2,19,0.28514015,0.7226144,30.313484,6.7325303,0.10427807,17,True,1369.4548,0.43599143,4.8884212
sobol,1,2,20,0.72488425,0.20664664,22.770839,9.7118635,0.063370881,17,True,1369.4548,0.43599143,4.8884212
sobol,1,2,21,0.07938954,0.53285228,37.791513,6.1912895,0.022007569,19,True,1376.4486,0.43599143,4.8884212
sobol,1,2,22,0.68204469,0.77009819,121.71097,5.1582814,0.093906699,20,True,1382.1254,0.43599143,4.8884212
sobol,1,2,23,0.37485559,0.28611261,18.387635,10.48862,0.13859106,20,True,1382.1254,0.43599143,4.8884212
sobol,1,2,24,0.44861997,0.93310289,115.86551,5.0130445,0.0097819765,20,True,1387.5724,0.43599143,4.8884212
sobol,1,2,25,0.51446821,0.38580885,11.221732,8.4405288,0.18675105,20,True,1387.5724,0.43599143,4.8884212
sobol,1,2,26,0.78150024,0.63897626,90.020623,5.7026683,0.10144321,20,True,1387.5724,0.43599143,4.8884212
sobol,1,3,27,0.22455717,0.18567612,47.307768,12.859329,0.025331748,20,True,1387.5724,0.43599143,4.8884212
sobol,1,3,28,0.21698885,0.67983208,9.3878782,7.1853012,0.087565113,20,True,1396.4126,0.43599143,4.8884212
sobol,1,3,29,0.55182174,0.88777731,124.70019,4.9068868,0.046943264,21,True,1397.2768,0.43599143,4.8884212
sobol,1,3,30,0.48499696,0.43504077,15.878273,8.0729258,0.19555521,21,True,1397.2768,0.43599143,4.8884212
sobol,1,3,31,0.316506,0.78417473,47.948902,6.2336313,0.085574676,21,True,1397.2768,0.43599143,4.8884212
sobol,1,3,32,0.62662481,0.26812973,13.411099,9.3131604,0.13020234,21,True,1397.2768,0.43599143,4.8884212
sobol,1,3,33,0.9211148,0.52324741,36.211203,6.3130599,0.022121884,21,True,1397.9397,0.43599143,4.8884212
sobol,1,3,34,0.71633931,0.70861498,108.66529,5.4093522,0.10967709,24,True,1399.8044,0.43599143,4.8884212
sobol,1,3,35,0.27366549,0.22455217,33.308994,12.101968,0.072901182,24,True,1399.8044,0.43599143,4.8884212
sobol,1,4,36,0.41846813,0.61958659,38.949513,6.8260762,0.1790516,24,True,1399.8044,0.43599143,4.8884212
sobol,1,4,37,0.60272646,0.072367862,4.3772088,11.118688,0.0065780284,24,True,1399.8044,0.43599143,4.8884212
sobol,1,4,38,0.12702826,0.37418492,43.304709,9.249209,0.045062644,25,True,1399.8044,0.43599143,4.8884212
sobol,1,4,39,0.82107893,0.48287553,50.58821,6.7201514,0.096615071,26,True,1399.8044,0.43599143,4.8884212
sobol,1,4,40,0.59995154,0.72964619,89.161257,5.527448,0.13727232,26,True,1402.5522,0.43599143,4.8884212
sobol,1,4,41,0.41007417,0.21413595,15.182911,11.195818,0.11019509,26,True,1402.5522,0.43599143,4.8884212
sobol,1,4,42,0.27277885,0.56715231,16.818164,7.9513748,0.14386112,26,True,1402.5522,0.43599143,4.8884212
sobol,1,4,43,0.705935,0.11394396,17.703867,10.586439,0.0085515071,26,True,1402.5522,0.43599143,4.8884212
sobol,1,4,44,0.099502269,0.6314185,14.725631,6.2173709,0.022330745,28,True,1420.8297,0.43599143,4.8884212
