strategy,seed,round,trial,x1,x2,branin,currin,rejected_before,feasible,hv,best_branin,best_currin
sobol,4,0,0,0.89327681,0.10575354,5.0461154,10.204592,0,True,1322.3418,5.0461154,10.204592
sobol,4,0,1,0.05985119,0.81461114,10.666768,4.0043771,0,True,3229.5185,5.0461154,4.0043771
sobol,4,0,2,0.35337707,0.29302435,20.465981,10.552877,0,True,3229.5185,5.0461154,4.0043771
sobol,4,0,3,0.69350116,0.50237025,56.605835,6.7835738,0,True,3229.5185,5.0461154,4.0043771
sobol,4,0,4,0.61239969,0.41215503,26.160376,7.7894685,0,True,3229.5185,5.0461154,4.0043771
sobol,4,0,5,0.46572259,0.63321013,43.941627,6.5276174,0,True,3229.5185,5.0461154,4.0043771
sobol,4,0,6,0.13325663,0.22491364,73.874391,11.367627,0,True,3229.5185,5.0461154,4.0043771
sobol,4,0,7,0.78861588,0.94548047,187.89044,4.30847,0,True,3229.5185,5.0461154,4.0043771
sobol,4,0,8,0.85736471,0.33327429,22.381081,8.0428948,0,True,3229.5185,5.0461154,4.0043771
sobol,4,1,9,0.18951233,0.62026239,5.2195828,7.5904802,0,True,3243.7581,5.0461154,4.0043771
sobol,4,1,10,0.39708534,0.020515201,33.926949,12.506524,0,True,3243.7581,5.0461154,4.0043771
sobol,4,1,11,0.55604195,0.80799157,100.48701,5.2469009,0,True,3243.7581,5.0461154,4.0043771
sobol,4,1,12,0.63708024,0.15529077,9.3146617,10.537057,0,True,3243.7581,5.0461154,4.0043771
sobol,4,1,13,0.28479108,0.92324544,61.009193,5.6385826,0,True,3243.7581,5.0461154,4.0043771
sobol,4,1,14,0.11640277,0.46802044,30.99917,7.9754566,0,True,3243.7581,5.0461154,4.0043771
sobol,4,1,15,0.9617188,0.73548681,73.610817,5.0380548,0,True,3243.7581,5.0461154,4.0043771
sobol,4,1,16,0.9857064,0.48598437,21.208529,6.5485704,0,True,3243.7581,5.0461154,4.0043771
sobol,4,1,17,0.092420612,0.71852937,8.5260212,5.5042853,0,True,3248.2241,5.0461154,4.0043771
sobol,4,2,18,0.25995468,0.17371306,42.467198,12.886512,0,True,3248.2241,5.0461154,4.0043771
sobol,4,2,19,0.66192258,0.90576979,163.17265,4.6135728,0,True,3248.2241,5.0461154,4.0043771
sobol,4,2,20,0.51655108,0.058489603,4.1046008,11.604628,0,True,3250.8808,4.1046008,4.0043771
sobol,4,2,21,0.43657021,0.7710246,69.814763,5.8113977,0,True,3250.8808,4.1046008,4.0043771
sobol,4,2,22,0.23009608,0.37072954,20.539794,10.2048,0,True,3250.8808,4.1046008,4.0043771
sobol,4,2,23,0.81677545,0.58375284,71.754965,6.0002721,0,True,3250.8808,4.1046008,4.0043771
sobol,4,2,24,0.76377536,0.19596335,22.807101,9.7287065,0,True,3250.8808,4.1046008,4.0043771
sobol,4,2,25,0.15810261,0.9753774,14.27131,5.3515496,0,True,3250.8808,4.1046008,4.0043771
sobol,4,2,26,0.48971431,0.38372295,11.000998,8.5825682,0,True,3250.8808,4.1046008,4.0043771
sobol,4,3,27,0.5884139,0.6626487,68.790049,5.933363,0,True,3250.8808,4.1046008,4.0043771
sobol,4,3,28,0.73408843,0.25285265,26.495762,9.16102,0,True,3250.8808,4.1046008,4.0043771
sobol,4,3,29,0.31278382,0.54348763,21.870255,7.9723125,0,True,3250.8808,4.1046008,4.0043771
sobol,4,3,30,0.020356808,0.065124434,245.20932,5.0935446,0,True,3250.8808,4.1046008,4.0043771
sobol,4,3,31,0.93276567,0.85624768,115.98834,4.5311015,0,True,3250.8808,4.1046008,4.0043771
sobol,4,3,32,0.91205258,0.30550657,10.030128,8.2710086,0,True,3250.8808,4.1046008,4.0043771
sobol,4,3,33,0.009825143,0.52217669,91.13292,2.4765777,0,True,3597.8935,4.1046008,2.4765777
sobol,4,3,34,0.34239803,0.11774641,35.672188,12.806225,0,True,3597.8935,4.1046008,2.4765777
sobol,4,3,35,0.73572946,0.8349048,149.8075,4.7886814,0,True,3597.8935,4.1046008,2.4765777
sobol,4,4,36,0.56676811,0.23690759,3.3927019,9.9415466,0,True,3602.6977,3.3927019,2.4765777
sobol,4,4,37,0.48010389,0.9657752,133.48614,4.7895212,0,True,3602.6977,3.3927019,2.4765777
sobol,4,4,38,0.18671545,0.42463618,18.458898,9.4771637,0,True,3602.6977,3.3927019,2.4765777
sobol,4,4,39,0.76640631,0.6530155,94.772832,5.6411579,0,True,3602.6977,3.3927019,2.4765777
sobol,4,4,40,0.83858956,0.0018073898,14.380255,10.385778,0,True,3602.6977,3.3927019,2.4765777
sobol,4,4,41,0.23953912,0.79660798,23.498358,6.4114921,0,True,3602.6977,3.3927019,2.4765777
sobol,4,4,42,0.40806464,0.31407927,14.285937,9.8864996,0,True,3602.6977,3.3927019,2.4765777
sobol,4,4,43,0.5138138,0.60936815,43.57068,6.5072836,0,True,3602.6977,3.3927019,2.4765777
sobol,4,4,44,0.68271244,0.44882434,45.367367,7.254161,0,True,3602.6977,3.3927019,2.4765777
