strategy,seed,round,trial,x1,x2,branin,neg_branin,rejected_before,feasible,hv,best_branin,best_neg_branin
sobol,9,0,0,4.6871945,6.5578346,36.586149,-36.586149,0,True,14456.474,36.586149,-36.586149
sobol,9,0,1,0.19903932,11.474644,52.893888,-52.893888,0,True,18784.081,36.586149,-52.893888
sobol,9,0,2,-2.7660949,0.0079520652,130.63623,-130.63623,0,True,33370.802,36.586149,-130.63623
sobol,9,0,3,7.8780581,10.084619,83.819284,-83.819284,0,True,34818.635,36.586149,-130.63623
sobol,9,0,4,9.8217595,3.100951,1.2179167,-1.2179167,0,True,35382.908,1.2179167,-130.63623
sobol,9,0,5,-4.934928,8.9544611,76.854433,-76.854433,0,True,35549.79,1.2179167,-130.63623
sobol,9,0,6,2.4722286,5.3405867,8.6485505,-8.6485505,0,True,35757.384,1.2179167,-130.63623
sobol,9,0,7,2.6427425,14.478951,140.40175,-140.40175,0,True,37494.314,1.2179167,-140.40175
sobol,9,0,8,3.7924481,0.94570213,3.1290462,-3.1290462,0,True,37504.863,1.2179167,-140.40175
sobol,9,1,9,1.3225803,11.022309,59.986791,-59.986791,0,True,37624.503,1.2179167,-140.40175
sobol,9,1,10,-3.7408908,7.4951846,41.339878,-41.339878,0,True,37679.428,1.2179167,-140.40175
sobol,9,1,11,8.627665,12.411825,114.11064,-114.11064,0,True,38180.01,1.2179167,-140.40175
sobol,9,1,12,7.1674621,4.4027806,26.158141,-26.158141,0,True,38362.601,1.2179167,-140.40175
sobol,9,1,13,-2.0553274,13.541317,19.398844,-19.398844,0,True,38435.265,1.2179167,-140.40175
sobol,9,1,14,-0.49660765,2.1636568,40.144566,-40.144566,0,True,38439.518,1.2179167,-140.40175
sobol,9,1,15,5.3826697,8.0172237,62.765931,-62.765931,0,True,38478.672,1.2179167,-140.40175
sobol,9,1,16,6.0614209,2.4634226,21.227812,-21.227812,0,True,38487.69,1.2179167,-140.40175
sobol,9,1,17,-1.1838304,7.8635168,13.664314,-13.664314,0,True,38516.453,1.2179167,-140.40175
sobol,9,2,18,-1.2655649,4.087823,29.969697,-29.969697,0,True,38541.672,1.2179167,-140.40175
sobol,9,2,19,6.3861725,13.710273,178.45302,-178.45302,0,True,43861.706,1.2179167,-178.45302
sobol,9,2,20,8.4432988,6.6240731,28.210236,-28.210236,0,True,43865.317,1.2179167,-178.45302
sobol,9,2,21,-3.562701,12.961097,1.3584485,-1.3584485,0,True,43865.565,1.2179167,-178.45302
sobol,9,2,22,0.98325749,1.8027089,22.925199,-22.925199,0,True,43871.053,1.2179167,-178.45302
sobol,9,2,23,4.137947,10.487085,83.297324,-83.297324,0,True,43874.416,1.2179167,-178.45302
sobol,9,2,24,3.4130389,5.0250035,9.4648121,-9.4648121,0,True,43877.844,1.2179167,-178.45302
sobol,9,2,25,1.7081083,14.647624,129.44927,-129.44927,0,True,43896.05,1.2179167,-178.45302
sobol,9,2,26,-4.2440501,3.4011132,142.09658,-142.09658,0,True,43957.668,1.2179167,-178.45302
sobol,9,3,27,9.1247051,8.801266,43.962319,-43.962319,0,True,43981.09,1.2179167,-178.45302
sobol,9,3,28,7.5508772,0.86547053,13.098876,-13.098876,0,True,43983.145,1.2179167,-178.45302
sobol,9,3,29,-2.4304412,9.5497921,3.8949214,-3.8949214,0,True,43986.786,1.2179167,-178.45302
sobol,9,3,30,-0.0047778431,5.6864401,19.705151,-19.705151,0,True,43987.252,1.2179167,-178.45302
sobol,9,3,31,4.8825401,12.02329,126.42514,-126.42514,0,True,44024.493,1.2179167,-178.45302
sobol,9,3,32,5.3014658,0.29002625,16.150696,-16.150696,0,True,44032.569,1.2179167,-178.45302
sobol,9,3,33,-0.18643789,9.8908471,32.32117,-32.32117,0,True,44042.598,1.2179167,-178.45302
sobol,9,3,34,-2.3788152,6.2828127,20.987008,-20.987008,0,True,44042.907,1.2179167,-178.45302
sobol,9,3,35,7.265589,11.661278,123.60028,-123.60028,0,True,44069.714,1.2179167,-178.45302
sobol,9,4,36,9.4381991,5.6224785,10.23409,-10.23409,0,True,44071.918,1.2179167,-178.45302
sobol,9,4,37,-4.3260638,14.284539,7.4189264,-7.4189264,0,True,44076.251,1.2179167,-178.45302
sobol,9,4,38,1.8615622,2.826655,7.6805078,-7.6805078,0,True,44076.504,1.2179167,-178.45302
sobol,9,4,39,3.0245004,9.1413634,46.340916,-46.340916,0,True,44092.091,1.2179167,-178.45302
sobol,9,4,40,4.1742705,7.2206326,36.586845,-36.586845,0,True,44092.093,1.2179167,-178.45302
sobol,9,4,41,0.71196371,12.598927,76.045861,-76.045861,0,True,44102.831,1.2179167,-178.45302
sobol,9,4,42,-3.1320768,1.2273352,121.9447,-121.9447,0,True,44115.801,1.2179167,-178.45302
sobol,9,4,43,8.2440403,10.828098,90.418953,-90.418953,0,True,44272.158,1.2179167,-178.45302
sobol,9,4,44,6.5549288,1.8888938,19.843742,-19.843742,0,True,44272.317,1.2179167,-178.45302
