strategy,seed,round,trial,x1,x2,branin,currin,disk_slack,rejected_before,feasible,hv,best_branin,best_currin
sobol,8,0,0,0.75513167,0.20345178,23.395935,9.66849,0.046966986,0,True,643.24631,23.395935,9.66849
sobol,8,0,1,0.33870364,0.75644711,49.536472,6.2998355,0.10821836,0,True,1072.9886,23.395935,6.2998355
sobol,8,0,2,0.097011001,0.38485908,57.301216,8.1698785,0.024342435,0,True,1072.9886,23.395935,6.2998355
sobol,8,0,3,0.55933677,0.59066689,46.53636,6.4834884,0.18825866,0,True,1082.544,23.395935,6.2998355
sobol,8,0,4,0.72480067,0.26068282,26.650139,9.0944659,0.092191947,0,True,1093.9591,23.395935,6.2998355
sobol,8,0,5,0.18129816,0.71508706,3.9234897,6.8672064,0.052166691,0,True,1283.4023,3.9234897,6.2998355
sobol,8,0,6,0.37514405,0.078848446,32.751145,12.676193,0.0070423607,0,True,1283.4023,3.9234897,6.2998355
sobol,8,0,7,0.96845197,0.8812947,114.02021,4.4191723,-0.1648329,0,False,1283.4023,3.9234897,6.2998355
sobol,8,0,8,0.88065953,0.4768518,37.035115,6.699733,0.054562483,0,True,1284.9935,3.9234897,6.2998355
sobol,8,1,9,0.46325493,0.56105206,31.724681,7.0625666,0.19492245,0,True,1284.9935,3.9234897,6.2998355
sobol,8,1,10,0.22252074,0.17385106,50.014697,13.018008,0.016632133,0,True,1284.9935,3.9234897,6.2998355
sobol,8,1,11,0.68386994,0.84842579,147.76879,4.8068154,0.044791312,0,True,1328.7966,3.9234897,4.8068154
sobol,8,1,12,0.60031327,0.049736213,4.6643355,11.140871,-0.01280023,0,False,1328.7966,3.9234897,4.8068154
sobol,8,1,13,0.055834196,0.97278482,5.0555164,3.3761558,-0.22080875,0,False,1328.7966,3.9234897,4.8068154
sobol,8,1,14,0.25066905,0.35218754,21.46696,10.391423,0.11598555,0,True,1328.7966,3.9234897,4.8068154
sobol,8,1,15,0.84300041,0.68596031,91.317359,5.3710712,0.047769481,0,True,1381.2267,3.9234897,4.8068154
sobol,8,1,16,0.86832342,0.33069234,20.016362,8.0555234,0.035672773,0,True,1381.2267,3.9234897,4.8068154
sobol,8,1,17,0.28783361,0.62932865,22.711526,7.3790304,0.13825952,0,True,1381.2267,3.9234897,4.8068154
sobol,8,2,18,0.030510426,0.0087159704,256.88109,6.1029546,-0.26178046,0,False,1381.2267,3.9234897,4.8068154
sobol,8,2,19,0.56314941,0.96693204,155.9768,4.5753002,-0.022013375,0,False,1381.2267,3.9234897,4.8068154
sobol,8,2,20,0.65073728,0.132831,10.878819,10.66636,0.042465196,0,True,1381.2267,3.9234897,4.8068154
sobol,8,2,21,0.19317155,0.8425727,12.538619,6.1486176,-0.011499756,0,False,1381.2267,3.9234897,4.8068154
sobol,8,2,22,0.49638833,0.45535679,18.233973,7.8237597,0.19799394,0,True,1381.2267,3.9234897,4.8068154
sobol,8,2,23,0.91000804,0.50442011,35.255115,6.460249,0.03187387,0,True,1384.2962,3.9234897,4.8068154
sobol,8,2,24,0.99378739,0.10424613,3.3089207,10.100268,-0.20044711,0,False,1384.2962,3.9234897,4.8068154
sobol,8,2,25,0.41232101,0.93402397,107.99036,5.1304978,0.003935585,0,True,1393.8658,3.9234897,4.8068154
sobol,8,2,26,0.15596199,0.29780069,46.134876,10.821517,0.040753289,0,True,1393.8658,3.9234897,4.8068154
sobol,8,3,27,0.68762441,0.72484235,109.1828,5.3726372,0.114243,0,True,1393.8658,3.9234897,4.8068154
sobol,8,3,28,0.52618598,0.42197665,15.53625,8.0159144,0.19322665,0,True,1393.8658,3.9234897,4.8068154
sobol,8,3,29,0.067643693,0.60042235,32.652367,5.2767622,0.0029833754,0,True,1459.2245,3.9234897,4.8068154
sobol,8,3,30,0.37185515,0.22884918,20.901873,11.295988,0.11005613,0,True,1459.2245,3.9234897,4.8068154
sobol,8,3,31,0.7844983,0.80917657,139.32056,4.8397994,0.023470564,0,True,1461.6803,3.9234897,4.8068154
sobol,8,3,32,0.7971784,0.40310353,41.180487,7.4418542,0.10229607,0,True,1461.6803,3.9234897,4.8068154
sobol,8,3,33,0.35923606,0.57229834,29.020147,7.480783,0.17495846,0,True,1461.6803,3.9234897,4.8068154
sobol,8,3,34,0.084321714,0.19388959,119.51764,9.6953025,-0.066492019,0,False,1461.6803,3.9234897,4.8068154
sobol,8,3,35,0.50956897,0.76588926,78.879131,5.5862093,0.12921134,0,True,1461.6803,3.9234897,4.8068154
sobol,8,4,36,0.70628574,0.06873682,17.42405,10.711049,-0.028541737,0,False,1461.6803,3.9234897,4.8068154
sobol,8,4,37,0.13736172,0.89128604,3.0722647,5.5250449,-0.084611286,0,False,1461.6803,3.9234897,4.8068154
sobol,8,4,38,0.42692362,0.27752358,11.615884,10.233887,0.14516409,0,True,1461.6803,3.9234897,4.8068154
sobol,8,4,39,0.97924584,0.69812244,61.029068,5.2145663,-0.068929074,0,False,1461.6803,3.9234897,4.8068154
sobol,8,4,40,0.9226271,0.16098534,2.1481168,9.7971266,-0.09354461,0,False,1461.6803,3.9234897,4.8068154
sobol,8,4,41,0.48370821,0.86141562,101.02564,5.2076765,0.06911333,0,True,1462.1615,3.9234897,4.8068154
sobol,8,4,42,0.20978854,0.4986134,10.987367,8.7335366,0.11577538,0,True,1462.1615,3.9234897,4.8068154
sobol,8,4,43,0.63405923,0.53941051,52.191723,6.6396479,0.18047493,0,True,1462.1615,3.9234897,4.8068154
sobol,8,4,44,0.58174971,0.373522,15.977515,8.2879727,0.1773203,0,True,1462.1615,3.9234897,4.8068154
