strategy,seed,round,trial,x1,x2,x3,x4,branin,currin,feasible,hv,best_branin,best_currin
botorch,3,0,0,0.068465129,0.22452697,0.69918519,0.062585682,124.40947,8.384771,True,1124.5831,124.40947,8.384771
botorch,3,0,1,0.6718139,0.72218115,0.28623549,0.8272891,105.26398,5.4147934,True,1849.9574,105.26398,5.4147934
botorch,3,0,2,0.81191839,0.39246821,0.78557975,0.40765763,37.669962,7.5188832,True,2316.8513,37.669962,5.4147934
botorch,3,0,3,0.45954817,0.8979883,0.19776482,0.67017998,107.35672,5.1241899,True,2375.9012,37.669962,5.1241899
botorch,3,0,4,0.34992159,0.30732032,0.38258765,0.58690737,20.310755,10.384517,True,2446.0618,20.310755,5.1241899
botorch,3,0,5,0.89028017,0.80943006,0.60269485,0.33574139,114.00108,4.7465141,True,2520.2952,20.310755,4.7465141
botorch,3,0,6,0.53044856,0.076886759,0.10191811,0.93124879,2.1751109,11.503241,True,2573.3051,2.1751109,4.7465141
botorch,3,0,7,0.24106472,0.57111535,0.8815341,0.17839005,11.796528,8.019749,True,2644.0149,2.1751109,4.7465141
botorch,3,0,8,0.12862362,0.45554633,0.041754926,0.28658235,28.215531,8.396073,True,2644.0149,2.1751109,4.7465141
botorch,3,1,9,0.82492824,0.6182081,1,0,78.190145,5.7745918,True,2691.2395,2.1751109,4.7465141
botorch,3,1,10,0.76141447,1,1,1,212.53026,4.1540401,True,2749.3163,2.1751109,4.1540401
botorch,3,1,11,1,0.2360025,0,0.91766808,2.2315966,8.9559414,True,2773.681,2.1751109,4.1540401
botorch,3,1,12,0,0.6796466,0.67962974,0.0051703229,61.621063,1.5624564,True,3585.9,2.1751109,1.5624564
botorch,3,1,13,0.6619859,1,0,0,199.938,4.2791259,True,3585.9,2.1751109,1.5624564
botorch,3,1,14,0,1,1,0,17.5083,1.180408,True,3970.7105,2.1751109,1.180408
botorch,3,1,15,0,0.17190547,0.23702687,1,226.14015,2.8363398,True,3970.7105,2.1751109,1.180408
botorch,3,1,16,0,0.54945864,1,0.51507904,92.745373,1.7924111,True,3970.7105,2.1751109,1.180408
botorch,3,1,17,1,0,1,0.83304785,10.960889,10.179487,True,3970.7105,2.1751109,1.180408
botorch,3,2,18,0.023608558,1,0,1,10.759996,2.1335489,True,4011.4028,2.1751109,1.180408
botorch,3,2,19,0.097797285,1,0,0,4.2375385,4.4368553,True,4040.8783,2.1751109,1.180408
botorch,3,2,20,0.10299862,1,1,1,4.7036232,4.5423911,True,4040.8783,2.1751109,1.180408
botorch,3,2,21,0.30780747,0.58711551,0,0,23.652285,7.6230305,True,4040.8783,2.1751109,1.180408
botorch,3,2,22,0.16631522,0.77711106,0,1,3.0143183,6.3944565,True,4044.0116,2.1751109,1.180408
botorch,3,2,23,0,1,0,1,17.5083,1.180408,True,4044.0116,2.1751109,1.180408
botorch,3,2,24,0,1,0,0,17.5083,1.180408,True,4044.0116,2.1751109,1.180408
botorch,3,2,25,0.75257712,0,0,0,20.812361,10.580942,True,4044.0116,2.1751109,1.180408
botorch,3,2,26,0.7875114,0.072819336,0,1,18.29096,10.482016,True,4044.0116,2.1751109,1.180408
botorch,3,3,27,0.11438855,0.82114593,1,0,0.58718451,5.5030375,True,4062.3129,0.58718451,1.180408
botorch,3,3,28,0.5881871,0.26329335,0,0,7.1450335,9.523941,True,4062.3129,0.58718451,1.180408
botorch,3,3,29,0.055701537,0.96691102,1,0.73504147,5.1312335,3.3873573,True,4068.2203,0.58718451,1.180408
botorch,3,3,30,1,0.30747283,1,0,4.5324589,8.177351,True,4068.2203,0.58718451,1.180408
botorch,3,3,31,0.60935504,0.23831164,1,1,8.6030077,9.7368935,True,4068.2203,0.58718451,1.180408
botorch,3,3,32,0.10110978,0.86884961,0,1,0.95940582,5.0097556,True,4069.8373,0.58718451,1.180408
botorch,3,3,33,0.55012703,0.31035697,1,0,6.5315448,9.1273618,True,4069.8373,0.58718451,1.180408
botorch,3,3,34,0.036543657,1,1,0.46868564,7.9432752,2.6289327,True,4071.9736,0.58718451,1.180408
botorch,3,3,35,0.13905199,0.77766599,0,0,0.64996235,6.1251294,True,4071.9736,0.58718451,1.180408
botorch,3,4,36,0.074495956,0.95601748,0.41176295,1,2.9610425,4.0056534,True,4073.6407,0.58718451,1.180408
botorch,3,4,37,0.011703653,1,0.81371061,1,13.913448,1.6577164,True,4075.3513,0.58718451,1.180408
botorch,3,4,38,0.047921759,1,0,1,6.0194794,3.0383117,True,4076.0227,0.58718451,1.180408
botorch,3,4,39,0.089715654,0.90796935,1,0,1.6385305,4.5821648,True,4076.5882,0.58718451,1.180408
botorch,3,4,40,0.065700449,0.98881393,0,0,3.9599283,3.6472236,True,4077.0081,0.58718451,1.180408
botorch,3,4,41,0.096413441,0.88790873,1,1,1.2031306,4.8231065,True,4077.0893,0.58718451,1.180408
botorch,3,4,42,0.04215384,1,1,1,6.9282434,2.8342745,True,4077.2964,0.58718451,1.180408
botorch,3,4,43,0.029233435,1,0.79101774,1,9.4550002,2.3523357,True,4077.6574,0.58718451,1.180408
botorch,3,4,44,0.0055822809,1,1,1,15.734249,1.4086587,True,4078.0992,0.58718451,1.180408
