strategy,seed,round,trial,x1,x2,branin,currin,feasible,hv,best_branin,best_currin
botorch,9,0,0,0.53311616,0.23203969,1.6863753,10.170708,True,1347.2528,1.6863753,10.170708
botorch,9,0,1,0.057208244,0.72557877,20.215931,4.2399543,True,3114.91,1.6863753,4.2399543
botorch,9,0,2,0.25125529,0.42315764,16.467366,9.4985027,True,3117.4298,1.6863753,4.2399543
botorch,9,0,3,0.77559245,0.93184643,184.15672,4.3690619,True,3117.4298,1.6863753,4.2399543
botorch,9,0,4,0.91105459,0.30037846,9.7747773,8.3271455,True,3134.1589,1.6863753,4.2399543
botorch,9,0,5,0.43709764,0.80561695,78.175107,5.6296603,True,3134.1589,1.6863753,4.2399543
botorch,9,0,6,0.1291937,0.10875519,109.70252,12.49223,True,3134.1589,1.6863753,4.2399543
botorch,9,0,7,0.65548185,0.59787098,69.552408,6.1773073,True,3134.1589,1.6863753,4.2399543
botorch,9,0,8,0.69127964,0.49627235,55.116444,6.8367562,True,3134.1589,1.6863753,4.2399543
botorch,9,1,9,0.06003911,0.6121495,34.870653,4.8809951,True,3134.1589,1.6863753,4.2399543
botorch,9,1,10,0.79518162,0.22178022,22.309048,9.3761514,True,3134.1589,1.6863753,4.2399543
botorch,9,1,11,0,0.93127133,23.081146,1.2463281,True,4017.8299,1.6863753,1.2463281
botorch,9,1,12,0.1882174,0.62653606,4.9915316,7.5360392,True,4038.6922,1.6863753,1.2463281
botorch,9,1,13,0,0.65094396,67.827661,1.6083404,True,4038.6922,1.6863753,1.2463281
botorch,9,1,14,0.9358335,0.1351666,1.1286619,9.9873325,True,4041.774,1.1286619,1.2463281
botorch,9,1,15,0,0.54846466,93.012344,1.794401,True,4041.774,1.1286619,1.2463281
botorch,9,1,16,0,0.82011567,36.593086,1.3694095,True,4041.774,1.1286619,1.2463281
botorch,9,1,17,0.7110308,0.28620562,27.835067,8.8376651,True,4041.774,1.1286619,1.2463281
botorch,9,2,18,0.085237896,0.92930365,2.0191589,4.3894183,True,4106.3185,1.1286619,1.2463281
botorch,9,2,19,0.031219695,1,9.0234066,2.4284183,True,4133.4575,1.1286619,1.2463281
botorch,9,2,20,0.12082034,0.81473135,0.43534754,5.6522774,True,4143.401,0.43534754,1.2463281
botorch,9,2,21,0.0087698851,1,14.769606,1.5385925,True,4150.7968,0.43534754,1.2463281
botorch,9,2,22,1,0.2671138,2.9506557,8.6135049,True,4150.7968,0.43534754,1.2463281
botorch,9,2,23,0.058605336,1,4.7073212,3.3951753,True,4155.0881,0.43534754,1.2463281
botorch,9,2,24,0.46133426,0.3945864,12.956319,8.6119265,True,4155.0881,0.43534754,1.2463281
botorch,9,2,25,0.12197062,1,7.453902,4.8659427,True,4155.0881,0.43534754,1.2463281
botorch,9,2,26,0.13485948,0.73706797,1.2117138,6.3027218,True,4155.0881,0.43534754,1.2463281
botorch,9,3,27,0,1,17.5083,1.180408,True,4176.5427,0.43534754,1.180408
botorch,9,3,28,0.099765051,0.87402594,1.0225997,4.9575801,True,4177.235,0.43534754,1.180408
botorch,9,3,29,0.071145477,0.96867815,3.3243767,3.8690635,True,4177.9547,0.43534754,1.180408
botorch,9,3,30,0,1,17.5083,1.180408,True,4177.9547,0.43534754,1.180408
botorch,9,3,31,0,1,17.5083,1.180408,True,4177.9547,0.43534754,1.180408
botorch,9,3,32,0,1,17.5083,1.180408,True,4177.9547,0.43534754,1.180408
botorch,9,3,33,0,1,17.5083,1.180408,True,4177.9547,0.43534754,1.180408
botorch,9,3,34,0,1,17.5083,1.180408,True,4177.9547,0.43534754,1.180408
botorch,9,3,35,0,1,17.5083,1.180408,True,4177.9547,0.43534754,1.180408
botorch,9,4,36,0.064974667,0.98832383,4.0157017,3.6264741,True,4178.1225,0.43534754,1.180408
botorch,9,4,37,0.019509474,1,11.786688,1.9713966,True,4179.4857,0.43534754,1.180408
botorch,9,4,38,0.043618529,1,6.6844071,2.8867938,True,4180.6748,0.43534754,1.180408
botorch,9,4,39,0.037182239,1,7.8213107,2.6526269,True,4180.9563,0.43534754,1.180408
botorch,9,4,40,0.092436152,0.90506498,1.4662872,4.6604237,True,4181.1206,0.43534754,1.180408
botorch,9,4,41,0.0043354705,1,16.121198,1.357733,True,4181.3715,0.43534754,1.180408
botorch,9,4,42,0,1,17.5083,1.180408,True,4181.3715,0.43534754,1.180408
botorch,9,4,43,0.078001201,0.95071936,2.6575863,4.1215824,True,4181.5501,0.43534754,1.180408
botorch,9,4,44,0,1,17.5083,1.180408,True,4181.5501,0.43534754,1.180408
