strategy,seed,round,trial,x1,x2,branin,neg_branin,feasible,hv,best_branin,best_neg_branin
botorch,2,0,0,6.6637996,14.532973,198.53239,-198.53239,True,25535.281,198.53239,-198.53239
botorch,2,0,1,-0.44983764,1.5448349,45.658228,-45.658228,True,34768.049,45.658228,-198.53239
botorch,2,0,2,-1.804593,8.0148024,9.4087205,-9.4087205,True,35643.296,9.4087205,-198.53239
botorch,2,0,3,6.0231626,6.2447686,45.743265,-45.743265,True,35656.289,9.4087205,-198.53239
botorch,2,0,4,4.1259086,10.956526,91.622659,-91.622659,True,40561.242,9.4087205,-198.53239
botorch,2,0,5,-3.998491,5.1945171,88.991845,-88.991845,True,40675.021,9.4087205,-198.53239
botorch,2,0,6,1.2239094,11.847719,71.056658,-71.056658,True,41129.022,9.4087205,-198.53239
botorch,2,0,7,8.1581165,2.3678996,7.6931239,-7.6931239,True,41167.502,7.6931239,-198.53239
botorch,2,0,8,9.3340664,8.8191621,41.648839,-41.648839,True,41296.765,7.6931239,-198.53239
botorch,2,1,9,10,12.739288,96.739286,-96.739286,True,41817.602,7.6931239,-198.53239
botorch,2,1,10,1.8333156,15,139.38158,-139.38158,True,44339.928,7.6931239,-198.53239
botorch,2,1,11,-5,15,17.5083,-17.5083,True,44535.457,7.6931239,-198.53239
botorch,2,1,12,-5,0,308.1291,-308.1291,True,45646.349,7.6931239,-308.1291
botorch,2,1,13,10,15,145.87219,-145.87219,True,45988.145,7.6931239,-308.1291
botorch,2,1,14,4.7357127,0,12.0738,-12.0738,True,46002.629,7.6931239,-308.1291
botorch,2,1,15,10,0,10.960889,-10.960889,True,46004.356,7.6931239,-308.1291
botorch,2,1,16,3.7812995,15,175.77216,-175.77216,True,46684.886,7.6931239,-308.1291
botorch,2,1,17,-5,11.788767,41.868563,-41.868563,True,46685.719,7.6931239,-308.1291
botorch,2,2,18,-4.4417655,1.1030242,218.11777,-218.11777,True,48448.625,7.6931239,-308.1291
botorch,2,2,19,-4.2348415,1.6161041,186.23753,-186.23753,True,48577.295,7.6931239,-308.1291
botorch,2,2,20,-2.0704724,0,102.40311,-102.40311,True,48786.735,7.6931239,-308.1291
botorch,2,2,21,2.5533189,5.556781,9.7309766,-9.7309766,True,48787.131,7.6931239,-308.1291
botorch,2,2,22,-5,5.3321768,153.26912,-153.26912,True,48953.584,7.6931239,-308.1291
botorch,2,2,23,-4.2776952,0,236.14791,-236.14791,True,50251.415,7.6931239,-308.1291
botorch,2,2,24,-2.0552366,15,32.394919,-32.394919,True,50389.175,7.6931239,-308.1291
botorch,2,2,25,-5,1.1125061,271.12468,-271.12468,True,51683.47,7.6931239,-308.1291
botorch,2,2,26,-2.8555722,0,135.30605,-135.30605,True,51817.567,7.6931239,-308.1291
botorch,2,3,27,5.3724801,11.128264,114.89257,-114.89257,True,52072.52,7.6931239,-308.1291
botorch,2,3,28,10,4.343086,3.7390876,-3.7390876,True,52145.573,3.7390876,-308.1291
botorch,2,3,29,1.5552081,0,24.874272,-24.874272,True,52200.97,3.7390876,-308.1291
botorch,2,3,30,-2.4042095,2.7918065,63.441274,-63.441274,True,52335.747,3.7390876,-308.1291
botorch,2,3,31,6.4851354,15,212.29193,-212.29193,True,52415.908,3.7390876,-308.1291
botorch,2,3,32,8.4544542,14.170518,158.14546,-158.14546,True,52501.861,3.7390876,-308.1291
botorch,2,3,33,-5,1.6901691,252.88668,-252.88668,True,52807.143,3.7390876,-308.1291
botorch,2,3,34,8.4467894,12.165049,112.61746,-112.61746,True,52830.382,3.7390876,-308.1291
botorch,2,3,35,2.683105,0,8.4636325,-8.4636325,True,52831.11,3.7390876,-308.1291
botorch,2,4,36,-3.4255342,12.896863,0.78739979,-0.78739979,True,52876.931,0.78739979,-308.1291
botorch,2,4,37,-4.5259794,5.0208959,125.48122,-125.48122,True,52980.963,0.78739979,-308.1291
botorch,2,4,38,-0.59285644,15,82.140161,-82.140161,True,53056.904,0.78739979,-308.1291
botorch,2,4,39,-0.84964561,13.537934,53.457404,-53.457404,True,53133.921,0.78739979,-308.1291
botorch,2,4,40,4.318458,14.177778,166.12569,-166.12569,True,53210.902,0.78739979,-308.1291
botorch,2,4,41,9.3565826,2.5038516,0.42756389,-0.42756389,True,53216.358,0.42756389,-308.1291
botorch,2,4,42,-5,1.4010553,261.93117,-261.93117,True,53299.509,0.42756389,-308.1291
botorch,2,4,43,4.0871508,15,182.51974,-182.51974,True,53324.595,0.42756389,-308.1291
botorch,2,4,44,7.1562862,10.697933,105.88132,-105.88132,True,53348.025,0.42756389,-308.1291
