strategy,seed,round,trial,x1,x2,branin,feasible,hv,best_branin
botorch,9,0,0,2.9967424,3.4805954,1.6863753,True,316.5789,1.6863753
botorch,9,0,1,-4.1418763,10.883682,20.215931,True,316.5789,1.6863753
botorch,9,0,2,-1.2311707,6.3473646,16.467366,True,316.5789,1.6863753
botorch,9,0,3,6.6338867,13.977696,184.15672,True,316.5789,1.6863753
botorch,9,0,4,8.6658189,4.5056769,9.7747773,True,316.5789,1.6863753
botorch,9,0,5,1.5564647,12.084254,78.175107,True,316.5789,1.6863753
botorch,9,0,6,-3.0620944,1.6313278,109.70252,True,316.5789,1.6863753
botorch,9,0,7,4.8322277,8.9680647,69.552408,True,316.5789,1.6863753
botorch,9,0,8,5.3691946,7.4440852,55.116444,True,316.5789,1.6863753
botorch,9,1,9,7.1131565,2.7152324,18.729911,True,316.5789,1.6863753
botorch,9,1,10,4.8898501,4.0618793,19.287488,True,316.5789,1.6863753
botorch,9,1,11,9.9584627,1.1518599,5.0096661,True,316.5789,1.6863753
botorch,9,1,12,-5,8.4019845,89.906578,True,316.5789,1.6863753
botorch,9,1,13,7.6086673,0,14.20657,True,316.5789,1.6863753
botorch,9,1,14,6.0384202,3.3152673,24.223553,True,316.5789,1.6863753
botorch,9,1,15,2.95198,4.5413389,5.0382313,True,316.5789,1.6863753
botorch,9,1,16,7.2448967,1.8657157,15.872524,True,316.5789,1.6863753
botorch,9,1,17,-5,15,17.5083,True,316.5789,1.6863753
botorch,9,2,18,-2.7753702,13.079789,3.8154699,True,316.5789,1.6863753
botorch,9,2,19,1.2426203,2.1151663,17.532757,True,316.5789,1.6863753
botorch,9,2,20,-2.8356976,15,12.732695,True,316.5789,1.6863753
botorch,9,2,21,-2.2999807,11.117862,4.2014866,True,316.5789,1.6863753
botorch,9,2,22,10,4.0023905,2.9420087,True,316.5789,1.6863753
botorch,9,2,23,2.0870107,0,15.76519,True,316.5789,1.6863753
botorch,9,2,24,1.0810266,5.018963,14.863388,True,316.5789,1.6863753
botorch,9,2,25,-3.2799456,13.714286,1.7091579,True,316.5789,1.6863753
botorch,9,2,26,3.3045539,0,5.1533843,True,316.5789,1.6863753
botorch,9,3,27,9.3969777,2.6039537,0.42479411,True,317.84048,0.42479411
botorch,9,3,28,-3.2502267,12.532421,0.4545174,True,317.84048,0.42479411
botorch,9,3,29,3.1330313,2.2624783,0.39860819,True,317.86667,0.39860819
botorch,9,3,30,-3.4506681,13.098362,0.85753801,True,317.86667,0.39860819
botorch,9,3,31,-3.0251663,11.786403,0.50722284,True,317.86667,0.39860819
botorch,9,3,32,9.7261899,2.8902917,0.85306005,True,317.86667,0.39860819
botorch,9,3,33,3.1362336,2.632298,0.52271544,True,317.86667,0.39860819
botorch,9,3,34,9.2249193,2.2648406,0.59120483,True,317.86667,0.39860819
botorch,9,3,35,9.6622222,3.9759114,2.3400255,True,317.86667,0.39860819
botorch,9,4,36,9.507131,2.7694804,0.48066755,True,317.86667,0.39860819
botorch,9,4,37,9.4672947,2.6304338,0.420806,True,317.86667,0.39860819
botorch,9,4,38,9.353921,2.4691535,0.42482017,True,317.86667,0.39860819
botorch,9,4,39,9.5612054,2.8271487,0.54217586,True,317.86667,0.39860819
botorch,9,4,40,9.4081804,2.4721538,0.39933355,True,317.86667,0.39860819
botorch,9,4,41,9.4501885,2.7904952,0.48740994,True,317.86667,0.39860819
botorch,9,4,42,3.6299364,1.6839719,1.5783468,True,317.86667,0.39860819
botorch,9,4,43,5.3036547,5.9648928,38.125487,True,317.86667,0.39860819
botorch,9,4,44,3.0239202,2.4483487,0.4706567,True,317.86667,0.39860819
