branin,currin
5.1125331,3.2812879
1.0060576,4.9328019
1.567605,4.6526494
1.713303,4.5321515
9.1870731,2.5268816
3.6303409,3.806905
4.0901563,3.6025362
12.999966,1.8190376
1.4071238,4.7097788
0.68112571,5.1924781
2.7008531,4.1267027
1.0668329,4.8863545
0.43990969,5.5030636
2.0671043,4.3735345
3.3127452,3.9011929
6.8588888,2.9151056
17.055282,1.375247
3.2134845,3.9135178
4.3461848,3.5381531
0.75751595,5.1158944
1.1930753,4.8459788
7.6527036,2.6965606
0.4000983,10.995035
15.580058,1.5779227
0.51592189,5.3772183
2.2310274,4.3187537
5.7155898,3.1429485
1.2684632,4.7654802
12.904155,1.8552959
0.40392139,5.6744828
2.8800478,4.0450045
0.71246178,5.1631402
4.8085896,3.4424678
0.88669038,5.0228821
3.0520664,4.017581
17.278183,1.2625012
1.9246066,4.4335742
8.736601,2.552545
3.555231,3.8580205
0.45709303,5.4564436
1.4160872,4.7088328
11.46988,2.1723101
0.52421604,5.3593431
2.3769071,4.2389796
5.3672548,3.2088454
1.0691507,4.8850031
4.0803148,3.6062359
3.0728472,3.9629376
4.3243127,3.5831207
11.966662,2.0438669
4.477237,3.480882
2.1977628,4.3613615
16.584419,1.5026062
1.4725464,4.6526998
9.2606394,2.3877582
0.57874246,5.3201355
2.4872554,4.2142066
14.847947,1.6048684
1.701876,4.5662711
3.7150365,3.7328121
2.7919479,4.0851014
7.3838029,2.7811839
2.2795455,4.2782629
0.40790414,5.5951892
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
17.5083,1.180408
10.291634,2.2102889
6.1207959,3.0143265
3.0987846,3.9521616
0.8109259,5.0635739
0.39788736,11.023462
