branin,currin
126.87422,4.861565
136.20289,4.7571359
125.33497,4.8797261
144.85118,4.68051
0.55408421,10.771716
118.9615,4.8981554
127.66554,4.8534229
127.98925,4.8491468
147.06174,4.6720673
0.6736365,10.679542
127.6275,4.860569
122.85422,4.8819056
133.94046,4.7848087
128.94102,4.8373061
139.64427,4.7268169
15.412445,5.6458295
164.05156,4.597274
130.97222,4.8141916
0.64685962,10.725834
3.6412123,6.0062356
153.78695,4.628355
104.86789,5.0050112
160.90933,4.6019572
0.4139182,10.99372
130.38196,4.8225632
31.180326,5.226254
0.4000983,10.995035
157.19872,4.6167887
137.70785,4.7437181
128.58531,4.8413836
128.99635,4.8242918
132.08884,4.807504
161.59243,4.5986739
150.13029,4.6531918
7.3378772,5.8776794
147.52118,4.666136
0.64816803,10.694098
40.179249,5.0746983
165.06036,4.5832149
128.27976,4.8453646
13.586349,5.7157435
168.69274,4.5728008
0.45982714,10.86958
131.21847,4.8118921
46.275021,5.0139412
134.32695,4.776759
118.70886,4.9147066
143.43359,4.6968982
133.41473,4.787315
166.27645,4.5831362
108.9731,4.9878726
151.33589,4.6428982
0.58336743,10.729395
18.51877,5.4900371
7.9848518,5.8392845
139.71276,4.7250983
131.80195,4.8078634
16.857985,5.6136319
142.47178,4.706551
114.91163,4.9506018
0.44079265,10.949521
157.23302,4.60985
125.80132,4.8635863
103.83176,5.0117451
168.82417,4.5713019
168.82417,4.5713019
44.228331,5.0188981
41.386748,5.0409566
37.560057,5.0840671
32.323145,5.1650341
25.488238,5.3040609
19.112141,5.4644171
9.6998943,5.7557803
4.7321545,5.9464234
2.6200059,6.0455227
2.0782919,6.0753223
1.2527589,6.1297925
1.0180285,6.1501681
0.88702645,6.1643476
0.81147062,6.1747312
0.76743211,6.1826372
0.76107848,6.1840149
0.7254039,6.1954238
0.72199365,6.1979455
0.39788736,11.023462
